# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2025-11-29T16:32:11.010Z
#
# Location: GEO -12.0N 283.2E, URSI-Code JI91J JICAMARCA
# Instrument: Ionosonde, Model: DPS-4
#
# Query for measurement intervals of time:
# 2013-01-01T00:00:00.000Z - 2013-08-31T23:59:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2 [MHz] - F2 layer critical frequency
# hF [km] - Minimum virtual height of F trace
# hmF2 [km] - Peak height F2-layer
# B0 [km] - IRI thickness parameter
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of JI91J data provider
#
#Time                     CS   foF2 QD     hF QD   hmF2 QD    B0 QD
2013-01-01T00:00:00.000Z 100  9.400 //  255.0 //  312.9 //  64.9 //
2013-01-01T00:15:00.000Z 100  9.200 //  260.0 //  330.2 //  72.6 //
2013-01-01T00:30:00.000Z 100  8.800 //  272.0 //  346.2 //  74.9 //
2013-01-01T00:45:00.000Z 100  8.700 //  285.0 //  368.4 //  84.0 //
2013-01-01T01:00:00.000Z 100  8.300 //  305.0 //  393.9 //  91.4 //
2013-01-01T01:15:00.000Z 100  7.900 //  330.0 //  412.1 //  91.7 //
2013-01-01T01:30:00.000Z 100  7.200 //  351.0 //  409.8 //  73.1 //
2013-01-01T01:45:00.000Z 100  7.100 //  375.0 //  456.8 // 102.9 //
2013-01-01T02:00:00.000Z 100  6.800 //  385.0 //  478.0 // 112.5 //
2013-01-01T02:15:00.000Z 100  6.600 //  400.0 //  477.2 // 112.7 //
2013-01-01T02:30:00.000Z 100  6.500 //  400.0 //  470.2 // 103.0 //
2013-01-01T02:45:00.000Z 100  6.300 //  390.0 //  430.2 //  68.2 //
2013-01-01T03:00:00.000Z 100  6.300 //  370.0 //  401.6 //  55.4 //
2013-01-01T03:15:00.000Z 100  5.900 //  360.0 //  404.6 //  68.9 //
