FECHA,Mh_PRECURSOR,Mv_PRECURSOR,Dh_TOTAL,F_DENSITY,Delta_foF2_1,slope_foF2_1,foF2_max_SW,foF2_min_SW,foF2_drop_SW,num_muestras_foF2,delta_inicio_min,delta_fin_min,extremos_validos,hora_inicio_real,hora_fin_real,tiempo_real_min,num_registros
2012-12-31,312.9,,,9.4,,,9.4,,,1,120.0,0.0,False,2012-12-31 19:00:00,,,1
2013-01-01,,,,,,,,,,0,15.0,0.0,False,2013-01-01 17:15:00,2013-01-01 19:00:00,,3
2013-01-02,,,,,,,,,,0,15.0,0.0,False,2013-01-02 17:15:00,2013-01-02 19:00:00,,5
2013-01-03,,,,,,,,,,0,30.0,0.0,False,2013-01-03 17:30:00,2013-01-03 19:00:00,,7
2013-01-04,,,,,,,,,,0,15.0,0.0,False,2013-01-04 17:15:00,2013-01-04 19:00:00,,6
2013-01-05,,,,,,,,,,0,60.0,0.0,False,2013-01-05 18:00:00,2013-01-05 19:00:00,,5
2013-01-06,,,,,,,,,,0,30.0,0.0,False,2013-01-06 17:30:00,2013-01-06 19:00:00,,5
2013-01-07,421.8,0.3400000000000001,40.80000000000001,11.3125,-0.8999999999999986,-0.0074999999999999884,11.7,10.8,0.8999999999999986,8,0.0,0.0,True,2013-01-07 17:00:00,2013-01-07 19:00:00,120.0,8
2013-01-08,444.7,-0.7641666666666665,-91.69999999999999,8.507499999999999,-4.9,-0.04083333333333334,10.5,5.6,4.9,20,0.0,0.0,True,2013-01-08 17:00:00,2013-01-08 19:00:00,120.0,20
2013-01-09,374.7,0.24333333333333323,29.19999999999999,11.0,-1.299999999999999,-0.010833333333333325,11.7,10.4,1.299999999999999,13,0.0,0.0,True,2013-01-09 17:00:00,2013-01-09 19:00:00,120.0,13
2013-01-10,444.3,0.15750000000000028,18.900000000000034,8.96,-2.9000000000000004,-0.02416666666666667,10.8,7.2,3.6000000000000005,15,0.0,0.0,True,2013-01-10 17:00:00,2013-01-10 19:00:00,120.0,15
2013-01-11,,,,,,,,,,0,30.0,0.0,False,2013-01-11 17:30:00,2013-01-11 19:00:00,,16
2013-01-12,,,,,,,,,,0,10.000000000000071,0.0,False,2013-01-12 17:10:00,2013-01-12 19:00:00,,16
2013-01-13,,,,,,,,,,0,64.99999999999993,0.0,False,2013-01-13 18:05:00,2013-01-13 19:00:00,,14
2013-01-14,460.4,0.5624000000000001,70.30000000000001,10.95,-2.0,-0.016,11.5,9.5,2.0,16,-4.999999999999929,0.0,True,2013-01-14 16:55:00,2013-01-14 19:00:00,125.0,16
2013-01-15,435.0,0.5544000000000001,69.30000000000001,10.657894736842104,-1.5,-0.012,11.4,9.5,1.9000000000000004,19,-4.999999999999929,0.0,True,2013-01-15 16:55:00,2013-01-15 19:00:00,125.0,19
2013-01-16,363.5,0.09391304347826097,10.800000000000011,10.292307692307693,-0.9000000000000004,-0.007826086956521741,10.7,9.5,1.1999999999999993,13,0.0,-4.999999999999929,True,2013-01-16 17:00:00,2013-01-16 18:55:00,115.0,13
2013-01-17,386.1,0.2834782608695654,32.60000000000002,9.988888888888889,-0.40000000000000036,-0.0034782608695652206,10.4,9.5,0.9000000000000004,9,4.999999999999929,0.0,True,2013-01-17 17:05:00,2013-01-17 19:00:00,115.0,9
2013-01-18,349.9,0.04782608695652174,5.5,10.244444444444445,1.0,0.008695652173913044,10.5,9.5,1.0,9,4.999999999999929,0.0,True,2013-01-18 17:05:00,2013-01-18 19:00:00,115.0,9
2013-01-19,391.6,0.43166666666666675,51.80000000000001,8.192647058823532,0.6000000000000005,0.0050000000000000044,8.4,7.7,0.7000000000000002,17,0.0,0.0,True,2013-01-19 17:00:00,2013-01-19 19:00:00,120.0,17
