Time_UTC,Time_Local_Peru,CS,foF2,hF,hmF2,B0
2013-01-01 00:00:00,2012-12-31 19:00:00,100,9.4,255.0,312.9,64.9
2013-01-01 00:15:00,2012-12-31 19:15:00,100,9.2,260.0,330.2,72.6
2013-01-01 00:30:00,2012-12-31 19:30:00,100,8.8,272.0,346.2,74.9
2013-01-01 00:45:00,2012-12-31 19:45:00,100,8.7,285.0,368.4,84.0
2013-01-01 01:00:00,2012-12-31 20:00:00,100,8.3,305.0,393.9,91.4
2013-01-01 01:15:00,2012-12-31 20:15:00,100,7.9,330.0,412.1,91.7
2013-01-01 01:30:00,2012-12-31 20:30:00,100,7.2,351.0,409.8,73.1
2013-01-01 01:45:00,2012-12-31 20:45:00,100,7.1,375.0,456.8,102.9
2013-01-01 02:00:00,2012-12-31 21:00:00,100,6.8,385.0,478.0,112.5
2013-01-01 02:15:00,2012-12-31 21:15:00,100,6.6,400.0,477.2,112.7
2013-01-01 02:30:00,2012-12-31 21:30:00,100,6.5,400.0,470.2,103.0
2013-01-01 02:45:00,2012-12-31 21:45:00,100,6.3,390.0,430.2,68.2
2013-01-01 03:00:00,2012-12-31 22:00:00,100,6.3,370.0,401.6,55.4
2013-01-01 03:15:00,2012-12-31 22:15:00,100,5.9,360.0,404.6,68.9
2013-01-01 03:30:00,2012-12-31 22:30:00,100,7.2,361.0,440.6,91.2
2013-01-01 03:45:00,2012-12-31 22:45:00,100,7.0,361.0,418.4,71.8
2013-01-01 04:00:00,2012-12-31 23:00:00,100,5.8,340.0,379.3,52.8
2013-01-01 04:15:00,2012-12-31 23:15:00,100,5.1,310.0,343.2,50.2
2013-01-01 04:30:00,2012-12-31 23:30:00,100,4.7,300.0,334.1,60.5
2013-01-01 04:45:00,2012-12-31 23:45:00,100,4.7,280.0,328.0,66.4
2013-01-01 05:00:00,2013-01-01 00:00:00,100,4.7,265.0,310.6,56.2
2013-01-01 05:30:00,2013-01-01 00:30:00,100,4.6,265.0,297.5,45.8
2013-01-01 05:45:00,2013-01-01 00:45:00,100,4.1,256.0,303.9,64.1
2013-01-01 06:00:00,2013-01-01 01:00:00,100,4.0,260.0,274.7,27.8
2013-01-01 06:15:00,2013-01-01 01:15:00,100,3.3,279.0,307.7,56.7
2013-01-01 06:30:00,2013-01-01 01:30:00,100,3.1,245.0,267.6,37.6
2013-01-01 07:00:00,2013-01-01 02:00:00,100,2.9,270.0,297.1,53.4
2013-01-01 07:15:00,2013-01-01 02:15:00,100,3.3,275.0,324.3,80.7
2013-01-01 07:30:00,2013-01-01 02:30:00,100,2.9,245.0,278.0,48.0
2013-01-01 07:45:00,2013-01-01 02:45:00,100,2.9,247.5,278.2,52.9
2013-01-01 08:15:00,2013-01-01 03:15:00,100,2.7,280.0,377.5,126.9
2013-01-01 08:30:00,2013-01-01 03:30:00,100,2.5,260.0,313.7,84.5
2013-01-01 10:30:00,2013-01-01 05:30:00,70,3.2,295.0,306.3,86.2
2013-01-01 10:45:00,2013-01-01 05:45:00,70,4.3,260.0,277.8,79.4
2013-01-01 11:00:00,2013-01-01 06:00:00,70,5.1,250.0,276.9,84.5
2013-01-01 11:15:00,2013-01-01 06:15:00,100,5.9,232.0,259.0,69.2
2013-01-01 11:30:00,2013-01-01 06:30:00,100,6.8,230.0,273.9,88.7
2013-01-01 11:45:00,2013-01-01 06:45:00,100,7.807,221.0,279.7,99.2
2013-01-01 12:00:00,2013-01-01 07:00:00,100,8.1,215.0,277.1,91.3
2013-01-01 12:15:00,2013-01-01 07:15:00,100,8.65,210.0,279.2,97.7
2013-01-01 12:30:00,2013-01-01 07:30:00,70,9.0,232.0,286.4,93.5
2013-01-01 12:45:00,2013-01-01 07:45:00,100,9.125,202.5,286.2,117.6
2013-01-01 13:00:00,2013-01-01 08:00:00,100,9.15,195.0,302.8,140.5
2013-01-01 13:15:00,2013-01-01 08:15:00,100,9.55,190.0,317.5,111.8
2013-01-01 13:30:00,2013-01-01 08:30:00,100,9.625,185.0,336.1,162.8
2013-01-01 13:45:00,2013-01-01 08:45:00,100,9.55,255.0,336.5,165.2
2013-01-01 14:00:00,2013-01-01 09:00:00,100,9.65,180.0,363.4,191.2
2013-01-01 14:15:00,2013-01-01 09:15:00,70,9.45,337.5,385.1,208.8
2013-01-01 14:30:00,2013-01-01 09:30:00,100,8.85,230.0,377.2,225.4
2013-01-01 14:45:00,2013-01-01 09:45:00,70,8.5,242.5,371.7,185.6
2013-01-01 15:00:00,2013-01-01 10:00:00,70,8.4,375.0,372.3,178.1
2013-01-01 15:15:00,2013-01-01 10:15:00,70,8.5,332.5,382.5,187.1
2013-01-01 15:30:00,2013-01-01 10:30:00,70,8.4,376.0,368.2,187.1
2013-01-01 15:45:00,2013-01-01 10:45:00,100,8.3,217.0,369.2,196.0
2013-01-01 16:00:00,2013-01-01 11:00:00,70,8.2,366.0,363.6,191.3
2013-01-01 16:15:00,2013-01-01 11:15:00,70,8.2,390.0,347.6,160.1
2013-01-01 16:30:00,2013-01-01 11:30:00,70,8.4,395.0,352.4,165.5
2013-01-01 16:45:00,2013-01-01 11:45:00,70,8.0,362.0,327.5,147.3
2013-01-01 17:00:00,2013-01-01 12:00:00,70,8.1,383.0,351.3,158.7
2013-01-01 17:15:00,2013-01-01 12:15:00,70,8.4,390.0,371.1,173.3
2013-01-01 17:30:00,2013-01-01 12:30:00,70,8.4,402.0,365.2,180.0
2013-01-01 17:45:00,2013-01-01 12:45:00,70,8.6,395.0,373.7,156.7
2013-01-01 18:00:00,2013-01-01 13:00:00,70,8.9,387.5,374.6,166.5
2013-01-01 18:15:00,2013-01-01 13:15:00,70,9.3,393.0,369.8,149.6
