Time_UTC,Time_Local_Peru,CS,foF2,hF,hmF2,B0
2013-11-02 13:15:00,2013-11-02 08:15:00,70,10.0,207.0,261.1,78.9
2013-11-02 13:30:00,2013-11-02 08:30:00,100,9.1,213.0,251.0,79.8
2013-11-02 13:45:00,2013-11-02 08:45:00,100,10.0,205.0,275.7,97.5
2013-11-02 14:00:00,2013-11-02 09:00:00,100,9.3,215.0,267.0,101.5
2013-11-02 14:30:00,2013-11-02 09:30:00,70,9.8,248.0,284.9,109.2
2013-11-02 14:45:00,2013-11-02 09:45:00,100,9.6,214.0,286.4,107.9
2013-11-02 15:00:00,2013-11-02 10:00:00,100,8.9,260.0,263.9,104.9
2013-11-02 15:30:00,2013-11-02 10:30:00,70,9.3,295.0,289.3,109.0
2013-11-02 15:45:00,2013-11-02 10:45:00,70,7.1,255.0,234.8,111.3
2013-11-02 17:00:00,2013-11-02 12:00:00,70,9.5,305.0,303.0,121.3
2013-11-02 17:30:00,2013-11-02 12:30:00,70,11.7,284.0,379.0,156.8
2013-11-02 18:15:00,2013-11-02 13:15:00,70,9.5,280.0,290.6,109.0
2013-11-02 18:30:00,2013-11-02 13:30:00,70,9.0,285.0,277.4,112.6
2013-11-02 19:15:00,2013-11-02 14:15:00,100,10.7,215.0,330.8,120.8
2013-11-02 19:30:00,2013-11-02 14:30:00,100,10.2,220.0,315.3,115.5
2013-11-02 19:45:00,2013-11-02 14:45:00,100,11.65,200.0,347.2,145.3
2013-11-02 20:00:00,2013-11-02 15:00:00,100,9.2,215.0,294.9,117.1
2013-11-02 20:15:00,2013-11-02 15:15:00,100,9.65,195.0,303.9,127.7
2013-11-02 20:30:00,2013-11-02 15:30:00,70,11.7,210.0,357.1,116.7
2013-11-02 20:45:00,2013-11-02 15:45:00,70,9.4,225.0,309.0,118.4
2013-11-02 21:00:00,2013-11-02 16:00:00,100,9.4,225.0,313.5,125.3
2013-11-02 21:15:00,2013-11-02 16:15:00,70,8.9,220.0,305.6,120.5
2013-11-02 21:30:00,2013-11-02 16:30:00,70,8.1,230.0,287.8,115.2
2013-11-02 21:45:00,2013-11-02 16:45:00,70,9.4,238.0,324.4,123.1
2013-11-02 22:00:00,2013-11-02 17:00:00,100,9.0,243.0,314.6,121.3
2013-11-02 22:15:00,2013-11-02 17:15:00,70,9.3,245.0,323.3,114.8
2013-11-02 22:30:00,2013-11-02 17:30:00,70,7.1,250.0,269.4,81.6
2013-11-02 22:40:00,2013-11-02 17:40:00,100,8.0,252.0,294.6,87.6
2013-11-02 22:45:00,2013-11-02 17:45:00,100,9.3,253.0,332.7,111.8
2013-11-02 22:50:00,2013-11-02 17:50:00,70,6.9,257.0,274.1,65.0
2013-11-02 22:55:00,2013-11-02 17:55:00,70,9.3,257.0,335.8,109.8
2013-11-02 23:00:00,2013-11-02 18:00:00,70,8.1,257.0,305.3,77.1
2013-11-02 23:05:00,2013-11-02 18:05:00,70,8.9,262.0,333.7,100.1
2013-11-02 23:10:00,2013-11-02 18:10:00,70,9.1,262.0,344.6,106.3
2013-11-02 23:15:00,2013-11-02 18:15:00,70,8.4,267.0,329.2,81.8
2013-11-02 23:20:00,2013-11-02 18:20:00,70,6.4,271.0,293.4,50.3
2013-11-02 23:25:00,2013-11-02 18:25:00,70,8.4,278.0,342.7,79.1
2013-11-02 23:30:00,2013-11-02 18:30:00,100,7.2,282.0,325.7,59.8
2013-11-02 23:35:00,2013-11-02 18:35:00,100,8.4,293.0,360.4,80.4
2013-11-02 23:40:00,2013-11-02 18:40:00,100,8.4,300.0,371.9,82.7
2013-11-02 23:45:00,2013-11-02 18:45:00,100,8.2,310.0,379.9,81.1
2013-11-02 23:50:00,2013-11-02 18:50:00,100,5.8,320.0,343.1,48.9
2013-11-02 23:55:00,2013-11-02 18:55:00,100,7.2,330.0,378.5,63.7
2013-11-03 00:00:00,2013-11-02 19:00:00,100,9.0,343.0,447.2,110.2
2013-11-03 00:05:00,2013-11-02 19:05:00,100,6.4,348.0,380.5,56.5
2013-11-03 00:10:00,2013-11-02 19:10:00,100,8.1,355.0,431.2,86.6
2013-11-03 00:20:00,2013-11-02 19:20:00,100,7.9,368.0,442.2,90.3
2013-11-03 00:25:00,2013-11-02 19:25:00,100,7.8,370.0,447.4,93.1
2013-11-03 00:30:00,2013-11-02 19:30:00,100,8.4,394.0,477.4,118.6
2013-11-03 00:35:00,2013-11-02 19:35:00,100,8.0,378.0,469.6,102.8
2013-11-03 00:40:00,2013-11-02 19:40:00,100,7.5,383.0,456.0,90.0
2013-11-03 00:45:00,2013-11-02 19:45:00,100,7.8,387.0,468.5,97.2
2013-11-03 00:50:00,2013-11-02 19:50:00,100,8.3,392.5,499.0,122.8
2013-11-03 00:55:00,2013-11-02 19:55:00,100,7.2,392.5,455.6,86.2
2013-11-03 01:00:00,2013-11-02 20:00:00,100,8.0,390.0,466.3,96.9
2013-11-03 01:05:00,2013-11-02 20:05:00,100,6.8,387.0,427.6,68.1
2013-11-03 01:10:00,2013-11-02 20:10:00,100,7.9,386.0,481.4,115.3
