FECHA,Mh_PRECURSOR,Mv_PRECURSOR,Dh_TOTAL,F_DENSITY,Delta_foF2_1,slope_foF2_1,foF2_max_SW,foF2_min_SW,foF2_drop_SW,num_muestras_foF2,delta_inicio_min,delta_fin_min,extremos_validos,hora_inicio_real,hora_fin_real,tiempo_real_min,num_registros
2013-08-31,406.2,,,8.2,,,8.2,,,1,120.0,0.0,False,2013-08-31 19:00:00,,,1
2013-09-01,,,,,,,,,,0,30.0,0.0,False,2013-09-01 17:30:00,2013-09-01 19:00:00,,7
2013-09-02,,,,,,,,,,0,60.0,0.0,False,2013-09-02 18:00:00,2013-09-02 19:00:00,,5
2013-09-03,,,,,,,,,,0,30.0,0.0,False,2013-09-03 17:30:00,2013-09-03 19:00:00,,5
2013-09-04,452.4,0.6474999999999999,77.69999999999999,9.18888888888889,-1.5,-0.0125,9.8,8.3,1.5,9,0.0,0.0,True,2013-09-04 17:00:00,2013-09-04 19:00:00,120.0,9
2013-09-05,,,,,,,,,,0,60.0,-15.0,False,2013-09-05 18:00:00,2013-09-05 18:45:00,,4
2013-09-06,,,,,,,,,,0,15.0,0.0,False,2013-09-06 17:15:00,2013-09-06 19:00:00,,6
2013-09-07,,,,,,,,,,0,75.0,0.0,False,2013-09-07 18:15:00,2013-09-07 19:00:00,,4
2013-09-08,,,,,,,,,,0,75.0,0.0,False,2013-09-08 18:15:00,2013-09-08 19:00:00,,4
2013-09-09,361.9,0.6416666666666667,77.0,6.356521739130436,-1.2000000000000002,-0.010000000000000002,7.2,5.7,1.5,23,0.0,0.0,True,2013-09-09 17:00:00,2013-09-09 19:00:00,120.0,23
2013-09-10,427.8,0.6400000000000001,76.80000000000001,9.436,-0.8000000000000007,-0.006666666666666672,10.2,8.4,1.799999999999999,25,0.0,0.0,True,2013-09-10 17:00:00,2013-09-10 19:00:00,120.0,25
2013-09-11,453.3,0.7982608695652175,91.80000000000001,8.160416666666666,-1.6000000000000005,-0.013913043478260874,8.85,5.8,3.05,24,0.0,-4.999999999999929,True,2013-09-11 17:00:00,2013-09-11 18:55:00,115.0,24
2013-09-12,366.7,0.08166666666666676,9.800000000000011,9.433333333333332,0.0,0.0,9.7,9.3,0.3999999999999986,6,0.0,0.0,True,2013-09-12 17:00:00,2013-09-12 19:00:00,120.0,6
2013-09-13,440.7,0.7325000000000003,87.90000000000003,8.1125,-1.0999999999999996,-0.009166666666666663,8.6,7.1,1.5,8,0.0,0.0,True,2013-09-13 17:00:00,2013-09-13 19:00:00,120.0,8
2013-09-14,,,,,,,,,,0,15.0,0.0,False,2013-09-14 17:15:00,2013-09-14 19:00:00,,6
2013-09-15,,,,,,,,,,0,30.0,0.0,False,2013-09-15 17:30:00,2013-09-15 19:00:00,,5
2013-09-16,378.5,0.7074999999999998,84.89999999999998,6.311111111111111,-1.4500000000000002,-0.012083333333333335,7.25,5.8,1.4500000000000002,9,0.0,0.0,True,2013-09-16 17:00:00,2013-09-16 19:00:00,120.0,9
2013-09-17,430.4,0.5049999999999997,60.599999999999966,9.044444444444444,-0.6999999999999993,-0.0058333333333333275,9.3,8.5,0.8000000000000007,9,0.0,0.0,True,2013-09-17 17:00:00,2013-09-17 19:00:00,120.0,9
2013-09-18,426.8,0.2516666666666666,30.19999999999999,8.211111111111112,-1.9000000000000004,-0.015833333333333335,8.9,7.0,1.9000000000000004,9,0.0,0.0,True,2013-09-18 17:00:00,2013-09-18 19:00:00,120.0,9
2013-09-19,,,,,,,,,,0,15.0,0.0,False,2013-09-19 17:15:00,2013-09-19 19:00:00,,8
2013-09-20,,,,,,,,,,0,15.0,0.0,False,2013-09-20 17:15:00,2013-09-20 19:00:00,,8
2013-09-21,491.0,0.7699999999999998,92.39999999999998,9.68888888888889,-2.6999999999999993,-0.022499999999999996,11.0,8.2,2.8000000000000007,9,0.0,0.0,True,2013-09-21 17:00:00,2013-09-21 19:00:00,120.0,9
2013-09-22,475.7,0.7816666666666667,93.80000000000001,8.657142857142858,-1.6000000000000005,-0.013333333333333338,9.3,7.7,1.6000000000000005,7,0.0,0.0,True,2013-09-22 17:00:00,2013-09-22 19:00:00,120.0,7
2013-09-23,430.4,0.8774999999999996,105.29999999999995,9.708,-0.1999999999999993,-0.0016666666666666607,10.3,9.3,1.0,25,0.0,0.0,True,2013-09-23 17:00:00,2013-09-23 19:00:00,120.0,25
2013-09-24,437.4,0.5,60.0,9.014,-1.049999999999999,-0.00874999999999999,9.45,8.4,1.049999999999999,25,0.0,0.0,True,2013-09-24 17:00:00,2013-09-24 19:00:00,120.0,25
2013-09-25,499.5,0.9824999999999998,117.89999999999998,7.939999999999999,-1.6500000000000004,-0.013750000000000004,8.3,6.6,1.700000000000001,25,0.0,0.0,True,2013-09-25 17:00:00,2013-09-25 19:00:00,120.0,25
2013-09-26,467.2,0.8150000000000001,97.80000000000001,8.748,-1.0500000000000007,-0.008750000000000006,9.25,5.8,3.45,25,0.0,0.0,True,2013-09-26 17:00:00,2013-09-26 19:00:00,120.0,25
2013-09-27,425.3,0.9100000000000004,109.20000000000005,7.212000000000001,0.0,0.0,8.8,5.8,3.000000000000001,25,0.0,0.0,True,2013-09-27 17:00:00,2013-09-27 19:00:00,120.0,25
2013-09-28,475.3,0.7649999999999996,91.79999999999995,9.605,-1.5749999999999993,-0.013124999999999994,10.375,8.8,1.5749999999999993,25,0.0,0.0,True,2013-09-28 17:00:00,2013-09-28 19:00:00,120.0,25
2013-09-29,462.6,0.6525000000000001,78.30000000000001,9.318,-1.3499999999999996,-0.011249999999999998,9.85,8.5,1.3499999999999996,25,0.0,0.0,True,2013-09-29 17:00:00,2013-09-29 19:00:00,120.0,25
2013-09-30,418.4,0.48833333333333306,58.599999999999966,9.472222222222221,-0.25,-0.0020833333333333333,10.0,9.3,0.6999999999999993,9,0.0,0.0,True,2013-09-30 17:00:00,2013-09-30 19:00:00,120.0,9
2013-10-01,,,,,,,,,,0,15.0,0.0,False,2013-10-01 17:15:00,2013-10-01 19:00:00,,7
2013-10-02,,,,,,,,,,0,30.0,0.0,False,2013-10-02 17:30:00,2013-10-02 19:00:00,,5
2013-10-03,,,,,,,,,,0,75.0,-15.0,False,2013-10-03 18:15:00,2013-10-03 18:45:00,,3
2013-10-04,,,,,,,,,,0,15.0,0.0,False,2013-10-04 17:15:00,2013-10-04 19:00:00,,6
2013-10-05,461.9,0.7399999999999997,88.79999999999995,9.15,-1.5,-0.0125,9.8,8.3,1.5,6,0.0,0.0,True,2013-10-05 17:00:00,2013-10-05 19:00:00,120.0,6
2013-10-06,,,,,,,,,,0,75.0,0.0,False,2013-10-06 18:15:00,2013-10-06 19:00:00,,4
2013-10-07,,,,,,,,,,0,75.0,0.0,False,2013-10-07 18:15:00,2013-10-07 19:00:00,,4
2013-10-08,,,,,,,,,,0,45.0,0.0,False,2013-10-08 17:45:00,2013-10-08 19:00:00,,6
2013-10-09,488.3,1.0158333333333336,121.90000000000003,9.071428571428571,-1.200000000000001,-0.010000000000000009,9.7,8.2,1.5,7,0.0,0.0,True,2013-10-09 17:00:00,2013-10-09 19:00:00,120.0,7
2013-10-10,464.7,0.9691666666666667,116.30000000000001,9.275,-0.5999999999999996,-0.004999999999999997,9.6,8.8,0.7999999999999989,8,0.0,0.0,True,2013-10-10 17:00:00,2013-10-10 19:00:00,120.0,8
