FECHA,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18
2012-12-31,-0.2,-0.2,,0.14,0.14,,358.0,,,4.0,4,0.49,0.49,-0.7,,,,113.9,1,0
2013-01-01,1.025,0.5,0.39,-0.1775,-0.0,-0.139,307.5,1.0,-0.6,4.25,2,0.65,0.69,-1.5750000000000002,0.0,0.0,0.0,113.9,4,6
2013-01-02,-0.19999999999999998,-1.9,0.3999999999999999,0.16,0.7,-0.174,305.5,3.3166247903554,1.2,3.25,1,2.17,2.42,-1.2750000000000001,8.5,10.0,51.0,115.0,4,6
2013-01-03,-1.15,-3.1,-1.08,0.009999999999999981,0.82,0.40800000000000003,302.5,1.7320508075688772,0.8,7.0,5,1.4325,1.61,3.8,0.0,0.0,0.0,124.6,4,6
2013-01-04,-0.9249999999999999,-2.3,0.67,0.09249999999999997,0.57,-0.205,335.25,1.8929694486000912,0.7,1.75,1,0.9449999999999998,1.14,2.1500000000000004,7.0,7.0,42.0,138.4,4,6
2013-01-05,-0.6000000000000001,-1.2,-0.07999999999999999,-0.04000000000000001,0.12,-0.011999999999999997,291.25,2.0615528128088303,1.5,1.75,-3,0.5025,0.54,2.475,1.5,3.0,9.0,140.3,4,6
2013-01-06,1.575,-1.0,0.21000000000000005,-0.11000000000000001,0.7,-0.07200000000000001,347.5,3.415650255319866,-2.2,9.0,5,2.5475,2.88,-4.0,13.5,17.0,81.0,137.5,4,6
2013-01-07,1.775,0.5,-0.11000000000000001,-0.36500000000000005,0.24,0.10999999999999999,353.5,7.593857166596345,-5.8,4.0,2,1.4075,1.79,-2.1750000000000003,5.0,7.0,30.0,144.8,4,6
2013-01-08,-2.7,-3.2,-8.881784197001253e-17,0.875,1.03,0.11599999999999999,325.75,4.5,3.3,0.75,-1,1.8175000000000001,1.92,-0.35000000000000003,16.5,23.0,99.0,150.5,4,6
2013-01-09,-1.3499999999999999,-3.3,0.9,0.44499999999999995,1.14,-0.4119999999999999,322.5,4.43471156521669,-1.0,-4.0,-6,0.97,1.03,-0.27500000000000013,7.0,7.0,42.0,163.8,4,6
2013-01-10,-0.32499999999999996,-0.8,0.45,-0.05999999999999999,0.24,-0.22199999999999998,296.75,3.304037933599835,-1.5,3.75,2,1.17,1.34,1.525,5.0,7.0,30.0,168.2,4,6
2013-01-11,-3.7249999999999996,-5.1,0.6499999999999998,0.885,1.41,-0.20199999999999996,339.25,17.55704986607944,12.9,1.25,-5,1.7575,1.82,2.55,12.0,17.0,72.0,166.7,4,6
2013-01-12,-0.47499999999999987,-4.1,-1.9899999999999998,-0.255,1.5,0.9120000000000001,384.5,7.416198487095663,-3.6,5.0,3,1.945,2.04,3.325,6.5,10.0,39.0,163.0,4,6
2013-01-13,-0.42500000000000004,-4.0,0.27000000000000013,0.15249999999999997,2.3,-0.32699999999999996,492.75,7.544313531837517,-1.7,-13.0,-18,2.5525,2.66,0.12500000000000003,32.0,37.0,192.0,151.4,4,6
2013-01-14,0.525,-0.5,0.010000000000000042,-0.47250000000000003,-0.05,0.10499999999999998,507.75,8.80814017448254,-6.5,-5.25,-6,0.8775,0.98,1.275,18.5,20.0,111.0,149.1,4,6
2013-01-15,1.125,-0.4,-0.65,-0.7999999999999999,-0.21,0.29599999999999993,434.0,14.854853303438128,-10.2,-4.0,-7,1.0,1.08,2.25,8.0,13.0,48.0,135.2,4,6
2013-01-16,1.5,0.3,0.8399999999999999,0.12499999999999997,0.57,-0.384,399.5,5.802298395176403,-4.0,3.25,-1,2.43,5.03,-4.725,21.5,23.0,129.0,132.6,4,6
2013-01-17,-1.35,-2.8,1.0,2.17,2.71,-0.418,373.0,8.04155872120988,-4.6,-51.5,-52,0.1725,0.37,-12.425,28.5,30.0,171.0,118.8,4,6
2013-01-18,1.0,-0.9,-0.020000000000000073,0.012500000000000011,0.76,0.06299999999999997,441.75,2.753785273643051,-2.1,0.0,-15,6.890000000000001,12.38,-2.625,25.0,30.0,150.0,111.5,4,6
2013-01-19,-4.550000000000001,-6.9,-1.1200000000000003,1.405,2.32,0.422,434.75,2.6299556396765835,1.9,-12.5,-19,2.89,4.03,2.6,23.5,27.0,141.0,103.3,4,6
2013-01-20,-0.9999999999999999,-2.4,-0.9199999999999999,0.25,0.77,0.21799999999999997,387.0,1.4142135623730951,-0.6,-10.25,-12,1.1199999999999999,1.19,0.725,5.0,7.0,30.0,103.2,4,6
2013-01-21,-0.35,-1.4,0.4999999999999999,0.22,0.57,-0.12799999999999997,348.25,5.737304826019502,-4.3,-8.0,-10,1.1075,1.15,-0.75,6.5,10.0,39.0,104.9,4,6
2013-01-22,0.475,-0.1,-0.12999999999999998,0.04,0.24,0.03599999999999999,309.75,2.9860788111948193,-2.3,0.25,-1,0.9775,1.08,-1.4000000000000001,0.0,0.0,0.0,106.9,4,6
2013-01-23,-2.075,-2.6,-0.49000000000000005,0.7975,0.9,0.024999999999999988,287.25,3.304037933599835,-2.3,-4.0,-7,1.0325,1.08,-2.15,1.5,3.0,9.0,101.6,4,6
2013-01-24,2.725,1.7,0.49000000000000005,-1.2175,-0.86,-0.14900000000000002,279.75,2.6299556396765835,1.9,14.0,12,1.5025,1.74,4.625,0.0,0.0,0.0,100.2,4,6
2013-01-25,-1.8500000000000003,-11.3,-1.8800000000000001,1.1025,4.21,-0.020999999999999908,390.0,5.94418483337567,2.6,6.0,-21,5.1325,5.67,-2.725,23.5,30.0,141.0,97.5,4,6
2013-01-26,-2.325,-5.8,1.49,1.795,3.63,-0.768,508.25,40.235763527820204,23.1,-42.5,-51,1.9525000000000001,2.74,-3.8500000000000005,40.0,40.0,240.0,96.3,4,6
2013-01-27,-0.6,-0.8,0.13999999999999999,0.335,0.46,0.008000000000000002,416.25,3.304037933599835,-2.5,-18.75,-20,0.9450000000000001,1.03,-0.5249999999999999,10.0,17.0,60.0,94.7,4,6
2013-01-28,-1.075,-1.5,0.07000000000000002,0.6725,0.88,0.06699999999999998,395.75,2.6299556396765835,-0.1,-11.75,-14,1.0425,1.07,-1.7000000000000002,15.0,17.0,90.0,94.7,4,6
2013-01-29,0.39999999999999997,-0.2,-0.4600000000000001,0.02500000000000001,0.28,0.158,350.5,3.415650255319866,-2.2,-5.5,-7,0.6950000000000001,0.81,-1.05,1.5,3.0,9.0,92.6,4,6
2013-01-30,-0.27499999999999997,-0.6,0.19,0.18,0.25,-0.054000000000000006,313.5,3.1091263510296048,-2.4,-11.5,-13,0.645,0.67,-0.75,1.5,3.0,9.0,93.8,4,6
2013-01-31,-2.675,-3.9,0.6699999999999999,1.0325,1.38,0.05499999999999998,327.5,1.2909944487358056,-0.4,2.5,-7,1.955,2.14,-1.7249999999999999,8.5,10.0,51.0,99.7,4,6
2013-02-01,2.35,-0.1,-1.6599999999999997,0.36250000000000004,1.63,0.877,366.5,15.673757260678329,11.6,4.0,-3,2.4050000000000002,4.74,-6.725,18.0,23.0,108.0,100.7,4,6
2013-02-02,0.75,0.1,0.34,0.275,0.51,-0.072,459.25,6.849574196011505,-0.1,-8.25,-11,1.1675,1.44,-2.825,20.0,30.0,120.0,108.6,4,6
2013-02-03,2.225,0.9,-0.57,-0.2075,0.16,0.139,409.0,3.7416573867739413,-2.2,-1.25,-2,2.5175,2.85,-3.2499999999999996,5.0,7.0,30.0,107.9,4,6
2013-02-04,0.20000000000000007,-2.0,-0.5,-0.09,0.55,0.07600000000000001,346.5,3.0,-2.2,13.5,13,3.0275000000000003,3.18,0.12500000000000003,13.0,23.0,78.0,103.7,4,6
2013-02-05,0.575,-2.5,-0.4299999999999999,-0.47,0.56,0.1,333.0,4.320493798938574,-2.8,2.25,2,1.4775,1.84,1.85,0.0,0.0,0.0,102.2,4,6
2013-02-06,-2.55,-4.6,-0.3400000000000001,0.10999999999999999,0.87,0.078,334.75,1.707825127659933,1.1,5.25,4,2.1425,2.28,4.175,8.5,10.0,51.0,100.7,4,6
2013-02-07,2.2750000000000004,1.3,-0.4699999999999999,-1.0325,-0.26,-0.179,368.75,2.0615528128088303,-0.9,-5.25,-8,3.0749999999999997,3.27,1.65,13.0,13.0,78.0,100.0,4,6
2013-02-08,-1.6,-2.9,-0.9,0.135,0.58,0.294,445.5,2.3804761428476167,1.6,-10.5,-11,1.9975,2.07,2.3499999999999996,11.5,13.0,69.0,101.4,4,6
