# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2025-11-29T16:41:41.002Z
#
# Location: GEO -12.0N 283.2E, URSI-Code JI91J JICAMARCA
# Instrument: Ionosonde, Model: DPS-4
#
# Query for measurement intervals of time:
# 2014-04-01T00:00:00.000Z - 2014-12-31T23:59:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2 [MHz] - F2 layer critical frequency
# hF [km] - Minimum virtual height of F trace
# hmF2 [km] - Peak height F2-layer
# B0 [km] - IRI thickness parameter
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of JI91J data provider
#
#Time                     CS   foF2 QD     hF QD   hmF2 QD    B0 QD
2014-04-01T00:00:00.000Z 100  9.400 //  367.0 //  510.3 // 141.7 //
2014-04-01T00:05:00.000Z 100  9.300 //  383.0 //  518.3 // 140.7 //
2014-04-01T00:10:00.000Z 100  9.100 //  385.0 //  522.3 // 137.2 //
2014-04-01T00:15:00.000Z 100  3.400 //  390.0 //  386.7 //  69.3 //
2014-04-01T00:20:00.000Z 100  8.800 //  397.0 //  519.1 // 132.9 //
2014-04-01T00:25:00.000Z 100  7.900 //  402.0 //  483.4 //  99.9 //
2014-04-01T00:30:00.000Z 100  8.600 //  400.0 //  523.0 // 131.4 //
2014-04-01T00:35:00.000Z 100  8.600 //  397.0 //  522.8 // 132.8 //
2014-04-01T00:40:00.000Z 100  8.400 //  402.5 //  514.3 // 128.5 //
2014-04-01T00:45:00.000Z 100  8.400 //  403.0 //  520.9 // 135.2 //
2014-04-01T00:50:00.000Z 100  7.800 //  393.0 //  487.6 // 101.2 //
2014-04-01T00:55:00.000Z 100  8.300 //  393.0 //  513.0 // 133.0 //
2014-04-01T01:00:00.000Z 100  7.800 //  402.0 //  497.7 // 120.4 //
2014-04-01T01:05:00.000Z 100  8.000 //  382.5 //  484.9 // 110.8 //
2014-04-01T01:10:00.000Z 100  8.100 //  377.0 //  505.4 // 136.6 //
2014-04-01T01:15:00.000Z 100  8.200 //  377.5 //  507.9 // 145.5 //
2014-04-01T01:20:00.000Z 100  8.200 //  373.0 //  496.9 // 124.9 //
2014-04-01T01:25:00.000Z 100  7.700 //  373.0 //  465.7 // 107.3 //
2014-04-01T01:30:00.000Z 100  8.500 //  368.0 //  505.7 // 151.0 //
2014-04-01T01:35:00.000Z 100  8.600 //  368.0 //  503.3 // 149.3 //
2014-04-01T01:40:00.000Z 100  8.600 //  362.0 //  461.3 // 109.0 //
2014-04-01T01:45:00.000Z 100  8.600 //  357.0 //  476.1 // 128.0 //
2014-04-01T01:50:00.000Z 100  8.800 //  355.0 //  479.2 // 129.9 //
2014-04-01T01:55:00.000Z 100  9.400 //  361.0 //  440.2 //  83.5 //
2014-04-01T02:00:00.000Z 100  9.400 //  347.0 //  426.0 //  76.9 //
2014-04-01T02:05:00.000Z 100 10.400 //  351.0 //  437.2 //  72.4 //
2014-04-01T02:10:00.000Z 100  9.400 //  347.0 //  414.9 //  67.8 //
2014-04-01T02:15:00.000Z 100  8.800 //  317.5 //  426.6 // 104.4 //
2014-04-01T02:20:00.000Z 100  9.000 //  311.0 //  425.5 // 115.1 //
2014-04-01T02:25:00.000Z 100  8.900 //  286.0 //  443.6 // 156.8 //
2014-04-01T02:30:00.000Z 100  9.300 //  276.0 //  449.7 // 175.3 //
2014-04-01T02:35:00.000Z 100  9.300 //  261.0 //  401.7 // 124.0 //
2014-04-01T02:40:00.000Z 100  9.300 //  266.0 //  380.6 //  99.0 //
2014-04-01T02:45:00.000Z 100  9.000 //  256.0 //  399.2 // 127.6 //
2014-04-01T02:50:00.000Z 100  9.000 //  252.5 //  331.8 //  53.5 //
2014-04-01T02:55:00.000Z 100  9.000 //  256.0 //  406.2 // 153.3 //
2014-04-01T03:00:00.000Z 100  9.100 //  251.0 //  383.8 // 131.6 //
2014-04-01T03:05:00.000Z 100  9.100 //  246.0 //  381.1 // 143.7 //
2014-04-01T03:10:00.000Z 100  9.000 //  242.0 //  363.1 // 122.6 //
2014-04-01T03:15:00.000Z 100  9.100 //  237.0 //  364.1 // 132.0 //
2014-04-01T03:20:00.000Z   0  9.200 //  233.0 //    --- __   --- __
2014-04-01T03:25:00.000Z 100  9.100 //  230.0 //  366.8 // 150.0 //
2014-04-01T03:30:00.000Z 100  9.000 //  230.0 //  358.5 // 138.4 //
2014-04-01T03:35:00.000Z 100  9.200 //  227.0 //  346.2 // 130.1 //
2014-04-01T03:40:00.000Z 100  9.300 //  227.0 //  315.0 //  75.9 //
2014-04-01T03:45:00.000Z 100  9.300 //  232.0 //  317.2 //  75.6 //
2014-04-01T03:50:00.000Z 100  9.300 //  225.0 //  310.7 //  68.8 //
2014-04-01T03:55:00.000Z 100  9.300 //  216.0 //  304.5 //  64.6 //
2014-04-01T04:00:00.000Z 100  9.400 //  235.0 //  313.3 //  72.4 //
2014-04-01T04:05:00.000Z 100  9.700 //  225.0 //  332.1 //  98.1 //
2014-04-01T04:10:00.000Z 100  9.300 //  230.0 //  325.5 //  95.9 //
2014-04-01T04:15:00.000Z 100  9.300 //  225.0 //  310.8 //  84.5 //
2014-04-01T04:20:00.000Z 100  9.400 //  215.0 //  304.2 //  81.7 //
2014-04-01T04:25:00.000Z 100  9.200 //  216.0 //  288.4 //  67.3 //
2014-04-01T04:30:00.000Z 100  9.300 //  216.0 //  286.3 //  66.1 //
2014-04-01T04:35:00.000Z   0  9.700 //  215.0 //    --- __   --- __
2014-04-01T04:40:00.000Z 100  9.200 //  210.0 //  290.8 //  77.8 //
2014-04-01T04:45:00.000Z 100  9.100 //  211.0 //  322.8 // 105.7 //
2014-04-01T04:50:00.000Z 100  8.500 //  215.0 //  304.5 //  86.5 //
2014-04-01T04:55:00.000Z 100  9.100 //  205.0 //  279.8 //  66.8 //
2014-04-01T05:00:00.000Z 100  8.800 //  205.0 //  265.9 //  53.4 //
2014-04-01T05:05:00.000Z   0  8.800 //  200.0 //    --- __   --- __
2014-04-01T05:10:00.000Z 100  8.600 //  200.0 //  301.3 // 108.1 //
2014-04-01T05:15:00.000Z 100  8.300 //  205.0 //  267.7 //  64.2 //
2014-04-01T05:20:00.000Z 100  8.200 //  201.0 //  258.9 //  55.5 //
2014-04-01T05:25:00.000Z 100  8.300 //  197.5 //  282.7 //  79.5 //
2014-04-01T05:30:00.000Z 100  8.000 //  217.0 //  268.7 //  57.7 //
2014-04-01T05:35:00.000Z 100  7.900 //  200.0 //  243.1 //  41.9 //
2014-04-01T05:40:00.000Z 100  8.200 //  197.0 //  259.4 //  56.9 //
2014-04-01T05:45:00.000Z 100  7.800 //  197.0 //  249.6 //  50.7 //
2014-04-01T05:50:00.000Z 100  7.300 //  202.5 //  231.8 //  30.4 //
2014-04-01T05:55:00.000Z 100  7.400 //  197.0 //  233.3 //  36.6 //
2014-04-01T06:00:00.000Z 100  7.100 //  195.0 //  230.5 //  34.8 //
2014-04-01T06:05:00.000Z   0  6.900 //  195.0 //    --- __   --- __
2014-04-01T06:10:00.000Z 100  7.000 //  196.0 //  240.5 //  44.4 //
2014-04-01T06:15:00.000Z 100  6.600 //  196.0 //  242.8 //  46.3 //
2014-04-01T06:20:00.000Z 100  6.600 //  200.0 //  230.1 //  32.2 //
2014-04-01T06:25:00.000Z 100  6.500 //  200.0 //  239.2 //  38.3 //
2014-04-01T06:30:00.000Z 100  6.500 //  200.0 //  250.3 //  52.5 //
2014-04-01T06:35:00.000Z 100  6.100 //  201.0 //  245.5 //  48.9 //
2014-04-01T06:40:00.000Z 100  5.700 //  195.0 //  253.9 //  61.0 //
2014-04-01T06:45:00.000Z 100  5.800 //  192.0 //  243.1 //  50.1 //
2014-04-01T06:50:00.000Z 100  5.100 //  191.0 //  236.6 //  47.1 //
2014-04-01T06:55:00.000Z 100  5.700 //  202.0 //  243.0 //  39.2 //
2014-04-01T07:00:00.000Z 100  5.700 //  202.0 //  300.7 // 104.9 //
2014-04-01T07:05:00.000Z 100  5.800 //  207.0 //  291.9 //  86.8 //
2014-04-01T07:10:00.000Z 100  4.300 //  221.0 //  241.2 //  28.7 //
2014-04-01T07:20:00.000Z 100  4.200 //  226.0 //  251.1 //  34.9 //
2014-04-01T07:30:00.000Z 100  4.300 //  240.0 //  271.0 //  40.4 //
2014-04-01T07:35:00.000Z 100  4.400 //  231.0 //  282.7 //  58.0 //
2014-04-01T07:40:00.000Z 100  4.300 //  236.0 //  267.4 //  39.6 //
2014-04-01T07:45:00.000Z 100  4.200 //  243.0 //  277.7 //  48.2 //
2014-04-01T07:50:00.000Z 100  3.500 //  245.0 //  272.9 //  46.9 //
2014-04-01T07:55:00.000Z 100  4.200 //  242.0 //  278.4 //  46.1 //
2014-04-01T08:00:00.000Z 100  3.600 //  240.0 //  260.8 //  33.3 //
2014-04-01T08:05:00.000Z 100  4.100 //  240.0 //  281.4 //  51.7 //
2014-04-01T08:10:00.000Z 100  3.600 //  240.0 //  266.1 //  39.2 //
2014-04-01T08:15:00.000Z 100  3.500 //  250.0 //  290.2 //  56.2 //
2014-04-01T08:20:00.000Z 100  3.700 //  240.0 //  299.8 //  65.7 //
2014-04-01T08:25:00.000Z 100  3.100 //  261.0 //  280.9 //  39.1 //
2014-04-01T08:30:00.000Z 100  3.500 //  260.0 //  289.7 //  35.7 //
2014-04-01T08:35:00.000Z 100  3.500 //  275.0 //  330.5 //  81.7 //
2014-04-01T08:40:00.000Z 100  3.400 //  260.0 //  337.4 // 100.5 //
2014-04-01T08:45:00.000Z 100  3.300 //  265.0 //  289.9 //  48.6 //
2014-04-01T08:50:00.000Z 100  3.300 //  255.0 //  296.8 //  59.8 //
2014-04-01T08:55:00.000Z 100  3.200 //  250.0 //  275.4 //  46.4 //
2014-04-01T09:05:00.000Z 100  3.200 //  245.0 //  261.2 //  33.2 //
2014-04-01T09:10:00.000Z 100  3.300 //  240.0 //  298.7 //  78.1 //
2014-04-01T09:15:00.000Z 100  3.200 //  235.0 //  263.8 //  44.6 //
2014-04-01T09:20:00.000Z 100  3.300 //  235.0 //  287.7 //  71.4 //
2014-04-01T09:25:00.000Z 100  3.100 //  232.5 //  273.7 //  55.0 //
2014-04-01T09:30:00.000Z 100  3.100 //  235.0 //  258.6 //  41.5 //
2014-04-01T09:35:00.000Z 100  3.100 //  236.0 //  318.2 //  99.3 //
2014-04-01T09:40:00.000Z 100  3.000 //  244.0 //  316.5 //  95.2 //
2014-04-01T09:45:00.000Z 100  3.200 //  237.5 //  318.7 //  97.5 //
2014-04-01T09:50:00.000Z 100  2.800 //  239.0 //  263.9 //  44.3 //
2014-04-01T10:00:00.000Z 100  2.600 //  238.0 //  296.1 //  80.2 //
2014-04-01T10:05:00.000Z 100  3.100 //  245.0 //  272.5 //  40.7 //
2014-04-01T10:15:00.000Z 100  2.700 //  245.0 //  283.1 //  61.0 //
2014-04-01T10:20:00.000Z 100  2.500 //  245.0 //  269.5 //  47.6 //
2014-04-01T10:50:00.000Z 100  2.700 //  280.0 //  329.3 // 122.4 //
2014-04-01T10:55:00.000Z  70  3.100 //  265.0 //  306.7 //  96.2 //
2014-04-01T11:00:00.000Z 100  3.500 //  257.5 //  315.2 // 108.7 //
2014-04-01T11:05:00.000Z  70  4.100 //  257.5 //  302.6 //  94.3 //
2014-04-01T11:10:00.000Z 100  4.600 //  251.0 //  291.8 //  94.8 //
2014-04-01T11:15:00.000Z 100  4.300 //  252.0 //  247.1 //  49.2 //
2014-04-01T11:20:00.000Z  70  5.500 //  246.0 //  280.4 //  74.7 //
2014-04-01T11:25:00.000Z  70  5.800 //  246.0 //  257.2 //  59.5 //
2014-04-01T11:30:00.000Z 100  6.300 //  242.0 //  264.5 //  66.7 //
2014-04-01T11:35:00.000Z  70  6.900 //  242.0 //  279.7 //  81.2 //
2014-04-01T11:40:00.000Z  70  7.200 //  237.0 //  257.3 //  65.1 //
2014-04-01T11:45:00.000Z  70  7.700 //  237.0 //  269.7 //  73.2 //
2014-04-01T11:50:00.000Z  70  7.900 //  235.0 //  264.1 //  71.1 //
2014-04-01T11:55:00.000Z  70  8.300 //  235.0 //  263.6 //  72.3 //
2014-04-01T12:00:00.000Z  70  8.600 //  235.0 //  264.8 //  74.1 //
2014-04-01T12:05:00.000Z  70  8.900 //  233.0 //  263.3 //  72.3 //
2014-04-01T12:10:00.000Z  70  9.100 //  227.0 //  265.6 //  73.6 //
2014-04-01T12:15:00.000Z  70  9.400 //  230.0 //  266.3 //  76.2 //
2014-04-01T12:20:00.000Z  70  9.700 //  225.0 //  268.2 //  74.7 //
2014-04-01T12:25:00.000Z  70  9.800 //  225.0 //  263.6 //  72.4 //
2014-04-01T12:30:00.000Z  70 10.100 //  222.0 //  276.1 //  78.0 //
2014-04-01T12:35:00.000Z  70 10.600 //  225.0 //  297.4 //  86.9 //
2014-04-01T12:40:00.000Z  70 10.300 //  226.0 //  275.5 //  83.1 //
2014-04-01T12:45:00.000Z  70 10.600 //  220.0 //  283.6 //  90.7 //
2014-04-01T12:50:00.000Z  70 10.800 //  225.0 //  295.7 // 105.3 //
2014-04-01T12:55:00.000Z  70 10.900 //  230.0 //  283.7 //  85.8 //
2014-04-01T13:00:00.000Z  70 11.000 //  225.0 //  275.6 //  81.5 //
2014-04-01T13:05:00.000Z  70 10.800 //  225.0 //  271.0 //  82.4 //
2014-04-01T13:10:00.000Z  70  9.500 //  217.5 //  249.2 //  69.8 //
2014-04-01T13:15:00.000Z  70 10.800 //  223.0 //  271.9 //  81.2 //
2014-04-01T13:20:00.000Z  70 10.600 //  218.0 //  268.5 //  80.5 //
2014-04-01T13:25:00.000Z  70  9.200 //  218.0 //  273.0 //  76.2 //
2014-04-01T13:30:00.000Z  70 11.000 //  257.0 //  277.6 //  94.0 //
2014-04-01T13:35:00.000Z  70 10.600 //  260.0 //  275.9 //  89.4 //
2014-04-01T13:40:00.000Z  70 10.700 //  265.0 //  278.5 //  98.6 //
2014-04-01T13:45:00.000Z  70 10.500 //  256.0 //  276.8 //  97.2 //
2014-04-01T13:50:00.000Z  70 10.400 //  255.0 //  306.4 // 122.3 //
2014-04-01T13:55:00.000Z  70 10.800 //  265.0 //  312.5 // 121.6 //
2014-04-01T14:00:00.000Z  70 10.400 //  257.5 //  292.2 // 101.6 //
2014-04-01T14:05:00.000Z  70 10.200 //  255.0 //  290.2 // 104.7 //
2014-04-01T14:10:00.000Z  70 10.300 //  268.0 //  307.5 // 115.9 //
2014-04-01T14:15:00.000Z  70 10.100 //  270.0 //  295.4 // 112.2 //
2014-04-01T14:20:00.000Z  70 10.600 //  258.0 //  309.6 // 128.5 //
2014-04-01T14:25:00.000Z  70 10.300 //  260.0 //  314.8 // 121.1 //
2014-04-01T14:30:00.000Z  70 10.300 //  275.0 //  307.7 // 120.9 //
