Time_UTC,Time_Local_Peru,CS,foF2,hF,hmF2,B0
2014-04-01 00:00:00,2014-03-31 19:00:00,100,9.4,367.0,510.3,141.7
2014-04-01 00:05:00,2014-03-31 19:05:00,100,9.3,383.0,518.3,140.7
2014-04-01 00:10:00,2014-03-31 19:10:00,100,9.1,385.0,522.3,137.2
2014-04-01 00:15:00,2014-03-31 19:15:00,100,3.4,390.0,386.7,69.3
2014-04-01 00:20:00,2014-03-31 19:20:00,100,8.8,397.0,519.1,132.9
2014-04-01 00:25:00,2014-03-31 19:25:00,100,7.9,402.0,483.4,99.9
2014-04-01 00:30:00,2014-03-31 19:30:00,100,8.6,400.0,523.0,131.4
2014-04-01 00:35:00,2014-03-31 19:35:00,100,8.6,397.0,522.8,132.8
2014-04-01 00:40:00,2014-03-31 19:40:00,100,8.4,402.5,514.3,128.5
2014-04-01 00:45:00,2014-03-31 19:45:00,100,8.4,403.0,520.9,135.2
2014-04-01 00:50:00,2014-03-31 19:50:00,100,7.8,393.0,487.6,101.2
2014-04-01 00:55:00,2014-03-31 19:55:00,100,8.3,393.0,513.0,133.0
2014-04-01 01:00:00,2014-03-31 20:00:00,100,7.8,402.0,497.7,120.4
2014-04-01 01:05:00,2014-03-31 20:05:00,100,8.0,382.5,484.9,110.8
2014-04-01 01:10:00,2014-03-31 20:10:00,100,8.1,377.0,505.4,136.6
2014-04-01 01:15:00,2014-03-31 20:15:00,100,8.2,377.5,507.9,145.5
2014-04-01 01:20:00,2014-03-31 20:20:00,100,8.2,373.0,496.9,124.9
2014-04-01 01:25:00,2014-03-31 20:25:00,100,7.7,373.0,465.7,107.3
2014-04-01 01:30:00,2014-03-31 20:30:00,100,8.5,368.0,505.7,151.0
2014-04-01 01:35:00,2014-03-31 20:35:00,100,8.6,368.0,503.3,149.3
2014-04-01 01:40:00,2014-03-31 20:40:00,100,8.6,362.0,461.3,109.0
2014-04-01 01:45:00,2014-03-31 20:45:00,100,8.6,357.0,476.1,128.0
2014-04-01 01:50:00,2014-03-31 20:50:00,100,8.8,355.0,479.2,129.9
2014-04-01 01:55:00,2014-03-31 20:55:00,100,9.4,361.0,440.2,83.5
2014-04-01 02:00:00,2014-03-31 21:00:00,100,9.4,347.0,426.0,76.9
2014-04-01 02:05:00,2014-03-31 21:05:00,100,10.4,351.0,437.2,72.4
2014-04-01 02:10:00,2014-03-31 21:10:00,100,9.4,347.0,414.9,67.8
2014-04-01 02:15:00,2014-03-31 21:15:00,100,8.8,317.5,426.6,104.4
2014-04-01 02:20:00,2014-03-31 21:20:00,100,9.0,311.0,425.5,115.1
2014-04-01 02:25:00,2014-03-31 21:25:00,100,8.9,286.0,443.6,156.8
2014-04-01 02:30:00,2014-03-31 21:30:00,100,9.3,276.0,449.7,175.3
2014-04-01 02:35:00,2014-03-31 21:35:00,100,9.3,261.0,401.7,124.0
2014-04-01 02:40:00,2014-03-31 21:40:00,100,9.3,266.0,380.6,99.0
2014-04-01 02:45:00,2014-03-31 21:45:00,100,9.0,256.0,399.2,127.6
2014-04-01 02:50:00,2014-03-31 21:50:00,100,9.0,252.5,331.8,53.5
2014-04-01 02:55:00,2014-03-31 21:55:00,100,9.0,256.0,406.2,153.3
2014-04-01 03:00:00,2014-03-31 22:00:00,100,9.1,251.0,383.8,131.6
2014-04-01 03:05:00,2014-03-31 22:05:00,100,9.1,246.0,381.1,143.7
2014-04-01 03:10:00,2014-03-31 22:10:00,100,9.0,242.0,363.1,122.6
2014-04-01 03:15:00,2014-03-31 22:15:00,100,9.1,237.0,364.1,132.0
2014-04-01 03:25:00,2014-03-31 22:25:00,100,9.1,230.0,366.8,150.0
2014-04-01 03:30:00,2014-03-31 22:30:00,100,9.0,230.0,358.5,138.4
2014-04-01 03:35:00,2014-03-31 22:35:00,100,9.2,227.0,346.2,130.1
2014-04-01 03:40:00,2014-03-31 22:40:00,100,9.3,227.0,315.0,75.9
2014-04-01 03:45:00,2014-03-31 22:45:00,100,9.3,232.0,317.2,75.6
2014-04-01 03:50:00,2014-03-31 22:50:00,100,9.3,225.0,310.7,68.8
2014-04-01 03:55:00,2014-03-31 22:55:00,100,9.3,216.0,304.5,64.6
2014-04-01 04:00:00,2014-03-31 23:00:00,100,9.4,235.0,313.3,72.4
2014-04-01 04:05:00,2014-03-31 23:05:00,100,9.7,225.0,332.1,98.1
2014-04-01 04:10:00,2014-03-31 23:10:00,100,9.3,230.0,325.5,95.9
2014-04-01 04:15:00,2014-03-31 23:15:00,100,9.3,225.0,310.8,84.5
2014-04-01 04:20:00,2014-03-31 23:20:00,100,9.4,215.0,304.2,81.7
2014-04-01 04:25:00,2014-03-31 23:25:00,100,9.2,216.0,288.4,67.3
2014-04-01 04:30:00,2014-03-31 23:30:00,100,9.3,216.0,286.3,66.1
2014-04-01 04:40:00,2014-03-31 23:40:00,100,9.2,210.0,290.8,77.8
2014-04-01 04:45:00,2014-03-31 23:45:00,100,9.1,211.0,322.8,105.7
2014-04-01 04:50:00,2014-03-31 23:50:00,100,8.5,215.0,304.5,86.5
2014-04-01 04:55:00,2014-03-31 23:55:00,100,9.1,205.0,279.8,66.8
2014-04-01 05:00:00,2014-04-01 00:00:00,100,8.8,205.0,265.9,53.4
2014-04-01 05:10:00,2014-04-01 00:10:00,100,8.6,200.0,301.3,108.1
2014-04-01 05:15:00,2014-04-01 00:15:00,100,8.3,205.0,267.7,64.2
2014-04-01 05:20:00,2014-04-01 00:20:00,100,8.2,201.0,258.9,55.5
2014-04-01 05:25:00,2014-04-01 00:25:00,100,8.3,197.5,282.7,79.5
2014-04-01 05:30:00,2014-04-01 00:30:00,100,8.0,217.0,268.7,57.7
2014-04-01 05:35:00,2014-04-01 00:35:00,100,7.9,200.0,243.1,41.9
2014-04-01 05:40:00,2014-04-01 00:40:00,100,8.2,197.0,259.4,56.9
2014-04-01 05:45:00,2014-04-01 00:45:00,100,7.8,197.0,249.6,50.7
2014-04-01 05:50:00,2014-04-01 00:50:00,100,7.3,202.5,231.8,30.4
2014-04-01 05:55:00,2014-04-01 00:55:00,100,7.4,197.0,233.3,36.6
2014-04-01 06:00:00,2014-04-01 01:00:00,100,7.1,195.0,230.5,34.8
2014-04-01 06:10:00,2014-04-01 01:10:00,100,7.0,196.0,240.5,44.4
2014-04-01 06:15:00,2014-04-01 01:15:00,100,6.6,196.0,242.8,46.3
2014-04-01 06:20:00,2014-04-01 01:20:00,100,6.6,200.0,230.1,32.2
2014-04-01 06:25:00,2014-04-01 01:25:00,100,6.5,200.0,239.2,38.3
2014-04-01 06:30:00,2014-04-01 01:30:00,100,6.5,200.0,250.3,52.5
2014-04-01 06:35:00,2014-04-01 01:35:00,100,6.1,201.0,245.5,48.9
2014-04-01 06:40:00,2014-04-01 01:40:00,100,5.7,195.0,253.9,61.0
2014-04-01 06:45:00,2014-04-01 01:45:00,100,5.8,192.0,243.1,50.1
2014-04-01 06:50:00,2014-04-01 01:50:00,100,5.1,191.0,236.6,47.1
2014-04-01 06:55:00,2014-04-01 01:55:00,100,5.7,202.0,243.0,39.2
2014-04-01 07:00:00,2014-04-01 02:00:00,100,5.7,202.0,300.7,104.9
2014-04-01 07:05:00,2014-04-01 02:05:00,100,5.8,207.0,291.9,86.8
2014-04-01 07:10:00,2014-04-01 02:10:00,100,4.3,221.0,241.2,28.7
2014-04-01 07:20:00,2014-04-01 02:20:00,100,4.2,226.0,251.1,34.9
2014-04-01 07:30:00,2014-04-01 02:30:00,100,4.3,240.0,271.0,40.4
2014-04-01 07:35:00,2014-04-01 02:35:00,100,4.4,231.0,282.7,58.0
2014-04-01 07:40:00,2014-04-01 02:40:00,100,4.3,236.0,267.4,39.6
2014-04-01 07:45:00,2014-04-01 02:45:00,100,4.2,243.0,277.7,48.2
2014-04-01 07:50:00,2014-04-01 02:50:00,100,3.5,245.0,272.9,46.9
2014-04-01 07:55:00,2014-04-01 02:55:00,100,4.2,242.0,278.4,46.1
2014-04-01 08:00:00,2014-04-01 03:00:00,100,3.6,240.0,260.8,33.3
2014-04-01 08:05:00,2014-04-01 03:05:00,100,4.1,240.0,281.4,51.7
2014-04-01 08:10:00,2014-04-01 03:10:00,100,3.6,240.0,266.1,39.2
2014-04-01 08:15:00,2014-04-01 03:15:00,100,3.5,250.0,290.2,56.2
2014-04-01 08:20:00,2014-04-01 03:20:00,100,3.7,240.0,299.8,65.7
2014-04-01 08:25:00,2014-04-01 03:25:00,100,3.1,261.0,280.9,39.1
2014-04-01 08:30:00,2014-04-01 03:30:00,100,3.5,260.0,289.7,35.7
2014-04-01 08:35:00,2014-04-01 03:35:00,100,3.5,275.0,330.5,81.7
2014-04-01 08:40:00,2014-04-01 03:40:00,100,3.4,260.0,337.4,100.5
2014-04-01 08:45:00,2014-04-01 03:45:00,100,3.3,265.0,289.9,48.6
2014-04-01 08:50:00,2014-04-01 03:50:00,100,3.3,255.0,296.8,59.8
2014-04-01 08:55:00,2014-04-01 03:55:00,100,3.2,250.0,275.4,46.4
2014-04-01 09:05:00,2014-04-01 04:05:00,100,3.2,245.0,261.2,33.2
2014-04-01 09:10:00,2014-04-01 04:10:00,100,3.3,240.0,298.7,78.1
2014-04-01 09:15:00,2014-04-01 04:15:00,100,3.2,235.0,263.8,44.6
2014-04-01 09:20:00,2014-04-01 04:20:00,100,3.3,235.0,287.7,71.4
2014-04-01 09:25:00,2014-04-01 04:25:00,100,3.1,232.5,273.7,55.0
2014-04-01 09:30:00,2014-04-01 04:30:00,100,3.1,235.0,258.6,41.5
2014-04-01 09:35:00,2014-04-01 04:35:00,100,3.1,236.0,318.2,99.3
2014-04-01 09:40:00,2014-04-01 04:40:00,100,3.0,244.0,316.5,95.2
