Time_UTC,Time_Local_Peru,CS,foF2,hF,hmF2,B0
2014-01-01 00:00:00,2013-12-31 19:00:00,100,11.1,287.0,411.3,119.5
2014-01-01 00:15:00,2013-12-31 19:15:00,100,11.2,305.0,451.9,130.6
2014-01-01 00:30:00,2013-12-31 19:30:00,100,10.7,335.0,492.7,137.1
2014-01-01 00:45:00,2013-12-31 19:45:00,100,9.9,360.0,497.0,129.1
2014-01-01 01:00:00,2013-12-31 20:00:00,100,9.3,371.0,515.3,129.2
2014-01-01 01:15:00,2013-12-31 20:15:00,100,8.5,416.0,518.6,118.1
2014-01-01 01:30:00,2013-12-31 20:30:00,100,8.2,406.0,505.7,133.8
2014-01-01 01:45:00,2013-12-31 20:45:00,100,7.9,370.0,495.7,106.2
2014-01-01 02:00:00,2013-12-31 21:00:00,100,8.7,405.0,497.7,92.0
2014-01-01 02:15:00,2013-12-31 21:15:00,100,8.1,410.0,502.5,98.9
2014-01-01 02:30:00,2013-12-31 21:30:00,100,8.1,411.0,506.2,114.3
2014-01-01 02:45:00,2013-12-31 21:45:00,100,8.2,385.0,462.4,78.2
2014-01-01 03:00:00,2013-12-31 22:00:00,100,7.8,380.0,447.4,83.5
2014-01-01 03:15:00,2013-12-31 22:15:00,100,8.0,370.0,438.7,86.9
2014-01-01 03:30:00,2013-12-31 22:30:00,100,7.6,347.5,405.4,67.4
2014-01-01 03:45:00,2013-12-31 22:45:00,100,7.5,330.0,407.6,84.2
2014-01-01 04:00:00,2013-12-31 23:00:00,100,7.4,300.0,357.6,50.9
2014-01-01 04:15:00,2013-12-31 23:15:00,100,7.1,345.0,356.8,59.6
2014-01-01 04:30:00,2013-12-31 23:30:00,100,6.8,270.0,308.3,35.7
2014-01-01 04:45:00,2013-12-31 23:45:00,100,6.5,250.0,287.8,40.4
2014-01-01 05:00:00,2014-01-01 00:00:00,100,6.5,230.0,283.7,54.6
2014-01-01 05:15:00,2014-01-01 00:15:00,100,5.8,230.0,266.9,39.9
2014-01-01 05:30:00,2014-01-01 00:30:00,100,5.7,220.0,251.5,33.6
2014-01-01 05:45:00,2014-01-01 00:45:00,100,5.5,215.0,249.4,38.9
2014-01-01 06:00:00,2014-01-01 01:00:00,100,5.1,225.0,252.2,36.7
2014-01-01 06:15:00,2014-01-01 01:15:00,100,4.7,225.0,250.5,34.9
2014-01-01 06:30:00,2014-01-01 01:30:00,100,4.4,227.0,242.3,25.5
2014-01-01 06:45:00,2014-01-01 01:45:00,100,4.2,230.0,271.4,58.3
2014-01-01 07:00:00,2014-01-01 02:00:00,100,4.7,223.6,292.2,81.2
2014-01-01 07:30:00,2014-01-01 02:30:00,100,3.7,224.0,235.3,26.5
2014-01-01 08:15:00,2014-01-01 03:15:00,100,3.3,240.0,298.0,79.3
2014-01-01 08:45:00,2014-01-01 03:45:00,100,2.9,235.0,311.1,100.3
2014-01-01 09:15:00,2014-01-01 04:15:00,100,3.0,240.0,277.9,54.3
2014-01-01 09:45:00,2014-01-01 04:45:00,100,2.8,248.0,277.9,51.4
2014-01-01 10:00:00,2014-01-01 05:00:00,100,3.0,255.0,300.9,74.0
2014-01-01 10:15:00,2014-01-01 05:15:00,100,3.1,240.0,305.6,91.6
2014-01-01 10:30:00,2014-01-01 05:30:00,70,3.9,255.0,336.5,136.2
2014-01-01 10:45:00,2014-01-01 05:45:00,100,4.7,272.0,303.4,84.3
2014-01-01 11:00:00,2014-01-01 06:00:00,100,5.5,264.0,313.3,108.8
2014-01-01 11:15:00,2014-01-01 06:15:00,100,5.9,241.0,301.4,117.8
2014-01-01 11:30:00,2014-01-01 06:30:00,100,6.65,235.0,332.0,200.0
2014-01-01 11:45:00,2014-01-01 06:45:00,100,7.25,230.0,292.4,115.4
2014-01-01 12:00:00,2014-01-01 07:00:00,100,7.85,226.0,276.9,97.6
2014-01-01 12:15:00,2014-01-01 07:15:00,100,8.1,230.0,292.8,116.7
2014-01-01 12:30:00,2014-01-01 07:30:00,70,8.2,231.0,303.5,137.6
2014-01-01 12:45:00,2014-01-01 07:45:00,100,8.9,212.0,316.7,142.9
2014-01-01 13:00:00,2014-01-01 08:00:00,100,9.6,207.0,307.0,114.6
2014-01-01 13:15:00,2014-01-01 08:15:00,100,9.65,205.0,301.7,125.2
2014-01-01 13:30:00,2014-01-01 08:30:00,100,9.4,200.0,327.1,143.7
2014-01-01 13:45:00,2014-01-01 08:45:00,70,10.15,210.0,367.4,180.8
2014-01-01 14:00:00,2014-01-01 09:00:00,100,10.6,205.0,392.2,173.7
2014-01-01 14:15:00,2014-01-01 09:15:00,100,10.65,245.0,380.6,184.3
2014-01-01 14:30:00,2014-01-01 09:30:00,70,10.6,281.0,362.1,158.2
2014-01-01 14:45:00,2014-01-01 09:45:00,70,11.0,295.0,386.7,186.5
2014-01-01 15:00:00,2014-01-01 10:00:00,70,10.4,301.0,351.3,127.1
2014-01-01 15:15:00,2014-01-01 10:15:00,70,10.5,327.0,347.4,125.2
2014-01-01 15:30:00,2014-01-01 10:30:00,70,10.9,330.0,384.7,164.5
2014-01-01 15:45:00,2014-01-01 10:45:00,70,10.5,320.0,361.1,141.5
2014-01-01 16:15:00,2014-01-01 11:15:00,70,10.5,347.0,381.7,150.9
2014-01-01 16:30:00,2014-01-01 11:30:00,70,10.4,380.0,370.5,133.4
2014-01-01 16:45:00,2014-01-01 11:45:00,70,10.5,395.0,389.7,147.2
2014-01-01 17:00:00,2014-01-01 12:00:00,70,10.5,351.0,397.2,140.3
2014-01-01 17:15:00,2014-01-01 12:15:00,70,10.4,397.0,399.8,155.4
2014-01-01 17:30:00,2014-01-01 12:30:00,70,10.4,360.0,410.6,161.8
2014-01-01 17:45:00,2014-01-01 12:45:00,70,10.4,341.0,410.8,152.4
2014-01-01 18:00:00,2014-01-01 13:00:00,70,10.7,365.0,419.9,157.1
2014-01-01 18:15:00,2014-01-01 13:15:00,70,10.9,397.5,415.0,155.6
2014-01-01 18:30:00,2014-01-01 13:30:00,70,10.5,375.0,392.8,141.8
2014-01-01 19:30:00,2014-01-01 14:30:00,70,11.3,335.0,404.5,155.1
2014-01-01 19:45:00,2014-01-01 14:45:00,70,11.4,377.0,408.8,164.8
2014-01-01 20:00:00,2014-01-01 15:00:00,70,11.4,370.0,408.1,164.6
2014-01-01 20:15:00,2014-01-01 15:15:00,70,11.4,335.0,405.9,150.8
2014-01-01 20:30:00,2014-01-01 15:30:00,70,11.5,336.0,403.5,145.5
2014-01-01 20:45:00,2014-01-01 15:45:00,70,11.4,275.0,400.2,147.9
2014-01-01 21:00:00,2014-01-01 16:00:00,70,10.9,310.0,378.0,129.8
2014-01-01 21:15:00,2014-01-01 16:15:00,70,11.4,245.0,410.2,146.2
2014-01-01 21:30:00,2014-01-01 16:30:00,70,11.6,250.0,409.8,141.4
2014-01-01 21:45:00,2014-01-01 16:45:00,70,11.6,171.0,402.4,136.7
2014-01-01 22:00:00,2014-01-01 17:00:00,100,11.7,225.0,404.6,139.4
2014-01-01 22:15:00,2014-01-01 17:15:00,100,11.6,231.0,396.7,136.0
2014-01-01 22:30:00,2014-01-01 17:30:00,100,11.6,245.0,409.0,145.0
2014-01-01 22:45:00,2014-01-01 17:45:00,100,11.55,246.0,413.9,143.2
