FECHA,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18
2014-03-31,1.1,1.1,,-1.32,-1.32,,387.0,,,-15.0,-15,1.23,1.23,4.7,,,,153.1,1,0
2014-04-01,1.775,1.0,0.26999999999999996,-0.8400000000000001,-0.04,-0.25999999999999995,437.0,8.406346808612328,-3.2,-5.0,-6,1.4075,1.61,0.8,16.5,23.0,99.0,153.1,4,6
2014-04-02,0.8999999999999999,-0.7,-0.72,-0.54,-0.23,0.042000000000000016,383.0,6.683312551921141,3.2,-6.0,-8,0.9524999999999999,1.11,1.2,13.0,13.0,78.0,154.6,4,6
2014-04-03,1.775,-0.8,0.38999999999999996,-1.1625,-0.63,-0.351,390.0,6.879922480183431,3.4,-3.75,-4,1.9325,2.14,2.725,13.0,13.0,78.0,153.0,4,6
2014-04-04,-0.525,-1.1,-0.45,-0.1275,0.08,0.159,414.0,4.08248290463863,-3.0,-1.0,-2,0.9299999999999999,0.95,1.4249999999999998,8.0,13.0,48.0,157.0,4,6
2014-04-05,-2.5749999999999997,-4.8,0.97,-1.1,0.22,-0.766,441.25,6.551081335677848,3.5,-0.75,-9,8.5575,13.03,8.775,26.5,30.0,159.0,142.3,4,6
2014-04-06,-2.775,-4.5,-1.57,0.4425,0.79,0.299,355.0,7.831560082980487,5.2,-3.75,-10,1.9574999999999998,2.51,2.175,5.0,10.0,30.0,141.2,4,6
2014-04-07,0.024999999999999967,-1.3,0.51,-0.1925,0.16,-0.15900000000000003,432.5,21.01586702153082,13.2,-21.0,-23,0.9424999999999999,1.24,0.7749999999999999,17.0,17.0,102.0,140.2,4,6
2014-04-08,3.7250000000000005,1.9,-0.93,-1.625,-1.31,0.13799999999999998,440.0,4.96655480858378,0.2,-12.0,-16,0.6549999999999999,0.72,1.0250000000000001,3.5,7.0,21.0,132.4,4,6
2014-04-09,0.575,-0.2,0.26999999999999996,-0.665,-0.29,-0.22800000000000004,425.25,15.283433296656002,11.3,-13.75,-16,0.335,0.44,2.0250000000000004,10.0,13.0,60.0,131.0,4,6
2014-04-10,4.05,3.5,0.13999999999999996,-1.7174999999999998,-1.21,-0.26699999999999996,396.25,5.315072906367325,4.1,-1.5,-2,0.8700000000000001,0.93,1.7000000000000002,5.0,7.0,30.0,137.3,4,6
2014-04-11,-8.274999999999999,-8.7,-0.029999999999999537,2.57,2.77,0.09599999999999995,354.75,4.031128874149275,-2.5,-46.75,-61,1.525,1.68,-0.275,27.0,37.0,162.0,138.2,4,6
