Time_UTC,Time_Local_Peru,FECHA,YEAR,DOY,Hour,BY_GSE_nT,BZ_GSE_nT,SW_Plasma_Speed_kms,Flow_Pressure_nPa,E_Electric_Field_mVm,Kp_Index,Dst_Index_nT,F10.7_Index
2014-04-01 00:00:00,2014-03-31 19:00:00,2014-03-31,2014,91,0,4.7,1.1,387.0,1.23,-1.32,3,-15,153.1
2014-04-01 01:00:00,2014-03-31 20:00:00,2014-03-31,2014,91,1,3.0,1.2,373.0,0.95,-0.97,3,-15,153.1
2014-04-01 02:00:00,2014-03-31 21:00:00,2014-03-31,2014,91,2,4.2,0.4,385.0,1.03,-0.92,3,-12,153.1
2014-04-01 03:00:00,2014-03-31 22:00:00,2014-03-31,2014,91,3,3.3,-0.1,386.0,1.03,-0.54,3,-9,153.1
2014-04-01 04:00:00,2014-03-31 23:00:00,2014-03-31,2014,91,4,3.1,1.8,378.0,1.01,-1.1,3,-7,153.1
2014-04-01 05:00:00,2014-04-01 00:00:00,2014-04-01,2014,91,5,2.7,0.1,369.0,0.91,-0.41,3,-4,153.1
2014-04-01 06:00:00,2014-04-01 01:00:00,2014-04-01,2014,91,6,2.9,-1.3,386.0,1.05,0.12,7,-4,153.1
2014-04-01 07:00:00,2014-04-01 02:00:00,2014-04-01,2014,91,7,0.7,-3.4,387.0,1.03,1.16,7,-6,153.1
2014-04-01 08:00:00,2014-04-01 03:00:00,2014-04-01,2014,91,8,1.8,0.1,382.0,1.03,-0.23,7,-6,153.1
2014-04-01 09:00:00,2014-04-01 04:00:00,2014-04-01,2014,91,9,3.3,2.1,398.0,1.1,-1.11,3,-6,153.1
2014-04-01 10:00:00,2014-04-01 05:00:00,2014-04-01,2014,91,10,0.7,3.8,395.0,1.08,-1.54,3,-5,153.1
2014-04-01 11:00:00,2014-04-01 06:00:00,2014-04-01,2014,91,11,3.4,-0.1,397.0,1.2,-0.28,3,-2,153.1
2014-04-01 12:00:00,2014-04-01 07:00:00,2014-04-01,2014,91,12,4.5,-3.6,416.0,1.34,1.0,20,3,153.1
2014-04-01 13:00:00,2014-04-01 08:00:00,2014-04-01,2014,91,13,3.8,0.8,426.0,1.5,-0.77,20,7,153.1
2014-04-01 14:00:00,2014-04-01 09:00:00,2014-04-01,2014,91,14,4.5,-1.8,442.0,1.72,0.18,20,10,153.1
2014-04-01 15:00:00,2014-04-01 10:00:00,2014-04-01,2014,91,15,1.3,-4.2,438.0,1.63,1.53,23,5,153.1
2014-04-01 16:00:00,2014-04-01 11:00:00,2014-04-01,2014,91,16,2.6,-2.9,427.0,1.56,0.73,23,-1,153.1
2014-04-01 17:00:00,2014-04-01 12:00:00,2014-04-01,2014,91,17,3.3,0.9,422.0,1.17,-0.93,23,-4,153.1
2014-04-01 18:00:00,2014-04-01 13:00:00,2014-04-01,2014,91,18,3.5,1.9,421.0,1.05,-1.39,10,-7,153.1
2014-04-01 19:00:00,2014-04-01 14:00:00,2014-04-01,2014,91,19,3.8,1.3,428.0,1.16,-1.28,10,-5,153.1
2014-04-01 20:00:00,2014-04-01 15:00:00,2014-04-01,2014,91,20,-0.2,2.0,419.0,1.11,-0.67,10,-4,153.1
2014-04-01 21:00:00,2014-04-01 16:00:00,2014-04-01,2014,91,21,-3.1,2.1,438.0,1.47,-0.04,23,-2,153.1
2014-04-01 22:00:00,2014-04-01 17:00:00,2014-04-01,2014,91,22,4.0,1.0,448.0,1.61,-1.34,23,-6,153.1
2014-04-01 23:00:00,2014-04-01 18:00:00,2014-04-01,2014,91,23,2.6,1.0,428.0,1.22,-0.94,23,-6,153.1
2014-04-02 00:00:00,2014-04-01 19:00:00,2014-04-01,2014,92,0,-0.3,3.0,434.0,1.33,-1.04,3,-6,154.6
2014-04-02 01:00:00,2014-04-01 20:00:00,2014-04-01,2014,92,1,1.3,3.9,434.0,1.14,-1.74,3,-4,154.6
2014-04-02 02:00:00,2014-04-01 21:00:00,2014-04-01,2014,92,2,1.2,3.3,434.0,1.19,-1.52,3,-1,154.6
2014-04-02 03:00:00,2014-04-01 22:00:00,2014-04-01,2014,92,3,2.1,1.3,425.0,1.06,-0.89,0,1,154.6
2014-04-02 04:00:00,2014-04-01 23:00:00,2014-04-01,2014,92,4,1.5,1.8,443.0,1.19,-1.02,0,2,154.6
2014-04-02 05:00:00,2014-04-02 00:00:00,2014-04-02,2014,92,5,-1.6,2.9,433.0,1.05,-0.91,0,2,154.6
2014-04-02 06:00:00,2014-04-02 01:00:00,2014-04-02,2014,92,6,1.1,1.6,419.0,0.94,-0.8,0,1,154.6
2014-04-02 07:00:00,2014-04-02 02:00:00,2014-04-02,2014,92,7,2.4,2.4,426.0,1.02,-1.28,0,0,154.6
2014-04-02 08:00:00,2014-04-02 03:00:00,2014-04-02,2014,92,8,4.6,1.9,449.0,1.11,-1.35,0,-2,154.6
2014-04-02 09:00:00,2014-04-02 04:00:00,2014-04-02,2014,92,9,3.4,1.9,431.0,1.12,-1.16,7,-5,154.6
2014-04-02 10:00:00,2014-04-02 05:00:00,2014-04-02,2014,92,10,4.8,0.3,440.0,1.2,-0.62,7,-5,154.6
2014-04-02 11:00:00,2014-04-02 06:00:00,2014-04-02,2014,92,11,1.8,2.7,419.0,1.13,-1.26,7,-2,154.6
2014-04-02 12:00:00,2014-04-02 07:00:00,2014-04-02,2014,92,12,0.0,2.2,416.0,1.13,-0.87,13,2,154.6
2014-04-02 13:00:00,2014-04-02 08:00:00,2014-04-02,2014,92,13,2.0,2.2,418.0,1.17,-1.09,13,3,154.6
2014-04-02 14:00:00,2014-04-02 09:00:00,2014-04-02,2014,92,14,3.2,1.9,446.0,1.38,-1.25,13,4,154.6
2014-04-02 15:00:00,2014-04-02 10:00:00,2014-04-02,2014,92,15,-2.6,0.6,397.0,1.07,0.12,13,4,154.6
2014-04-02 16:00:00,2014-04-02 11:00:00,2014-04-02,2014,92,16,-2.3,-0.7,395.0,0.99,0.59,13,1,154.6
2014-04-02 17:00:00,2014-04-02 12:00:00,2014-04-02,2014,92,17,-2.3,0.0,401.0,1.0,0.4,13,-2,154.6
2014-04-02 18:00:00,2014-04-02 13:00:00,2014-04-02,2014,92,18,-2.1,1.4,396.0,0.96,-0.12,13,-1,154.6
2014-04-02 19:00:00,2014-04-02 14:00:00,2014-04-02,2014,92,19,-1.9,1.3,385.0,0.87,-0.08,13,-1,154.6
2014-04-02 20:00:00,2014-04-02 15:00:00,2014-04-02,2014,92,20,0.9,1.3,390.0,0.92,-0.62,13,-3,154.6
2014-04-02 21:00:00,2014-04-02 16:00:00,2014-04-02,2014,92,21,0.7,1.0,374.0,0.74,-0.45,13,-5,154.6
2014-04-02 22:00:00,2014-04-02 17:00:00,2014-04-02,2014,92,22,-1.3,2.7,385.0,0.91,-0.62,13,-5,154.6
2014-04-02 23:00:00,2014-04-02 18:00:00,2014-04-02,2014,92,23,3.1,0.6,390.0,1.11,-0.86,13,-6,154.6
2014-04-03 00:00:00,2014-04-02 19:00:00,2014-04-02,2014,93,0,2.3,-0.7,383.0,1.05,-0.23,7,-8,153.0
2014-04-03 01:00:00,2014-04-02 20:00:00,2014-04-02,2014,93,1,1.2,-2.5,401.0,1.26,0.6,7,-7,153.0
2014-04-03 02:00:00,2014-04-02 21:00:00,2014-04-02,2014,93,2,3.7,0.3,400.0,1.34,-0.8,7,-4,153.0
2014-04-03 03:00:00,2014-04-02 22:00:00,2014-04-02,2014,93,3,2.1,0.2,392.0,1.31,-0.43,17,-1,153.0
2014-04-03 04:00:00,2014-04-02 23:00:00,2014-04-02,2014,93,4,1.4,1.1,391.0,1.38,-0.63,17,2,153.0
2014-04-03 05:00:00,2014-04-03 00:00:00,2014-04-03,2014,93,5,0.4,2.2,391.0,1.48,-0.86,17,2,153.0
2014-04-03 06:00:00,2014-04-03 01:00:00,2014-04-03,2014,93,6,-0.6,0.2,384.0,1.44,0.0,10,1,153.0
2014-04-03 07:00:00,2014-04-03 02:00:00,2014-04-03,2014,93,7,1.7,0.3,387.0,1.46,-0.31,10,2,153.0
2014-04-03 08:00:00,2014-04-03 03:00:00,2014-04-03,2014,93,8,3.2,-1.9,380.0,1.33,0.38,10,0,153.0
2014-04-03 09:00:00,2014-04-03 04:00:00,2014-04-03,2014,93,9,3.9,-2.8,386.0,1.25,0.69,17,-4,153.0
2014-04-03 10:00:00,2014-04-03 05:00:00,2014-04-03,2014,93,10,3.0,-0.9,373.0,1.17,0.07,17,-3,153.0
