FECHA,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18
2013-12-31,-0.5,-0.5,,-0.24,-0.24,,399.0,,,4.0,4,1.74,1.74,4.3,,,,154.3,1,0
2014-01-01,2.05,0.9,0.21999999999999997,-1.57,-0.99,0.05399999999999998,546.0,11.16542281629615,7.2,-17.5,-25,3.4599999999999995,3.78,3.5250000000000004,30.0,30.0,180.0,154.3,4,6
2014-01-02,5.551115123125783e-17,-1.7,-0.8,-0.2525,0.8,0.483,619.75,4.924428900898052,-2.1,-13.25,-16,2.7849999999999997,3.05,1.4500000000000002,33.0,43.0,198.0,155.2,4,6
2014-01-03,0.55,-0.3,0.34,-0.3025,0.1,-0.127,491.25,14.795832746644125,-11.3,-19.5,-24,0.9075,1.17,0.325,18.5,27.0,111.0,176.3,4,6
2014-01-04,1.025,0.8,0.07000000000000002,-0.75,-0.74,-0.008000000000000007,485.0,12.138094304022083,-8.2,-11.25,-14,1.3,1.36,2.025,16.5,20.0,99.0,253.3,4,6
2014-01-05,0.5,-0.3,0.52,-0.41500000000000004,-0.12,-0.16,403.25,4.9916597106239795,1.9,-8.25,-10,0.7,0.75,1.9000000000000001,1.5,3.0,9.0,210.3,4,6
2014-01-06,-1.5,-2.3,-0.1,0.5225,0.74,-0.015000000000000003,354.5,3.872983346207417,2.4,-9.5,-10,0.7150000000000001,0.78,-0.15,13.0,13.0,78.0,197.2,4,6
2014-01-07,-2.525,-3.1,-0.4699999999999999,0.7325,1.01,0.24700000000000003,377.0,3.4641016151377544,-2.4,1.25,-1,2.7275,3.14,1.4749999999999999,25.0,27.0,150.0,229.3,4,6
2014-01-08,-1.275,-3.5,-1.7099999999999997,0.21749999999999997,1.19,0.7969999999999999,357.25,6.3966136874651625,4.9,-0.5,-3,2.3,3.7,2.075,11.5,13.0,69.0,188.2,4,6
2014-01-09,2.375,1.2,0.2700000000000001,-1.3575,-0.2,-0.683,420.5,18.119970566569176,13.8,4.5,3,2.5375,2.95,2.75,22.0,27.0,132.0,178.1,4,6
2014-01-10,3.0,1.9,0.56,-1.0174999999999998,-0.71,0.16099999999999998,412.25,9.776672917374976,6.7,-3.0,-4,1.0775,1.38,-1.1500000000000001,5.0,7.0,30.0,169.4,4,6
2014-01-11,4.45,3.7,0.06000000000000005,-1.6849999999999998,-1.18,0.31800000000000006,402.0,13.089435944047908,3.8,-5.5,-10,1.2550000000000001,1.87,-0.025000000000000133,20.0,23.0,120.0,160.7,4,6
2014-01-12,-0.6499999999999999,-1.6,0.38,0.9750000000000001,1.21,-0.02000000000000004,671.5,11.61895003862225,-5.4,-12.75,-15,1.0725,1.23,-2.475,30.0,33.0,180.0,150.2,4,6
2014-01-13,0.1250000000000001,-2.9,-1.31,0.5875,2.47,0.8550000000000001,657.75,21.86892772862904,16.5,-6.25,-10,0.94,1.41,-2.85,5.0,10.0,30.0,138.7,4,6
2014-01-14,-0.075,-0.7,0.05,0.30749999999999994,0.74,0.03499999999999999,615.75,3.4034296427770228,-2.5,-7.75,-10,1.0575,1.31,-1.225,20.0,27.0,120.0,132.6,4,6
2014-01-15,0.175,-0.4,0.41,0.032499999999999994,0.18,-0.093,433.25,6.849574196011505,-4.7,-7.75,-8,0.4325,0.48,-0.7,3.0,3.0,18.0,122.1,4,6
2014-01-16,1.3749999999999998,0.7,0.21000000000000002,-0.295,-0.15,-0.019999999999999997,382.25,2.6299556396765835,-1.9,2.0,-1,0.79,0.8,-1.425,1.5,3.0,9.0,117.1,4,6
2014-01-17,-0.95,-1.8,-0.5,0.665,0.92,0.13999999999999999,340.25,4.112987559751022,-2.1,-4.25,-7,0.795,0.91,-2.875,10.0,17.0,60.0,124.7,4,6
2014-01-18,-0.32499999999999996,-1.0,-0.050000000000000024,-0.1975,0.0,0.053000000000000005,329.0,3.559026084010437,-2.6,13.25,12,2.225,2.47,2.3499999999999996,5.0,10.0,30.0,125.5,4,6
2014-01-19,0.8500000000000001,0.5,-0.020000000000000018,-0.3025,0.06,-0.11099999999999999,283.0,2.160246899469287,1.6,-0.25,-1,0.795,0.82,0.7,0.0,0.0,0.0,123.4,4,6
2014-01-20,-1.2000000000000002,-2.6,-0.32,0.2475,0.72,-0.035,318.25,6.701989754294367,4.9,6.5,5,1.8075,2.45,0.85,5.0,7.0,30.0,133.0,4,6
2014-01-21,-0.19999999999999998,-1.4,-0.020000000000000007,-1.1800000000000002,-0.7,0.05799999999999998,459.0,14.11854572303158,10.2,-7.25,-9,1.0474999999999999,1.28,7.199999999999999,18.5,20.0,111.0,141.4,4,6
2014-01-22,1.05,-0.3,-0.10000000000000005,-1.2049999999999998,-0.8,-0.06000000000000001,475.0,30.994623189622207,-22.8,-5.5,-6,1.48,1.57,4.05,22.0,27.0,132.0,138.9,4,6
2014-01-23,-2.65,-3.0,-0.24,0.5974999999999999,0.9,0.11900000000000002,370.75,3.593976442141304,-0.7,-13.5,-16,0.505,0.61,2.075,18.5,20.0,111.0,132.1,4,6
2014-01-24,0.8999999999999999,-0.7,-0.7,-0.16250000000000003,0.71,0.40700000000000003,365.25,6.4485140407177015,2.7,1.25,-1,1.1300000000000001,1.24,-0.925,1.5,3.0,9.0,131.3,4,6
2014-01-25,-4.3999999999999995,-5.5,0.86,1.2675,1.9,-0.589,358.5,8.34665601703261,-6.2,-17.5,-21,1.0725,1.11,1.225,23.5,30.0,141.0,129.1,4,6
2014-01-26,-0.575,-2.3,1.2899999999999998,-0.1275,0.65,-0.5450000000000002,357.5,8.426149773176359,-4.8,-2.25,-5,0.8099999999999999,0.87,2.1999999999999997,13.0,13.0,78.0,133.7,4,6
2014-01-27,1.25,-2.0,0.9,-0.78,0.32,-0.398,321.25,2.8722813232690143,-1.9,-3.25,-4,1.12,1.38,3.0999999999999996,12.0,17.0,72.0,139.6,4,6
2014-01-28,-1.5750000000000002,-4.7,2.77,-0.59,0.4,-0.8399999999999999,415.75,35.245567097154215,26.1,-11.25,-12,0.965,1.17,6.45,21.5,23.0,129.0,152.5,4,6
2014-01-29,-2.0749999999999997,-4.0,1.15,0.4399999999999999,1.41,-0.622,394.25,8.139410298049853,-2.7,-5.0,-6,0.76,0.8,1.7999999999999998,13.0,13.0,78.0,151.8,4,6
2014-01-30,0.675,0.2,-0.22999999999999998,-0.915,-0.8,0.026000000000000013,351.5,4.654746681256314,-2.4,-5.75,-8,0.1875,0.21,4.625,1.5,3.0,9.0,155.8,4,6
2014-01-31,-0.75,-1.0,0.16,-0.3075,-0.23,-0.028999999999999998,323.0,4.69041575982343,-3.6,-1.0,-3,0.8425,0.92,3.725,1.5,3.0,9.0,160.9,4,6
2014-02-01,-0.15,-1.9,0.41999999999999993,0.5925,1.21,-0.175,360.0,7.0710678118654755,3.0,-3.75,-6,1.8875000000000002,1.98,-3.4,20.0,27.0,120.0,171.6,4,6
2014-02-02,1.2249999999999999,-0.2,0.48999999999999994,-0.1275,0.26,-0.10900000000000001,398.75,20.870633275809656,12.9,-2.0,-5,1.6625,2.53,-1.7000000000000002,7.0,7.0,42.0,184.4,4,6
2014-02-03,-1.35,-2.6,-0.74,0.9425,1.47,0.21100000000000002,341.0,7.164728420068226,-0.4,-7.25,-12,1.5350000000000001,1.61,-3.475,10.0,13.0,60.0,183.0,4,6
2014-02-04,5.625,3.8,-0.4700000000000001,-2.0925000000000002,-1.8,0.11700000000000002,351.0,7.0710678118654755,5.0,7.25,6,1.3525,1.43,2.1,8.5,10.0,51.0,182.9,4,6
2014-02-05,-2.825,-4.5,-0.41,-0.11750000000000002,0.61,0.199,383.5,4.123105625617661,-0.2,4.0,-2,0.955,0.98,6.175,11.5,13.0,69.0,188.1,4,6
2014-02-06,-1.9000000000000001,-2.4,0.38,-0.035,0.11,-0.094,365.5,8.660254037844387,-6.6,-18.25,-20,0.53,0.63,3.875,11.5,13.0,69.0,186.1,4,6
2014-02-07,2.4499999999999997,-3.4,3.44,-0.7925,2.39,-1.2269999999999999,441.0,7.438637868140466,5.4,-8.5,-26,4.4725,6.51,-0.8500000000000001,33.5,40.0,201.0,173.2,4,6
2014-02-08,-3.5500000000000003,-4.6,0.37999999999999995,1.99,2.17,0.052000000000000005,402.0,5.656854249492381,2.4,-30.0,-32,3.155,3.38,-3.8249999999999997,40.0,43.0,240.0,167.2,4,6
2014-02-09,0.75,0.4,-0.15999999999999998,1.065,1.2,0.11799999999999997,464.0,4.163331998932265,1.6,-28.75,-31,2.165,2.43,-6.2250000000000005,36.5,40.0,219.0,164.6,4,6
2014-02-10,1.075,0.5,-0.55,0.435,0.79,0.33999999999999997,546.25,15.88238017426859,11.3,-21.5,-23,1.9525,2.32,-3.575,35.0,37.0,210.0,156.8,4,6
2014-02-11,-2.2750000000000004,-3.5,0.97,1.2824999999999998,1.69,-0.051000000000000024,436.25,9.742518497116988,5.5,-20.75,-24,0.7575,1.16,-2.0,20.0,27.0,120.0,167.8,4,6
2014-02-12,3.7249999999999996,2.1,0.9299999999999997,-0.51,0.17,-0.41800000000000004,413.0,5.830951894845301,-4.2,-4.0,-9,0.38999999999999996,0.43,-4.175,10.0,10.0,60.0,156.1,4,6
2014-02-13,5.5249999999999995,5.2,-0.12999999999999998,-1.79,-1.57,-0.005999999999999961,340.75,4.645786621588784,-0.3,2.5,2,0.9575,0.99,0.9,0.0,0.0,0.0,162.5,4,6
2014-02-14,0.175,-1.1,-0.89,-0.9425,-0.57,0.22100000000000003,340.25,3.593976442141304,-0.7,0.5,-3,0.7649999999999999,0.84,5.375,1.5,3.0,9.0,162.5,4,6
2014-02-15,-1.4499999999999997,-6.6,-2.2399999999999998,0.4075000000000001,2.97,1.349,423.75,6.800735254367722,-4.7,28.75,6,16.1125,18.8,0.55,35.0,43.0,210.0,158.1,4,6
2014-02-16,-5.6,-6.2,0.08000000000000015,0.9425,1.36,-0.06100000000000001,368.75,6.652067347825035,-3.9,-25.5,-31,1.42,1.75,4.65,33.5,37.0,201.0,150.2,4,6
2014-02-17,-1.45,-2.7,0.44000000000000006,0.4625,0.68,-0.14700000000000002,364.75,11.412712210513327,-7.9,-14.25,-17,0.6100000000000001,0.69,0.0,20.0,23.0,120.0,148.9,4,6
2014-02-18,-6.699999999999999,-7.6,-0.8799999999999997,3.1774999999999998,3.27,0.09699999999999989,397.25,3.5,-2.7,-47.75,-61,0.5525,0.64,-4.4,25.0,27.0,150.0,147.9,4,6
2014-02-19,-2.4,-3.9,-1.26,0.04999999999999999,1.3,0.8219999999999998,518.75,1.2583057392117916,0.5,-45.5,-49,2.03,2.68,3.9250000000000003,21.5,23.0,129.0,154.2,4,6
2014-02-20,-2.95,-3.7,-0.64,0.1825,0.73,0.41100000000000003,527.0,5.597618541248888,-3.8,-50.25,-52,1.675,1.9,4.325,25.0,30.0,150.0,153.0,4,6
2014-02-21,-4.925000000000001,-5.7,0.0700000000000002,2.1325,2.71,-0.013000000000000012,480.75,13.175102782647782,-8.9,-49.5,-61,0.9875,1.06,-0.375,23.5,30.0,141.0,153.4,4,6
2014-02-22,0.6,-1.5,0.74,0.7475,1.47,-0.26099999999999995,447.75,6.020797289396148,2.7,-25.0,-27,1.38,1.5,-4.225,17.0,17.0,102.0,159.7,4,6
2014-02-23,5.375,0.5,2.25,-2.6325000000000003,-1.1,-0.5449999999999999,465.5,5.32290647422377,1.8,-50.0,-54,2.5624999999999996,5.89,2.05,40.0,43.0,240.0,168.2,4,6
2014-02-24,0.024999999999999967,-0.8,-0.31,-0.375,-0.13,0.23399999999999999,435.0,10.36018017861337,-7.8,-11.0,-13,1.6925,1.74,1.625,10.0,17.0,60.0,167.2,4,6
2014-02-25,-1.225,-2.8,-0.2699999999999999,0.14249999999999996,0.94,0.23700000000000002,376.25,2.362907813126304,-0.3,-11.25,-12,1.125,1.28,1.3,11.5,20.0,69.0,170.4,4,6
2014-02-26,0.6249999999999999,-2.4,-0.3099999999999999,-0.6525000000000001,0.46,0.007000000000000006,353.0,7.393691004272944,-5.6,1.5,-1,1.27,1.36,2.55,5.0,7.0,30.0,174.7,4,6
2014-02-27,-4.1,-10.9,3.0,3.5450000000000004,5.48,-0.7120000000000001,450.75,6.751543033509698,-3.9,-94.75,-97,5.9125,8.27,-8.3,53.0,53.0,318.0,172.4,4,6
2014-02-28,-0.175,-0.9,0.6500000000000001,0.27499999999999997,0.71,-0.09599999999999999,394.25,0.5,0.1,-33.75,-36,1.8074999999999999,1.98,-1.05,10.0,13.0,60.0,167.5,4,6
2014-03-01,-1.0999999999999999,-2.5,0.4,0.9675,1.35,-0.14900000000000002,389.0,6.48074069840786,-1.8,-24.75,-28,0.9625,1.03,-2.9,22.0,27.0,132.0,161.6,4,6
2014-03-02,0.5000000000000001,-2.4,-1.92,0.057499999999999996,1.25,0.813,357.75,3.774917217635375,-2.1,-3.0,-5,1.33,1.37,-1.1,1.5,3.0,9.0,158.5,4,6
2014-03-03,-1.0750000000000002,-2.7,-0.9100000000000001,0.0525,0.24,0.020999999999999998,338.0,1.4142135623730951,1.0,-6.0,-9,1.845,2.51,1.425,8.0,13.0,48.0,158.3,4,6
2014-03-04,1.15,-2.1,2.02,-1.0325,-0.12,-0.6309999999999999,407.0,4.96655480858378,2.0,-6.5,-9,1.32,1.41,2.8499999999999996,16.5,23.0,99.0,155.4,4,6
2014-03-05,-1.875,-3.1,0.29,-0.022499999999999992,0.45,-0.091,451.5,6.855654600401044,3.2,-6.0,-6,1.1575,1.28,3.1,20.0,20.0,120.0,146.7,4,6
2014-03-06,-0.575,-1.7,-0.69,0.1725,0.9,0.45299999999999996,451.0,4.546060565661952,2.4,-5.5,-7,0.5675,0.62,0.17500000000000004,20.0,27.0,120.0,146.5,4,6
2014-03-07,-0.4,-0.7,0.15999999999999998,0.0175,0.15,-0.101,385.25,2.9860788111948193,-1.3,-8.75,-11,0.4125,0.44,0.55,7.0,7.0,42.0,146.0,4,6
2014-03-08,-1.2500000000000002,-2.7,0.7000000000000001,0.13,0.67,-0.29600000000000004,367.0,7.164728420068226,1.0,-3.75,-6,0.7525000000000001,0.77,1.325,3.5,7.0,21.0,139.5,4,6
