Time_UTC,Time_Local_Peru,FECHA,YEAR,DOY,Hour,BY_GSE_nT,BZ_GSE_nT,SW_Plasma_Speed_kms,Flow_Pressure_nPa,E_Electric_Field_mVm,Kp_Index,Dst_Index_nT,F10.7_Index
2014-01-01 00:00:00,2013-12-31 19:00:00,2013-12-31,2014,1,0,4.3,-0.5,399.0,1.74,-0.24,7,4,154.3
2014-01-01 01:00:00,2013-12-31 20:00:00,2013-12-31,2014,1,1,4.0,-1.1,395.0,1.78,0.08,7,3,154.3
2014-01-01 02:00:00,2013-12-31 21:00:00,2013-12-31,2014,1,2,3.8,-2.6,386.0,1.6,0.69,7,1,154.3
2014-01-01 03:00:00,2013-12-31 22:00:00,2013-12-31,2014,1,3,4.2,-3.3,376.0,1.73,0.98,13,1,154.3
2014-01-01 04:00:00,2013-12-31 23:00:00,2013-12-31,2014,1,4,4.1,-4.0,372.0,1.72,1.34,13,-1,154.3
2014-01-01 05:00:00,2014-01-01 00:00:00,2014-01-01,2014,1,5,4.4,-4.6,374.0,1.86,1.65,13,-4,154.3
2014-01-01 06:00:00,2014-01-01 01:00:00,2014-01-01,2014,1,6,4.4,-1.5,369.0,1.81,0.55,20,-6,154.3
2014-01-01 07:00:00,2014-01-01 02:00:00,2014-01-01,2014,1,7,5.2,-2.9,371.0,1.85,1.15,20,-7,154.3
2014-01-01 08:00:00,2014-01-01 03:00:00,2014-01-01,2014,1,8,3.4,2.9,376.0,2.48,-0.98,20,-5,154.3
2014-01-01 09:00:00,2014-01-01 04:00:00,2014-01-01,2014,1,9,6.2,3.0,380.0,3.27,-0.91,20,3,154.3
2014-01-01 10:00:00,2014-01-01 05:00:00,2014-01-01,2014,1,10,7.5,-3.8,384.0,3.9,1.77,20,12,154.3
2014-01-01 11:00:00,2014-01-01 06:00:00,2014-01-01,2014,1,11,10.0,-5.2,404.0,5.24,2.5,20,10,154.3
2014-01-01 12:00:00,2014-01-01 07:00:00,2014-01-01,2014,1,12,6.3,-7.4,420.0,5.09,3.32,37,-1,154.3
2014-01-01 13:00:00,2014-01-01 08:00:00,2014-01-01,2014,1,13,7.4,-7.9,421.0,4.23,3.49,37,-19,154.3
2014-01-01 14:00:00,2014-01-01 09:00:00,2014-01-01,2014,1,14,7.4,-1.8,435.0,3.98,0.83,37,-32,154.3
2014-01-01 15:00:00,2014-01-01 10:00:00,2014-01-01,2014,1,15,7.5,2.6,488.0,3.4,-1.37,30,-39,154.3
2014-01-01 16:00:00,2014-01-01 11:00:00,2014-01-01,2014,1,16,6.5,2.9,522.0,2.9,-1.72,30,-32,154.3
2014-01-01 17:00:00,2014-01-01 12:00:00,2014-01-01,2014,1,17,8.6,0.8,524.0,3.01,-0.94,30,-27,154.3
2014-01-01 18:00:00,2014-01-01 13:00:00,2014-01-01,2014,1,18,8.7,-2.0,517.0,2.6,0.31,30,-26,154.3
2014-01-01 19:00:00,2014-01-01 14:00:00,2014-01-01,2014,1,19,8.6,-3.1,509.0,2.46,0.71,30,-26,154.3
2014-01-01 20:00:00,2014-01-01 15:00:00,2014-01-01,2014,1,20,8.1,-4.4,503.0,2.63,1.21,30,-27,154.3
2014-01-01 21:00:00,2014-01-01 16:00:00,2014-01-01,2014,1,21,5.3,0.9,532.0,3.01,-1.17,30,-25,154.3
2014-01-01 22:00:00,2014-01-01 17:00:00,2014-01-01,2014,1,22,5.0,2.6,543.0,3.28,-2.06,30,-17,154.3
2014-01-01 23:00:00,2014-01-01 18:00:00,2014-01-01,2014,1,23,2.0,3.3,558.0,3.78,-2.06,30,-13,154.3
2014-01-02 00:00:00,2014-01-01 19:00:00,2014-01-01,2014,2,0,1.8,1.4,551.0,3.77,-0.99,33,-15,155.2
2014-01-02 01:00:00,2014-01-01 20:00:00,2014-01-01,2014,2,1,3.9,0.0,553.0,4.09,-0.5,33,-14,155.2
2014-01-02 02:00:00,2014-01-01 21:00:00,2014-01-01,2014,2,2,5.1,-2.3,558.0,3.93,0.67,33,-15,155.2
2014-01-02 03:00:00,2014-01-01 22:00:00,2014-01-01,2014,2,3,5.8,-2.7,547.0,3.19,0.93,43,-23,155.2
2014-01-02 04:00:00,2014-01-01 23:00:00,2014-01-01,2014,2,4,4.2,1.2,547.0,3.36,-0.88,43,-24,155.2
2014-01-02 05:00:00,2014-01-02 00:00:00,2014-01-02,2014,2,5,-2.3,-2.5,569.0,3.91,1.48,43,-19,155.2
2014-01-02 06:00:00,2014-01-02 01:00:00,2014-01-02,2014,2,6,0.7,-1.2,569.0,3.83,0.68,33,-17,155.2
2014-01-02 07:00:00,2014-01-02 02:00:00,2014-01-02,2014,2,7,3.3,1.4,551.0,3.46,-0.72,33,-22,155.2
2014-01-02 08:00:00,2014-01-02 03:00:00,2014-01-02,2014,2,8,2.4,-1.1,546.0,2.83,0.71,33,-19,155.2
2014-01-02 09:00:00,2014-01-02 04:00:00,2014-01-02,2014,2,9,4.1,-1.5,558.0,2.69,1.06,23,-20,155.2
2014-01-02 10:00:00,2014-01-02 05:00:00,2014-01-02,2014,2,10,3.9,-0.2,546.0,2.19,0.33,23,-24,155.2
2014-01-02 11:00:00,2014-01-02 06:00:00,2014-01-02,2014,2,11,4.1,0.0,542.0,2.06,0.22,23,-23,155.2
2014-01-02 12:00:00,2014-01-02 07:00:00,2014-01-02,2014,2,12,3.9,-1.8,548.0,1.95,1.15,27,-15,155.2
2014-01-02 13:00:00,2014-01-02 08:00:00,2014-01-02,2014,2,13,3.8,-0.4,535.0,1.87,0.32,27,-20,155.2
2014-01-02 14:00:00,2014-01-02 09:00:00,2014-01-02,2014,2,14,5.6,-0.6,529.0,1.63,0.37,27,-25,155.2
2014-01-02 15:00:00,2014-01-02 10:00:00,2014-01-02,2014,2,15,4.5,-1.7,527.0,1.78,0.84,33,-27,155.2
2014-01-02 16:00:00,2014-01-02 11:00:00,2014-01-02,2014,2,16,2.9,0.0,559.0,2.71,-0.11,33,-24,155.2
2014-01-02 17:00:00,2014-01-02 12:00:00,2014-01-02,2014,2,17,3.0,-1.0,583.0,3.59,0.35,33,-18,155.2
2014-01-02 18:00:00,2014-01-02 13:00:00,2014-01-02,2014,2,18,2.4,-0.6,585.0,3.73,0.12,43,-18,155.2
2014-01-02 19:00:00,2014-01-02 14:00:00,2014-01-02,2014,2,19,0.9,1.1,592.0,4.64,-0.77,43,-12,155.2
2014-01-02 20:00:00,2014-01-02 15:00:00,2014-01-02,2014,2,20,2.2,-0.9,606.0,3.97,0.24,43,-11,155.2
2014-01-02 21:00:00,2014-01-02 16:00:00,2014-01-02,2014,2,21,1.3,1.1,619.0,3.05,-0.87,23,-15,155.2
2014-01-02 22:00:00,2014-01-02 17:00:00,2014-01-02,2014,2,22,1.8,0.1,626.0,2.82,-0.38,23,-16,155.2
2014-01-02 23:00:00,2014-01-02 18:00:00,2014-01-02,2014,2,23,1.6,0.5,620.0,2.66,-0.56,23,-13,155.2
2014-01-03 00:00:00,2014-01-02 19:00:00,2014-01-02,2014,3,0,1.1,-1.7,614.0,2.61,0.8,20,-9,176.3
2014-01-03 01:00:00,2014-01-02 20:00:00,2014-01-02,2014,3,1,1.5,0.9,613.0,2.35,-0.74,20,-6,176.3
2014-01-03 02:00:00,2014-01-02 21:00:00,2014-01-02,2014,3,2,2.6,1.8,599.0,2.17,-1.38,20,-5,176.3
2014-01-03 03:00:00,2014-01-02 22:00:00,2014-01-02,2014,3,3,1.8,1.5,594.0,2.06,-1.07,17,-9,176.3
2014-01-03 04:00:00,2014-01-02 23:00:00,2014-01-02,2014,3,4,0.6,-0.1,577.0,1.9,0.0,17,-13,176.3
2014-01-03 05:00:00,2014-01-03 00:00:00,2014-01-03,2014,3,5,2.8,-0.8,569.0,1.83,0.34,17,-11,176.3
2014-01-03 06:00:00,2014-01-03 01:00:00,2014-01-03,2014,3,6,1.2,-2.6,568.0,1.61,1.48,20,-15,176.3
2014-01-03 07:00:00,2014-01-03 02:00:00,2014-01-03,2014,3,7,3.2,0.9,585.0,1.58,-0.47,20,-18,176.3
2014-01-03 08:00:00,2014-01-03 03:00:00,2014-01-03,2014,3,8,3.6,-1.5,573.0,1.65,0.97,20,-17,176.3
2014-01-03 09:00:00,2014-01-03 04:00:00,2014-01-03,2014,3,9,2.8,-1.3,552.0,1.52,0.83,20,-20,176.3
2014-01-03 10:00:00,2014-01-03 05:00:00,2014-01-03,2014,3,10,4.7,-0.2,543.0,1.47,0.33,20,-22,176.3
2014-01-03 11:00:00,2014-01-03 06:00:00,2014-01-03,2014,3,11,3.8,-1.6,542.0,1.77,1.03,20,-19,176.3
2014-01-03 12:00:00,2014-01-03 07:00:00,2014-01-03,2014,3,12,0.8,0.0,503.0,1.66,0.05,30,-19,176.3
