FECHA,Mh_PRECURSOR,Mv_PRECURSOR,Dh_TOTAL,F_DENSITY,Delta_foF2_1,slope_foF2_1,foF2_max_SW,foF2_min_SW,foF2_drop_SW,num_muestras_foF2,delta_inicio_min,delta_fin_min,extremos_validos,hora_inicio_real,hora_fin_real,tiempo_real_min,num_registros
2015-03-31,492.0,,,10.7,,,10.7,,,1,120.0,0.0,False,2015-03-31 19:00:00,,,1
2015-04-01,454.1,1.111666666666667,133.40000000000003,9.54,0.0,0.0,10.9,9.0,1.9000000000000004,10,0.0,0.0,True,2015-04-01 17:00:00,2015-04-01 19:00:00,120.0,10
2015-04-02,482.7,0.9091666666666663,109.09999999999997,11.955555555555556,1.0,0.008333333333333333,13.0,9.5,3.5,9,0.0,0.0,True,2015-04-02 17:00:00,2015-04-02 19:00:00,120.0,9
2015-04-03,488.6,0.7166666666666667,86.0,10.444444444444445,-3.9000000000000004,-0.0325,12.3,8.4,3.9000000000000004,9,0.0,0.0,True,2015-04-03 17:00:00,2015-04-03 19:00:00,120.0,9
2015-04-04,,,,,,,,,,0,15.0,0.0,False,2015-04-04 17:15:00,2015-04-04 19:00:00,,8
2015-04-05,452.4,0.7149999999999996,85.79999999999995,11.75,-1.0,-0.008333333333333333,12.5,11.5,1.0,8,0.0,0.0,True,2015-04-05 17:00:00,2015-04-05 19:00:00,120.0,8
2015-04-06,434.4,0.7474999999999999,89.69999999999999,10.218,-1.8000000000000007,-0.015000000000000006,11.4,8.7,2.700000000000001,25,0.0,0.0,True,2015-04-06 17:00:00,2015-04-06 19:00:00,120.0,25
2015-04-07,438.4,0.9375,112.5,10.32,-1.5999999999999996,-0.01333333333333333,11.6,9.1,2.5,25,0.0,0.0,True,2015-04-07 17:00:00,2015-04-07 19:00:00,120.0,25
2015-04-08,443.5,0.8941666666666668,107.30000000000001,9.716000000000001,-1.0,-0.008333333333333333,10.8,9.0,1.8000000000000007,25,0.0,0.0,True,2015-04-08 17:00:00,2015-04-08 19:00:00,120.0,25
2015-04-09,467.8,1.0641666666666665,127.69999999999999,9.944444444444445,-2.1999999999999993,-0.018333333333333326,11.5,5.7,5.8,9,0.0,0.0,True,2015-04-09 17:00:00,2015-04-09 19:00:00,120.0,9
2015-04-10,,,,,,,,,,0,,,False,,,,0
2015-04-13,450.7,0.5466666666666664,65.59999999999997,10.41111111111111,-3.3000000000000007,-0.027500000000000007,12.3,9.0,3.3000000000000007,9,0.0,0.0,True,2015-04-13 17:00:00,2015-04-13 19:00:00,120.0,9
2015-04-14,,,,,,,,,,0,15.0,0.0,False,2015-04-14 17:15:00,2015-04-14 19:00:00,,8
2015-04-15,435.2,0.7474999999999999,89.69999999999999,10.05263157894737,-0.8000000000000007,-0.006666666666666672,11.5,4.4,7.1,19,0.0,0.0,True,2015-04-15 17:00:00,2015-04-15 19:00:00,120.0,19
2015-04-16,475.7,0.2688000000000002,33.60000000000002,8.459090909090909,-4.9,-0.039200000000000006,10.6,5.6,5.0,22,0.0,4.999999999999929,True,2015-04-16 17:00:00,2015-04-16 19:05:00,125.0,22
2015-04-17,473.6,0.5333333333333333,64.0,10.286956521739132,-2.299999999999999,-0.019166666666666658,11.6,8.8,2.799999999999999,23,0.0,0.0,True,2015-04-17 17:00:00,2015-04-17 19:00:00,120.0,23
2015-04-18,466.1,0.7100000000000004,85.20000000000005,10.233333333333333,-2.5,-0.020833333333333332,11.6,9.1,2.5,9,0.0,0.0,True,2015-04-18 17:00:00,2015-04-18 19:00:00,120.0,9
2015-04-19,414.7,0.11749999999999972,14.099999999999966,9.533333333333333,-1.3999999999999986,-0.011666666666666655,10.7,6.6,4.1,9,0.0,0.0,True,2015-04-19 17:00:00,2015-04-19 19:00:00,120.0,9
2015-04-20,435.9,0.7433333333333333,89.19999999999999,11.0125,-0.5999999999999996,-0.004999999999999997,11.7,10.1,1.5999999999999996,8,0.0,0.0,True,2015-04-20 17:00:00,2015-04-20 19:00:00,120.0,8
2015-04-21,,,,,,,,,,0,30.0,0.0,False,2015-04-21 17:30:00,2015-04-21 19:00:00,,7
2015-04-22,495.3,1.2883333333333336,154.60000000000002,9.277777777777779,-0.9000000000000004,-0.007500000000000003,10.2,8.4,1.799999999999999,9,0.0,0.0,True,2015-04-22 17:00:00,2015-04-22 19:00:00,120.0,9
2015-04-23,460.2,0.7224999999999999,86.69999999999999,9.966666666666667,-3.0999999999999996,-0.02583333333333333,12.4,4.2,8.2,9,0.0,0.0,True,2015-04-23 17:00:00,2015-04-23 19:00:00,120.0,9
2015-04-24,413.1,0.4691666666666668,56.30000000000001,8.577777777777778,-3.8,-0.03166666666666666,10.0,6.2,3.8,9,0.0,0.0,True,2015-04-24 17:00:00,2015-04-24 19:00:00,120.0,9
2015-04-25,479.0,1.1925000000000001,143.10000000000002,8.588888888888889,-1.0999999999999996,-0.009166666666666663,9.4,7.9,1.5,9,0.0,0.0,True,2015-04-25 17:00:00,2015-04-25 19:00:00,120.0,9
2015-04-26,448.0,1.71,205.2,9.266666666666666,2.9000000000000004,0.02416666666666667,10.4,6.4,4.0,9,0.0,0.0,True,2015-04-26 17:00:00,2015-04-26 19:00:00,120.0,9
2015-04-27,425.3,0.34083333333333315,40.89999999999998,10.744444444444447,-1.799999999999999,-0.01499999999999999,11.4,9.4,2.0,9,0.0,0.0,True,2015-04-27 17:00:00,2015-04-27 19:00:00,120.0,9
2015-04-28,451.1,1.5800000000000003,189.60000000000002,8.200000000000001,1.6999999999999993,0.01416666666666666,8.9,6.5,2.4000000000000004,9,0.0,0.0,True,2015-04-28 17:00:00,2015-04-28 19:00:00,120.0,9
2015-04-29,,,,,,,,,,0,30.0,0.0,False,2015-04-29 17:30:00,2015-04-29 19:00:00,,7
2015-04-30,,,,,,,,,,0,15.0,0.0,False,2015-04-30 17:15:00,2015-04-30 19:00:00,,8
2015-05-01,413.7,0.7958333333333333,95.5,8.788888888888888,-0.5,-0.004166666666666667,9.8,4.2,5.6000000000000005,9,0.0,0.0,True,2015-05-01 17:00:00,2015-05-01 19:00:00,120.0,9
2015-05-02,401.0,0.9699999999999999,116.39999999999998,9.444444444444445,0.5999999999999996,0.004999999999999997,10.0,8.5,1.5,9,0.0,0.0,True,2015-05-02 17:00:00,2015-05-02 19:00:00,120.0,9
2015-05-03,393.8,0.6700000000000003,80.40000000000003,10.925,-1.1999999999999993,-0.009999999999999993,11.5,10.3,1.1999999999999993,8,0.0,0.0,True,2015-05-03 17:00:00,2015-05-03 19:00:00,120.0,8
2015-05-04,409.5,0.7133333333333335,85.60000000000002,9.55,-1.0500000000000007,-0.008750000000000006,10.4,9.0,1.4000000000000004,9,0.0,0.0,True,2015-05-04 17:00:00,2015-05-04 19:00:00,120.0,9
2015-05-05,442.8,0.8641666666666671,103.70000000000005,9.262500000000001,-2.0999999999999996,-0.017499999999999998,10.4,8.3,2.0999999999999996,8,0.0,0.0,True,2015-05-05 17:00:00,2015-05-05 19:00:00,120.0,8
2015-05-06,421.6,0.5350000000000004,64.20000000000005,9.075000000000001,-0.29999999999999893,-0.002499999999999991,9.6,8.8,0.7999999999999989,8,0.0,0.0,True,2015-05-06 17:00:00,2015-05-06 19:00:00,120.0,8
