# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2025-11-29T16:36:53.382Z
#
# Location: GEO -12.0N 283.2E, URSI-Code JI91J JICAMARCA
# Instrument: Ionosonde, Model: DPS-4
#
# Query for measurement intervals of time:
# 2015-01-01T00:00:00.000Z - 2015-02-28T23:59:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2 [MHz] - F2 layer critical frequency
# hF [km] - Minimum virtual height of F trace
# hmF2 [km] - Peak height F2-layer
# B0 [km] - IRI thickness parameter
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of JI91J data provider
#
#Time                     CS   foF2 QD     hF QD   hmF2 QD    B0 QD
2015-01-06T22:40:00.000Z  50 12.300 //  262.5 //  384.4 // 117.4 //
2015-01-06T22:45:00.000Z  70 12.100 //  250.0 //  378.8 // 112.7 //
2015-01-06T22:50:00.000Z  70 12.100 //  250.0 //  382.8 // 116.3 //
2015-01-06T22:55:00.000Z  70 12.200 //  255.0 //  383.0 // 115.4 //
2015-01-06T23:00:00.000Z  50 12.000 //  272.0 //  389.3 // 120.7 //
2015-01-06T23:05:00.000Z  50 12.000 //  273.0 //  385.0 // 116.7 //
2015-01-06T23:10:00.000Z  50 11.900 //  266.0 //  388.4 // 118.1 //
2015-01-06T23:15:00.000Z  70 12.000 //  261.0 //  398.0 // 123.2 //
2015-01-06T23:20:00.000Z  70 11.800 //  272.0 //  399.5 // 123.3 //
2015-01-06T23:25:00.000Z  70 11.800 //  265.0 //  397.7 // 120.4 //
2015-01-06T23:30:00.000Z  70 11.600 //  270.0 //  406.8 // 124.5 //
2015-01-06T23:35:00.000Z  70 12.000 //  277.0 //  427.0 // 138.0 //
2015-01-06T23:40:00.000Z  70 11.800 //  275.0 //  421.5 // 130.3 //
2015-01-06T23:45:00.000Z  50 11.900 //  305.0 //  432.8 // 132.2 //
2015-01-06T23:50:00.000Z  50 11.500 //  292.0 //  422.2 // 130.5 //
2015-01-06T23:55:00.000Z  70 11.200 //  285.0 //  423.8 // 129.1 //
2015-01-07T00:00:00.000Z 100 11.500 //  290.0 //  431.5 // 132.2 //
2015-01-07T00:05:00.000Z 100 11.000 //  295.0 //  430.9 // 128.1 //
2015-01-07T00:10:00.000Z 100 10.900 //  303.0 //  437.5 // 126.1 //
2015-01-07T00:15:00.000Z 100 10.900 //  330.0 //  449.1 // 122.4 //
2015-01-07T00:20:00.000Z 100 10.700 //  340.0 //  452.8 // 118.6 //
2015-01-07T00:25:00.000Z 100 10.600 //  330.0 //  464.5 // 120.9 //
2015-01-07T00:30:00.000Z 100 10.600 //  345.0 //  477.0 // 122.3 //
2015-01-07T00:35:00.000Z 100 10.400 //  357.0 //  478.5 // 114.0 //
2015-01-07T00:40:00.000Z 100 10.300 //  372.0 //  487.0 // 115.3 //
2015-01-07T00:45:00.000Z 100 10.300 //  372.0 //  503.5 // 121.7 //
2015-01-07T00:50:00.000Z 100 10.200 //  385.0 //  510.3 // 119.8 //
2015-01-07T00:55:00.000Z 100 10.100 //  401.0 //  522.9 // 123.1 //
2015-01-07T01:00:00.000Z 100 10.100 //  405.0 //  534.0 // 123.0 //
2015-01-07T01:05:00.000Z 100  9.000 //  430.0 //  520.1 // 109.8 //
2015-01-07T01:10:00.000Z 100  8.600 //  430.0 //  549.1 // 131.6 //
2015-01-07T01:15:00.000Z 100  7.200 //  460.0 //  511.5 //  93.4 //
2015-01-07T01:20:00.000Z 100  7.600 //  472.0 //  531.0 //  98.5 //
2015-01-07T01:25:00.000Z 100  9.400 //  516.0 //  553.9 // 104.8 //
2015-01-07T01:30:00.000Z 100  8.600 //  446.0 //  512.2 // 114.4 //
2015-01-07T01:35:00.000Z 100  9.300 //  425.0 //  469.1 //  87.2 //
2015-01-07T01:40:00.000Z 100  9.200 //  432.0 //  494.2 // 110.1 //
2015-01-07T01:45:00.000Z 100  9.200 //  387.0 //  506.4 // 141.1 //
2015-01-07T01:50:00.000Z 100  9.100 //  500.0 //  501.0 // 126.7 //
2015-01-07T01:55:00.000Z 100  9.000 //  365.0 //  485.7 // 142.8 //
