FECHA,Δh1,Mh1,Mv1,Delta_foF2_1,slope_foF2_1,foF2_max_SW1,foF2_min_SW1,foF2_drop_SW1,num_muestras_foF2_SW1,delta_inicio_SW1_min,delta_fin_SW1_min,extremos_validos_SW1,tiempo_real_SW1_min,Δh2,Mh2,Mv2,Delta_foF2_2,slope_foF2_2,foF2_max_SW2,foF2_min_SW2,foF2_drop_SW2,num_muestras_foF2_SW2,delta_inicio_SW2_min,delta_fin_SW2_min,extremos_validos_SW2,tiempo_real_SW2_min,F_DENSITY
2015-01-06,,,,,,,,,0,45.0,-4.999999999999929,False,,48.5,431.5,0.7461538461538462,-0.6999999999999993,-0.010769230769230758,12.2,11.2,1.0,9,-4.999999999999929,0.0,True,65.0,11.827272727272726
2015-01-07,,,,,,,,,0,0.0,-25.00000000000007,False,,,,,,,,,,0,60.0,0.0,False,,11.477777777777778
2015-01-08,22.400000000000034,355.1,0.3733333333333339,-0.3000000000000007,-0.005000000000000012,12.8,12.1,0.7000000000000011,9,0.0,0.0,True,60.0,74.0,445.9,1.2333333333333334,-1.0,-0.016666666666666666,12.1,11.1,1.0,7,0.0,0.0,True,60.0,12.066666666666665
2015-01-09,-2.400000000000034,408.3,-0.04363636363636426,0.0,0.0,11.6,11.0,0.5999999999999996,12,0.0,-4.999999999999929,True,55.0,52.30000000000001,457.5,0.8046153846153848,-0.3000000000000007,-0.004615384615384626,11.5,10.9,0.5999999999999996,9,-4.999999999999929,0.0,True,65.0,11.41
2015-01-10,4.599999999999966,372.4,0.07666666666666609,-0.40000000000000036,-0.006666666666666672,12.4,11.9,0.5,5,0.0,0.0,True,60.0,63.10000000000002,435.5,1.051666666666667,-0.8000000000000007,-0.013333333333333345,11.9,11.1,0.8000000000000007,4,0.0,0.0,True,60.0,11.915625
2015-01-11,0.30000000000001137,405.8,0.005000000000000189,0.25,0.004166666666666667,8.95,8.6,0.34999999999999964,5,0.0,0.0,True,60.0,24.80000000000001,419.6,0.4133333333333335,0.25,0.004166666666666667,9.1,8.85,0.25,4,0.0,0.0,True,60.0,8.8875
2015-01-12,6.399999999999977,423.2,0.10666666666666628,0.40000000000000036,0.006666666666666672,10.6,10.2,0.40000000000000036,5,0.0,0.0,True,60.0,-16.5,429.2,-0.275,-1.0,-0.016666666666666666,10.6,9.5,1.0999999999999996,5,0.0,0.0,True,60.0,10.2
2015-01-13,-13.800000000000011,411.8,-0.23000000000000018,0.40000000000000036,0.006666666666666672,9.9,9.5,0.40000000000000036,4,0.0,0.0,True,60.0,12.399999999999977,402.7,0.20666666666666628,-0.5999999999999996,-0.009999999999999993,9.9,9.3,0.5999999999999996,5,0.0,0.0,True,60.0,9.6125
2015-01-14,,,,,,,,,0,40.00000000000007,0.0,False,,-11.5,410.9,-0.19166666666666668,0.10000000000000142,0.0016666666666666904,9.5,9.2,0.3000000000000007,4,0.0,0.0,True,60.0,9.079999999999998
2015-01-15,-57.60000000000002,420.8,-0.9600000000000004,-0.9000000000000004,-0.015000000000000006,9.5,8.6,0.9000000000000004,5,0.0,0.0,True,60.0,53.400000000000034,416.6,0.8900000000000006,0.5,0.008333333333333333,9.3,8.6,0.7000000000000011,5,0.0,0.0,True,60.0,9.133333333333333
