FECHA,Δh1,Mh1,Mv1,Delta_foF2_1,slope_foF2_1,foF2_max_SW1,foF2_min_SW1,foF2_drop_SW1,num_muestras_foF2_SW1,delta_inicio_SW1_min,delta_fin_SW1_min,extremos_validos_SW1,tiempo_real_SW1_min,Δh2,Mh2,Mv2,Delta_foF2_2,slope_foF2_2,foF2_max_SW2,foF2_min_SW2,foF2_drop_SW2,num_muestras_foF2_SW2,delta_inicio_SW2_min,delta_fin_SW2_min,extremos_validos_SW2,tiempo_real_SW2_min,Δh3,Mh3,Mv3,Delta_foF2_3,slope_foF2_3,foF2_max_SW3,foF2_min_SW3,foF2_drop_SW3,num_muestras_foF2_SW3,delta_inicio_SW3_min,delta_fin_SW3_min,extremos_validos_SW3,tiempo_real_SW3_min,F_DENSITY,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18
2015-01-06,,,,,,,,,0,45.0,4.999999999999929,False,,20.69999999999999,399.5,0.5914285714285711,-0.2999999999999989,-0.0085714285714285,12.2,11.8,0.3999999999999986,5,4.999999999999929,0.0,True,35.0,32.0,431.5,0.8,-0.3000000000000007,-0.0075,12.0,11.2,0.8000000000000007,7,0.0,0.0,True,40.0,11.827272727272726,10.0,8.8,-0.6399999999999997,-4.4225,-3.54,0.5469999999999999,465.5,13.527749258468685,-10.0,-21.25,-27,2.09,2.55,-0.275,18.5,27.0,111.0,137.2,4,6
2015-01-07,-28.400000000000038,380.6,-0.8114285714285724,0.0999999999999996,0.0028571428571428,11.7,11.5,0.1999999999999993,8,0.0,-5.000000000000142,True,35.0,,,,,,,,,0,-5.000000000000142,-45.0,False,,,,,,,,,,0,40.00000000000007,0.0,False,,11.477777777777778,-0.8500000000000001,-2.7,-1.5000000000000002,0.2875,1.65,0.283,470.25,10.21028892833107,3.1,-48.25,-54,6.065,9.86,0.6749999999999998,26.5,33.0,159.0,142.4,4,6
2015-01-08,18.900000000000038,351.6,0.4725000000000008,-0.200000000000001,-0.005,12.8,12.2,0.6000000000000014,7,0.0,0.0,True,40.0,24.59999999999997,376.2,0.6149999999999991,-0.3999999999999986,-0.0099999999999999,12.2,11.8,0.3999999999999986,5,0.0,0.0,True,40.0,52.900000000000034,445.9,1.322500000000001,-0.7000000000000011,-0.0175,11.8,11.1,0.7000000000000011,5,0.0,0.0,True,40.0,12.066666666666665,-0.8249999999999997,-2.8,1.5299999999999998,0.3424999999999999,1.4,-0.657,483.75,4.7871355387816905,-2.9,-39.0,-42,1.885,1.91,0.3,22.0,27.0,132.0,152.0,4,6
2015-01-09,-11.900000000000034,408.3,-0.2975000000000009,0.0,0.0,11.6,11.4,0.1999999999999993,9,0.0,0.0,True,40.0,-9.099999999999966,415.4,-0.2274999999999991,-0.5999999999999996,-0.0149999999999999,11.5,10.9,0.5999999999999996,8,0.0,0.0,True,40.0,70.89999999999998,457.5,1.7724999999999995,0.2999999999999989,0.0074999999999999,11.4,10.9,0.5,5,0.0,0.0,True,40.0,11.41,-2.225,-3.6,-0.8300000000000001,0.51,1.19,0.394,410.0,2.943920288775949,-2.0,-27.5,-32,1.205,1.33,2.825,15.0,20.0,90.0,146.2,4,6
2015-01-10,-0.9000000000000341,370.9,-0.0200000000000007,-0.200000000000001,-0.0044444444444444,12.4,12.1,0.3000000000000007,4,0.0,4.999999999999929,True,45.0,13.0,379.9,0.4333333333333333,-0.2999999999999989,-0.0099999999999999,12.1,11.8,0.2999999999999989,3,4.999999999999929,-4.999999999999929,True,30.0,55.60000000000002,435.5,1.235555555555556,-0.7000000000000011,-0.0155555555555555,11.8,11.1,0.7000000000000011,3,-4.999999999999929,0.0,True,45.0,11.915625,0.1499999999999999,-3.4,-2.36,-0.7225,0.59,0.849,475.5,22.47220505424423,16.2,-17.25,-20,1.345,1.46,4.6,8.5,10.0,51.0,146.9,4,6
2015-01-11,2.8999999999999773,405.8,0.0644444444444439,0.3499999999999996,0.0077777777777777,8.95,8.6,0.3499999999999996,4,0.0,4.999999999999929,True,45.0,,,,,,,,,0,4.999999999999929,10.000000000000073,False,,,,,,,,,,0,10.000000000000073,0.0,False,,8.8875,0.525,-0.6,0.39,-0.7224999999999999,-0.21,-0.1989999999999999,422.75,5.377421934967226,0.3,-27.5,-29,0.8225,0.92,3.7,23.5,27.0,141.0,148.6,4,6
2015-01-12,6.599999999999966,423.2,0.1466666666666659,0.3000000000000007,0.0066666666666666,10.5,10.2,0.3000000000000007,4,0.0,4.999999999999929,True,45.0,-5.800000000000011,423.2,-0.1933333333333337,0.0,0.0,10.6,10.5,0.0999999999999996,3,4.999999999999929,-4.999999999999929,True,30.0,-10.899999999999975,429.2,-0.2422222222222217,-0.9000000000000004,-0.02,10.5,9.5,1.0,4,-4.999999999999929,0.0,True,45.0,10.2,0.425,-2.3,0.6099999999999999,-0.5900000000000001,0.78,-0.392,419.0,16.268579122549905,-0.4,-22.25,-25,1.7875,2.03,2.8,21.5,23.0,129.0,153.4,4,6
2015-01-13,-26.80000000000001,411.8,-0.5955555555555558,0.0,0.0,9.9,9.5,0.4000000000000003,3,0.0,4.999999999999929,True,45.0,9.699999999999989,390.3,0.323333333333333,0.3000000000000007,0.01,9.9,9.5,0.4000000000000003,3,4.999999999999929,-4.999999999999929,True,30.0,15.699999999999989,402.7,0.3488888888888886,-0.5,-0.0111111111111111,9.8,9.3,0.5,4,-4.999999999999929,0.0,True,45.0,9.6125,-0.4499999999999999,-2.0,0.22,-0.3125,0.41,-0.149,407.5,4.795831523312719,0.8,-24.0,-26,1.5825,1.68,3.5250000000000004,20.0,20.0,120.0,999.9,4,6
2015-01-14,,348.1,,,,8.1,,,1,40.00000000000007,0.0,False,,55.29999999999996,410.9,1.5799999999999987,1.200000000000001,0.0342857142857143,9.3,8.1,1.200000000000001,3,0.0,-4.999999999999929,True,35.0,-4.0,407.0,-0.0888888888888888,0.0,0.0,9.5,9.3,0.1999999999999993,3,-4.999999999999929,0.0,True,45.0,9.079999999999998,2.2,0.2,1.2,-1.52,-0.91,-0.348,399.75,3.2015621187164243,1.9,-14.0,-16,1.7574999999999998,1.82,5.025,13.5,17.0,81.0,137.2,4,6
2015-01-15,-15.600000000000025,420.8,-0.3466666666666672,-0.3000000000000007,-0.0066666666666666,9.5,9.2,0.3000000000000007,4,0.0,4.999999999999929,True,45.0,4.5,409.7,0.15,0.1000000000000014,0.0033333333333333,9.3,8.6,0.7000000000000011,3,4.999999999999929,-4.999999999999929,True,30.0,6.900000000000034,416.6,0.1533333333333341,-0.200000000000001,-0.0044444444444444,9.3,8.7,0.6000000000000014,4,-4.999999999999929,0.0,True,45.0,9.133333333333333,3.2250000000000005,1.3,-0.6100000000000001,-2.065,-1.61,0.086,395.25,7.41057802513857,4.7,-11.75,-13,1.525,2.21,6.300000000000001,3.0,3.0,18.0,127.1,4,6
