# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2025-11-28T08:05:02.927Z
#
# Location: GEO -12.0N 283.2E, URSI-Code JI91J JICAMARCA
# Instrument: Ionosonde, Model: DPS-4
#
# Query for measurement intervals of time:
# 2015-03-01T00:00:00.000Z - 2015-03-31T23:59:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2 [MHz] - F2 layer critical frequency
# hF [km] - Minimum virtual height of F trace
# hmF2 [km] - Peak height F2-layer
# B0 [km] - IRI thickness parameter
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of JI91J data provider
#
#Time                     CS   foF2 QD     hF QD   hmF2 QD    B0 QD
2015-03-01T00:00:00.000Z 100 10.700 //  338.0 //  507.2 // 157.7 //
2015-03-01T00:15:00.000Z 100  8.900 //  361.0 //  520.2 // 146.8 //
2015-03-01T00:30:00.000Z 100  7.100 //  375.0 //  507.1 // 126.1 //
2015-03-01T00:45:00.000Z 100  6.900 //  417.0 //  448.8 //  74.2 //
2015-03-01T01:00:00.000Z 100  5.400 //  408.0 //  415.1 //  26.5 //
2015-03-01T01:15:00.000Z 100 10.100 //  379.0 //  511.8 // 138.8 //
2015-03-01T01:30:00.000Z 100  9.000 //  462.0 //  490.9 //  58.6 //
2015-03-01T01:45:00.000Z 100 10.200 //  417.5 //  456.7 //  47.1 //
2015-03-01T02:00:00.000Z 100  8.900 //  386.0 //  424.2 //  52.3 //
2015-03-01T02:15:00.000Z 100  9.100 //  336.0 //  419.8 //  82.6 //
2015-03-01T02:30:00.000Z 100  9.000 //  366.0 //  439.5 //  78.3 //
2015-03-01T02:45:00.000Z 100  9.500 //  305.0 //  360.1 //  55.7 //
2015-03-01T03:00:00.000Z 100  9.400 //  276.0 //  339.9 //  58.7 //
2015-03-01T03:15:00.000Z 100  9.600 //  292.0 //  412.7 // 114.3 //
2015-03-01T03:30:00.000Z 100  8.800 //  301.0 //  413.4 // 125.8 //
2015-03-01T03:45:00.000Z 100  4.700 //  290.0 //  348.4 //  77.6 //
2015-03-01T04:00:00.000Z 100 10.500 //  260.0 //  412.6 // 116.8 //
2015-03-01T04:15:00.000Z 100 10.100 //  267.5 //  360.3 //  71.4 //
2015-03-01T04:30:00.000Z 100 10.100 //  265.0 //  327.7 //  40.8 //
2015-03-01T04:45:00.000Z 100  9.500 //  262.0 //  384.6 // 118.7 //
2015-03-01T05:00:00.000Z 100  9.400 //  255.0 //  390.9 // 125.8 //
2015-03-01T05:15:00.000Z 100  9.100 //  260.0 //  345.6 //  70.3 //
2015-03-01T05:30:00.000Z 100  9.500 //  251.0 //  378.0 // 116.9 //
2015-03-01T05:45:00.000Z 100  8.900 //  245.0 //  347.2 // 110.3 //
2015-03-01T06:00:00.000Z 100  8.300 //  240.0 //  297.4 //  52.4 //
2015-03-01T06:15:00.000Z 100  7.900 //  230.0 //  309.6 //  86.8 //
2015-03-01T06:30:00.000Z 100  7.500 //  220.0 //  261.6 //  40.0 //
2015-03-01T07:00:00.000Z 100  6.500 //  216.0 //  250.8 //  33.8 //
2015-03-01T07:15:00.000Z 100  5.900 //  211.0 //  240.2 //  31.4 //
2015-03-01T07:30:00.000Z 100  5.500 //  215.0 //  232.7 //  23.1 //
2015-03-01T07:45:00.000Z 100  3.600 //  215.0 //  217.8 //  15.7 //
2015-03-01T08:00:00.000Z 100  4.300 //  227.5 //  258.8 //  52.2 //
2015-03-01T09:30:00.000Z 100  2.500 //  290.0 //  306.9 //  63.0 //
2015-03-01T10:00:00.000Z 100  3.400 //  295.0 //  281.1 //  21.4 //
2015-03-01T10:45:00.000Z 100  5.200 //  330.0 //  331.0 //  32.1 //
2015-03-01T11:00:00.000Z  70  5.800 //  306.0 //  359.1 //  71.3 //
2015-03-01T11:15:00.000Z 100  6.700 //  271.0 //  369.2 // 132.0 //
2015-03-01T11:30:00.000Z 100  7.500 //  256.0 //  365.3 // 161.5 //
2015-03-01T11:45:00.000Z 100  7.500 //  246.0 //  354.3 // 209.2 //
2015-03-01T12:00:00.000Z 100  7.513 //  236.0 //  291.4 // 112.0 //
2015-03-01T12:15:00.000Z 100  8.450 //  232.0 //  292.0 // 106.8 //
2015-03-01T12:30:00.000Z  70  9.100 //  240.0 //  288.3 // 103.1 //
2015-03-01T12:45:00.000Z 100  9.500 //  227.0 //  287.7 // 100.4 //
2015-03-01T13:00:00.000Z  70 10.300 //  243.0 //  305.5 // 118.1 //
2015-03-01T13:15:00.000Z  70 10.200 //  238.0 //  292.6 // 101.9 //
2015-03-01T13:30:00.000Z  70 10.300 //  235.0 //  292.0 // 103.8 //
2015-03-01T13:45:00.000Z  70  9.900 //  240.0 //  269.6 //  93.2 //
2015-03-01T14:00:00.000Z  70 10.000 //  230.0 //  271.4 //  95.2 //
2015-03-01T14:15:00.000Z  70 10.100 //  267.0 //  277.2 //  90.9 //
2015-03-01T14:30:00.000Z 100 10.000 //  225.0 //  277.0 //  96.7 //
2015-03-01T14:45:00.000Z  70  9.800 //  282.5 //  285.1 // 101.8 //
2015-03-01T15:00:00.000Z  70  9.900 //  255.0 //  285.3 // 109.3 //
2015-03-01T15:15:00.000Z  70 10.100 //  295.0 //  288.9 // 103.4 //
2015-03-01T15:30:00.000Z  70 10.100 //  272.0 //  290.3 // 109.6 //
2015-03-01T15:45:00.000Z  70 10.000 //  301.0 //  300.8 // 108.7 //
2015-03-01T16:00:00.000Z  50  9.900 //  312.5 //  284.7 // 110.1 //
2015-03-01T16:15:00.000Z  50 10.300 //  320.0 //  289.5 // 112.0 //
2015-03-01T16:30:00.000Z  50 10.500 //  320.0 //  310.7 // 113.8 //
2015-03-01T16:45:00.000Z  50 10.200 //  322.5 //  287.9 // 111.3 //
2015-03-01T17:00:00.000Z  50 10.900 //  330.0 //  298.9 // 111.6 //
2015-03-01T17:15:00.000Z  50 11.200 //  320.0 //  306.7 // 112.9 //
2015-03-01T17:30:00.000Z  70 11.200 //  292.0 //  316.7 // 100.2 //
2015-03-01T17:45:00.000Z  70 11.300 //  320.0 //  322.7 // 110.5 //
2015-03-01T18:00:00.000Z  50 11.700 //  321.0 //  311.8 // 107.6 //
2015-03-01T18:15:00.000Z  70 11.600 //  306.0 //  311.5 // 103.6 //
2015-03-01T18:30:00.000Z  70 12.000 //  305.0 //  315.3 // 105.4 //
2015-03-01T18:45:00.000Z  70 11.900 //  315.0 //  311.6 // 106.8 //
2015-03-01T19:00:00.000Z  50 12.200 //  328.0 //  318.4 // 106.7 //
2015-03-01T19:15:00.000Z  50 12.000 //  317.5 //  327.8 // 101.1 //
2015-03-01T19:30:00.000Z  70 12.200 //  300.0 //  335.6 //  98.3 //
2015-03-01T19:45:00.000Z  70 12.800 //  305.0 //  343.4 // 108.4 //
2015-03-01T20:00:00.000Z  70 12.400 //  275.0 //  353.7 // 105.3 //
2015-03-01T20:15:00.000Z  70 12.600 //  308.0 //  350.3 // 110.7 //
2015-03-01T20:30:00.000Z  70 12.600 //  302.5 //  357.5 // 106.4 //
2015-03-01T20:45:00.000Z  70 12.700 //  222.0 //  375.6 // 114.9 //
2015-03-01T21:00:00.000Z  70  8.900 //  220.0 //  288.9 // 115.5 //
2015-03-01T21:15:00.000Z  50 11.600 //  320.0 //  353.8 // 125.4 //
