FECHA,Mh_PRECURSOR,Mv_PRECURSOR,Dh_TOTAL,F_DENSITY,Delta_foF2_1,slope_foF2_1,foF2_max_SW,foF2_min_SW,foF2_drop_SW,num_muestras_foF2,delta_inicio_min,delta_fin_min,extremos_validos,hora_inicio_real,hora_fin_real,tiempo_real_min,num_registros
2015-02-28,507.2,,,10.7,,,10.7,,,1,120.0,0.0,False,2015-02-28 19:00:00,,,1
2015-03-01,435.9,-0.35333333333333317,-42.39999999999998,10.657142857142858,-3.8000000000000007,-0.03166666666666667,12.8,9.0,3.8000000000000007,7,0.0,0.0,True,2015-03-01 17:00:00,2015-03-01 19:00:00,120.0,7
2015-03-02,,,,,,,,,,0,45.0,0.0,False,2015-03-02 17:45:00,2015-03-02 19:00:00,,5
2015-03-03,,,,,,,,,,0,75.0,0.0,False,2015-03-03 18:15:00,2015-03-03 19:00:00,,4
2015-03-04,398.2,0.5649999999999996,67.79999999999995,9.65625,-0.1999999999999993,-0.0016666666666666607,10.75,9.3,1.4499999999999993,8,0.0,0.0,True,2015-03-04 17:00:00,2015-03-04 19:00:00,120.0,8
2015-03-05,407.7,0.8083333333333333,97.0,9.557142857142859,0.5,0.004166666666666667,10.3,8.9,1.4000000000000004,7,0.0,0.0,True,2015-03-05 17:00:00,2015-03-05 19:00:00,120.0,7
2015-03-06,460.5,0.6158333333333331,73.89999999999998,9.516666666666666,-2.0,-0.016666666666666666,10.5,8.5,2.0,6,0.0,0.0,True,2015-03-06 17:00:00,2015-03-06 19:00:00,120.0,6
2015-03-07,,,,,,,,,,0,75.0,0.0,False,2015-03-07 18:15:00,2015-03-07 19:00:00,,4
2015-03-08,,,,,,,,,,0,75.0,0.0,False,2015-03-08 18:15:00,2015-03-08 19:00:00,,4
2015-03-09,,,,,,,,,,0,30.0,0.0,False,2015-03-09 17:30:00,2015-03-09 19:00:00,,5
2015-03-10,402.7,0.5625,67.5,7.659999999999999,-4.3,-0.035833333333333335,9.2,3.8,5.3999999999999995,5,0.0,0.0,True,2015-03-10 17:00:00,2015-03-10 19:00:00,120.0,5
2015-03-11,,,,,,,,,,0,15.0,0.0,False,2015-03-11 17:15:00,2015-03-11 19:00:00,,5
2015-03-12,,,,,,,,,,0,75.0,0.0,False,2015-03-12 18:15:00,2015-03-12 19:00:00,,4
2015-03-13,,,,,,,,,,0,75.0,0.0,False,2015-03-13 18:15:00,2015-03-13 19:00:00,,4
2015-03-14,,,,,,,,,,0,75.0,0.0,False,2015-03-14 18:15:00,2015-03-14 19:00:00,,4
2015-03-15,443.6,0.7300000000000002,87.60000000000002,9.457142857142857,-1.3000000000000007,-0.010833333333333339,10.7,8.7,2.0,7,0.0,0.0,True,2015-03-15 17:00:00,2015-03-15 19:00:00,120.0,7
2015-03-16,441.0,0.5349999999999999,64.19999999999999,9.62857142857143,-2.6999999999999993,-0.022499999999999996,11.1,8.4,2.6999999999999993,7,0.0,0.0,True,2015-03-16 17:00:00,2015-03-16 19:00:00,120.0,7
2015-03-17,525.9,1.0625,127.5,9.285714285714286,-0.8000000000000007,-0.006666666666666672,9.6,8.6,1.0,7,0.0,0.0,True,2015-03-17 17:00:00,2015-03-17 19:00:00,120.0,7
2015-03-18,441.8,1.0191666666666668,122.30000000000001,9.049999999999999,-0.8000000000000007,-0.006666666666666672,9.4,8.6,0.8000000000000007,6,0.0,0.0,True,2015-03-18 17:00:00,2015-03-18 19:00:00,120.0,6
2015-03-19,494.8,1.3566666666666667,162.8,12.4,-1.9000000000000004,-0.015833333333333335,13.1,11.2,1.9000000000000004,5,0.0,0.0,True,2015-03-19 17:00:00,2015-03-19 19:00:00,120.0,5
2015-03-20,,,,,,,,,,0,75.0,0.0,False,2015-03-20 18:15:00,2015-03-20 19:00:00,,4
2015-03-21,,,,,,,,,,0,30.0,0.0,False,2015-03-21 17:30:00,2015-03-21 19:00:00,,6
2015-03-22,,,,,,,,,,0,75.0,0.0,False,2015-03-22 18:15:00,2015-03-22 19:00:00,,4
2015-03-23,486.7,1.3747826086956518,158.09999999999997,12.379315789473685,-0.40000000000000036,-0.0034782608695652206,13.1,9.7,3.4000000000000004,19,4.999999999999929,0.0,True,2015-03-23 17:05:00,2015-03-23 19:00:00,115.0,19
2015-03-24,476.1,0.6125,73.5,11.094,-3.0,-0.025,12.3,9.3,3.0,25,0.0,0.0,True,2015-03-24 17:00:00,2015-03-24 19:00:00,120.0,25
2015-03-25,481.7,1.2424999999999997,149.09999999999997,9.504,-0.9000000000000004,-0.007500000000000003,11.05,8.2,2.8500000000000014,25,0.0,0.0,True,2015-03-25 17:00:00,2015-03-25 19:00:00,120.0,25
2015-03-26,457.0,1.1050000000000002,132.60000000000002,9.834000000000001,-0.29999999999999893,-0.002499999999999991,11.2,5.9,5.299999999999999,25,0.0,0.0,True,2015-03-26 17:00:00,2015-03-26 19:00:00,120.0,25
2015-03-27,,,,,,,,,,0,15.0,0.0,False,2015-03-27 17:15:00,2015-03-27 19:00:00,,4
2015-03-28,,,,,,,,,,0,60.0,0.0,False,2015-03-28 18:00:00,2015-03-28 19:00:00,,3
2015-03-29,,,,,,,,,,0,,,False,,,,0
2015-03-30,,,,,,,,,,0,60.0,0.0,False,2015-03-30 18:00:00,2015-03-30 19:00:00,,5
2015-03-31,,,,,,,,,,0,0.0,-15.0,False,2015-03-31 17:00:00,2015-03-31 18:45:00,,8
