FECHA,Δh1,Mh1,Mv1,Delta_foF2_1,slope_foF2_1,foF2_max_SW1,foF2_min_SW1,foF2_drop_SW1,num_muestras_foF2_SW1,delta_inicio_SW1_min,delta_fin_SW1_min,extremos_validos_SW1,tiempo_real_SW1_min,Δh2,Mh2,Mv2,Delta_foF2_2,slope_foF2_2,foF2_max_SW2,foF2_min_SW2,foF2_drop_SW2,num_muestras_foF2_SW2,delta_inicio_SW2_min,delta_fin_SW2_min,extremos_validos_SW2,tiempo_real_SW2_min,Δh3,Mh3,Mv3,Delta_foF2_3,slope_foF2_3,foF2_max_SW3,foF2_min_SW3,foF2_drop_SW3,num_muestras_foF2_SW3,delta_inicio_SW3_min,delta_fin_SW3_min,extremos_validos_SW3,tiempo_real_SW3_min,F_DENSITY
2015-02-28,,,,,,,,,0,,,False,,,,,,,,,,0,,,False,,,507.2,,,,10.7,,,1,40.00000000000007,0.0,False,,10.7
2015-03-01,,,,,,,,,0,0.0,-25.00000000000007,False,,,,,,,,,,0,19.99999999999993,-4.999999999999929,False,,-27.600000000000023,404.6,-0.6133333333333338,-1.4000000000000004,-0.03111111111111112,10.4,9.0,1.4000000000000004,4,-4.999999999999929,0.0,True,45.0,10.657142857142858
2015-03-02,,365.4,,,,9.4,,,1,45.0,4.999999999999929,False,,29.0,394.4,0.9666666666666667,-0.09999999999999964,-0.0033333333333333214,9.4,,,2,4.999999999999929,-4.999999999999929,True,30.0,54.400000000000034,448.8,1.2088888888888896,-0.7000000000000011,-0.01555555555555558,9.3,8.2,1.1000000000000014,4,-4.999999999999929,0.0,True,45.0,8.88
2015-03-03,,,,,,,,,0,,,False,,,,,,,,,,0,34.99999999999993,-4.999999999999929,False,,40.80000000000001,424.0,0.906666666666667,-0.3999999999999986,-0.008888888888888858,9.7,9.3,0.3999999999999986,4,-4.999999999999929,0.0,True,45.0,9.475000000000001
2015-03-04,14.5,398.2,0.32222222222222224,0.0,0.0,10.75,9.5,1.25,4,0.0,4.999999999999929,True,45.0,11.099999999999966,352.7,0.3699999999999989,0.0,0.0,9.5,,,2,4.999999999999929,-4.999999999999929,True,30.0,42.19999999999999,394.9,0.9377777777777775,-0.1999999999999993,-0.004444444444444429,9.5,9.3,0.1999999999999993,4,-4.999999999999929,0.0,True,45.0,9.65625
2015-03-05,,,,,,,,,0,0.0,-25.00000000000007,False,,,,,,,,,,0,19.99999999999993,-4.999999999999929,False,,34.89999999999998,407.7,0.775555555555555,-0.29999999999999893,-0.006666666666666643,9.7,9.4,0.29999999999999893,4,-4.999999999999929,0.0,True,45.0,9.557142857142859
2015-03-06,,,,,,,,,0,0.0,-25.00000000000007,False,,,,,,,,,,0,34.99999999999993,-4.999999999999929,False,,66.19999999999999,460.5,1.4711111111111108,-0.8000000000000007,-0.017777777777777795,9.3,8.5,0.8000000000000007,4,-4.999999999999929,0.0,True,45.0,9.516666666666666
2015-03-07,,,,,,,,,0,,,False,,,,,,,,,,0,34.99999999999993,-4.999999999999929,False,,4.099999999999966,420.2,0.09111111111111035,-2.0,-0.044444444444444446,11.3,9.3,2.0,4,-4.999999999999929,0.0,True,45.0,10.3
2015-03-08,,,,,,,,,0,,,False,,,,,,,,,,0,34.99999999999993,-4.999999999999929,False,,68.5,510.7,1.5222222222222221,-1.8000000000000007,-0.040000000000000015,13.0,11.2,1.8000000000000007,4,-4.999999999999929,0.0,True,45.0,11.975000000000001
2015-03-09,,379.8,,,,11.1,,,1,30.0,-10.000000000000071,False,,,,,,,,,,0,-10.000000000000071,-4.999999999999929,False,,60.5,474.9,1.3444444444444446,-1.4000000000000004,-0.03111111111111112,10.4,9.0,1.4000000000000004,4,-4.999999999999929,0.0,True,45.0,9.86
2015-03-10,,298.4,,,,8.1,,,1,0.0,-40.00000000000007,False,,,,,,,,,,0,34.99999999999993,-4.999999999999929,False,,-10.300000000000011,402.7,-0.22888888888888914,-5.3999999999999995,-0.11999999999999998,9.2,3.8,5.3999999999999995,4,-4.999999999999929,0.0,True,45.0,7.659999999999999
2015-03-11,,341.7,,,,9.4,,,1,15.0,-25.00000000000007,False,,,,,,,,,,0,34.99999999999993,-4.999999999999929,False,,88.5,440.9,1.9666666666666666,-0.10000000000000142,-0.002222222222222254,9.2,8.7,0.5,4,-4.999999999999929,0.0,True,45.0,9.0
2015-03-12,,,,,,,,,0,,,False,,,,,,,,,,0,34.99999999999993,-4.999999999999929,False,,38.30000000000001,399.3,0.8511111111111114,-0.7999999999999989,-0.017777777777777753,10.3,9.2,1.1000000000000014,4,-4.999999999999929,0.0,True,45.0,9.775
2015-03-13,,,,,,,,,0,,,False,,,,,,,,,,0,34.99999999999993,-4.999999999999929,False,,70.79999999999995,403.8,1.5733333333333324,0.5999999999999996,0.013333333333333326,10.5,9.3,1.1999999999999993,4,-4.999999999999929,0.0,True,45.0,10.05
2015-03-14,,,,,,,,,0,,,False,,,,,,,,,,0,34.99999999999993,-4.999999999999929,False,,92.80000000000001,468.6,2.0622222222222226,-1.0,-0.022222222222222223,9.5,8.5,1.0,4,-4.999999999999929,0.0,True,45.0,9.125
2015-03-15,,,,,,,,,0,0.0,-10.000000000000071,False,,,,,,,,,,0,-10.000000000000071,-4.999999999999929,False,,92.5,443.6,2.0555555555555554,0.40000000000000036,0.008888888888888898,9.2,8.7,0.5,4,-4.999999999999929,0.0,True,45.0,9.457142857142857
2015-03-16,,,,,,,,,0,0.0,-10.000000000000071,False,,,,,,,,,,0,-10.000000000000071,-4.999999999999929,False,,65.89999999999998,441.0,1.464444444444444,-0.5999999999999996,-0.013333333333333326,9.1,8.4,0.6999999999999993,4,-4.999999999999929,0.0,True,45.0,9.62857142857143
2015-03-17,-8.899999999999977,398.4,-0.19777777777777727,-0.09999999999999964,-0.0022222222222222144,9.4,9.1,0.3000000000000007,3,0.0,4.999999999999929,True,45.0,-11.300000000000011,389.5,-0.37666666666666704,0.1999999999999993,0.006666666666666643,9.5,,,2,4.999999999999929,-4.999999999999929,True,30.0,147.7,525.9,3.282222222222222,-0.9000000000000004,-0.020000000000000007,9.6,8.6,1.0,4,-4.999999999999929,0.0,True,45.0,9.285714285714286
2015-03-18,,,,,,,,,0,0.0,-10.000000000000071,False,,,,,,,,,,0,-10.000000000000071,-4.999999999999929,False,,86.19999999999999,441.8,1.9155555555555552,-0.40000000000000036,-0.008888888888888898,9.2,8.6,0.5999999999999996,4,-4.999999999999929,0.0,True,45.0,9.049999999999999
2015-03-19,,332.0,,,,13.1,,,1,0.0,-40.00000000000007,False,,,,,,,,,,0,34.99999999999993,-4.999999999999929,False,,50.60000000000002,494.8,1.124444444444445,-1.9000000000000004,-0.04222222222222223,13.1,11.2,1.9000000000000004,4,-4.999999999999929,0.0,True,45.0,12.4
2015-03-20,,,,,,,,,0,,,False,,,,,,,,,,0,34.99999999999993,-4.999999999999929,False,,113.09999999999997,496.4,2.5133333333333328,-0.10000000000000142,-0.002222222222222254,11.5,10.2,1.3000000000000007,4,-4.999999999999929,0.0,True,45.0,10.75
2015-03-21,,,,,,,,,0,30.0,4.999999999999929,False,,34.19999999999999,400.5,1.1399999999999997,-0.09999999999999964,-0.0033333333333333214,11.6,,,2,4.999999999999929,-4.999999999999929,True,30.0,89.5,490.0,1.988888888888889,-0.9000000000000004,-0.020000000000000007,11.6,10.6,1.0,4,-4.999999999999929,0.0,True,45.0,11.35
2015-03-22,,,,,,,,,0,,,False,,,,,,,,,,0,34.99999999999993,-4.999999999999929,False,,105.70000000000005,496.1,2.3488888888888897,-0.9000000000000004,-0.020000000000000007,11.6,10.7,0.9000000000000004,4,-4.999999999999929,0.0,True,45.0,11.175
2015-03-23,23.5,352.1,0.6714285714285714,0.29999999999999893,0.00857142857142854,13.1,11.6,1.5,6,4.999999999999929,0.0,True,35.0,9.099999999999966,385.9,0.22749999999999915,-1.799999999999999,-0.04499999999999997,13.1,9.7,3.4000000000000004,7,0.0,0.0,True,40.0,125.5,486.7,3.1375,1.0999999999999996,0.02749999999999999,12.9,11.3,1.5999999999999996,8,0.0,0.0,True,40.0,12.379315789473685
2015-03-24,3.3999999999999773,419.5,0.08499999999999944,-0.7000000000000011,-0.017500000000000026,12.3,11.25,1.0500000000000007,9,0.0,0.0,True,40.0,41.60000000000002,447.6,1.0400000000000005,-0.5,-0.0125,11.6,11.1,0.5,9,0.0,0.0,True,40.0,28.5,476.1,0.7125,-1.799999999999999,-0.04499999999999997,11.1,9.3,1.799999999999999,9,0.0,0.0,True,40.0,11.094
2015-03-25,68.89999999999998,402.3,1.7224999999999995,1.0,0.025,11.05,9.4,1.6500000000000004,9,0.0,0.0,True,40.0,-8.600000000000023,401.5,-0.21500000000000058,-1.0999999999999996,-0.02749999999999999,10.6,9.2,1.4000000000000004,9,0.0,0.0,True,40.0,88.80000000000001,481.7,2.22,-0.8000000000000007,-0.020000000000000018,9.5,8.2,1.3000000000000007,9,0.0,0.0,True,40.0,9.504
2015-03-26,67.20000000000005,408.4,1.680000000000001,1.0999999999999996,0.02749999999999999,11.2,9.6,1.5999999999999996,9,0.0,0.0,True,40.0,-108.80000000000001,406.5,-2.72,-4.799999999999999,-0.11999999999999997,10.9,5.9,5.0,9,0.0,0.0,True,40.0,174.2,457.0,4.3549999999999995,3.4000000000000004,0.085,9.5,5.9,3.5999999999999996,9,0.0,0.0,True,40.0,9.834000000000001
2015-03-27,,,,,,,,,0,15.0,4.999999999999929,False,,,396.5,,,,10.4,,,1,4.999999999999929,-34.99999999999993,False,,,,,,,,,,0,25.00000000000007,0.0,False,,9.45
2015-03-28,,,,,,,,,0,,,False,,,342.1,,,,9.4,,,1,19.99999999999993,-19.99999999999993,False,,,,,,,,,,0,25.00000000000007,0.0,False,,9.366666666666667
2015-03-29,,,,,,,,,0,,,False,,,,,,,,,,0,,,False,,,,,,,,,,0,,,False,,
2015-03-30,,,,,,,,,0,,,False,,,,,,,,,,0,19.99999999999993,-4.999999999999929,False,,92.60000000000002,470.3,2.0577777777777784,-0.10000000000000142,-0.002222222222222254,9.3,9.1,0.20000000000000107,4,-4.999999999999929,0.0,True,45.0,9.440000000000001
