FECHA,Mh_PRECURSOR,Mv_PRECURSOR,Dh_TOTAL,F_DENSITY,Delta_foF2_1,slope_foF2_1,foF2_max_SW,foF2_min_SW,foF2_drop_SW,num_muestras_foF2,delta_inicio_min,delta_fin_min,extremos_validos,hora_inicio_real,hora_fin_real,tiempo_real_min,num_registros,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18
2015-02-28,507.2,,,10.7,,,10.7,,,1,120.0,0.0,False,2015-02-28 19:00:00,,,1,-0.8,-0.8,,2.35,2.35,,479.0,,,-34.0,-34,4.96,4.96,-8.1,,,,125.3,1,0
2015-03-01,435.9,-0.3533333333333331,-42.39999999999998,10.657142857142858,-3.8000000000000007,-0.0316666666666666,12.8,9.0,3.8000000000000007,7,0.0,0.0,True,2015-03-01 17:00:00,2015-03-01 19:00:00,120.0,7,0.4,-1.5,-0.3799999999999999,1.02,1.95,0.242,472.0,22.0454076850486,-16.2,-23.75,-27,4.015,4.62,-4.8,25.0,27.0,150.0,125.3,4,6
2015-03-02,,,,,,,,,,0,45.0,0.0,False,2015-03-02 17:45:00,2015-03-02 19:00:00,,5,-0.075,-0.6,0.01,0.225,0.33,0.066,565.0,13.140268896284685,-4.2,-24.75,-27,2.24,2.34,-0.625,25.0,30.0,150.0,128.1,4,6
2015-03-03,,,,,,,,,,0,75.0,0.0,False,2015-03-03 18:15:00,2015-03-03 19:00:00,,4,-2.35,-4.0,0.6799999999999999,0.9525,1.85,-0.7150000000000001,449.5,5.686240703077327,-4.4,-27.0,-31,2.4975,2.62,-0.1999999999999999,28.0,33.0,168.0,122.9,4,6
2015-03-04,398.2,0.5649999999999996,67.79999999999995,9.65625,-0.1999999999999993,-0.0016666666666666,10.75,9.3,1.4499999999999993,8,0.0,0.0,True,2015-03-04 17:00:00,2015-03-04 19:00:00,120.0,8,1.4249999999999998,-0.1,0.51,-0.2724999999999999,0.46,-0.421,503.0,3.741657386773941,0.4,-14.5,-18,2.4925,2.57,-1.25,22.0,27.0,132.0,122.1,4,6
2015-03-05,407.7,0.8083333333333333,97.0,9.55714285714286,0.5,0.0041666666666666,10.3,8.9,1.4000000000000004,7,0.0,0.0,True,2015-03-05 17:00:00,2015-03-05 19:00:00,120.0,7,1.2,-0.1,-1.4,-0.7875,-0.16,0.1609999999999999,415.75,7.88986691902975,1.9,-4.0,-7,2.9625000000000004,3.13,1.575,15.0,17.0,90.0,137.9,4,6
2015-03-06,460.5,0.6158333333333331,73.89999999999998,9.516666666666666,-2.0,-0.0166666666666666,10.5,8.5,2.0,6,0.0,0.0,True,2015-03-06 17:00:00,2015-03-06 19:00:00,120.0,6,-0.225,-1.1,-0.47,-1.3975,0.2,0.721,494.25,2.9860788111948198,-1.1,-10.0,-17,2.995,3.53,5.65,25.0,30.0,150.0,125.4,4,6
2015-03-07,,,,,,,,,,0,75.0,0.0,False,2015-03-07 18:15:00,2015-03-07 19:00:00,,4,-1.3750000000000002,-3.0,0.53,0.0924999999999999,1.45,-0.493,559.5,5.744562646538029,-1.8,-21.25,-24,2.695,2.81,1.9,35.0,37.0,210.0,135.7,4,6
2015-03-08,,,,,,,,,,0,75.0,0.0,False,2015-03-08 18:15:00,2015-03-08 19:00:00,,4,-0.7250000000000001,-3.2,-1.87,-0.2025,1.0,0.8009999999999999,554.75,4.031128874149275,2.7,-15.0,-18,1.875,1.96,1.825,10.0,17.0,60.0,122.3,4,6
2015-03-09,,,,,,,,,,0,30.0,0.0,False,2015-03-09 17:30:00,2015-03-09 19:00:00,,5,0.2249999999999999,-1.0,0.23,-0.905,-0.43,-0.088,414.25,10.242883708539637,-7.3,-3.0,-4,1.89,2.15,3.775,6.5,10.0,39.0,121.2,4,6
