Time_UTC,Time_Local_Peru,CS,foF2,hF,hmF2,B0
2015-03-01 00:00:00,2015-02-28 19:00:00,100,10.7,338.0,507.2,157.7
2015-03-01 00:15:00,2015-02-28 19:15:00,100,8.9,361.0,520.2,146.8
2015-03-01 00:30:00,2015-02-28 19:30:00,100,7.1,375.0,507.1,126.1
2015-03-01 00:45:00,2015-02-28 19:45:00,100,6.9,417.0,448.8,74.2
2015-03-01 01:00:00,2015-02-28 20:00:00,100,5.4,408.0,415.1,26.5
2015-03-01 01:15:00,2015-02-28 20:15:00,100,10.1,379.0,511.8,138.8
2015-03-01 01:30:00,2015-02-28 20:30:00,100,9.0,462.0,490.9,58.6
2015-03-01 01:45:00,2015-02-28 20:45:00,100,10.2,417.5,456.7,47.1
2015-03-01 02:00:00,2015-02-28 21:00:00,100,8.9,386.0,424.2,52.3
2015-03-01 02:15:00,2015-02-28 21:15:00,100,9.1,336.0,419.8,82.6
2015-03-01 02:30:00,2015-02-28 21:30:00,100,9.0,366.0,439.5,78.3
2015-03-01 02:45:00,2015-02-28 21:45:00,100,9.5,305.0,360.1,55.7
2015-03-01 03:00:00,2015-02-28 22:00:00,100,9.4,276.0,339.9,58.7
2015-03-01 03:15:00,2015-02-28 22:15:00,100,9.6,292.0,412.7,114.3
2015-03-01 03:30:00,2015-02-28 22:30:00,100,8.8,301.0,413.4,125.8
2015-03-01 03:45:00,2015-02-28 22:45:00,100,4.7,290.0,348.4,77.6
2015-03-01 04:00:00,2015-02-28 23:00:00,100,10.5,260.0,412.6,116.8
2015-03-01 04:15:00,2015-02-28 23:15:00,100,10.1,267.5,360.3,71.4
2015-03-01 04:30:00,2015-02-28 23:30:00,100,10.1,265.0,327.7,40.8
2015-03-01 04:45:00,2015-02-28 23:45:00,100,9.5,262.0,384.6,118.7
2015-03-01 05:00:00,2015-03-01 00:00:00,100,9.4,255.0,390.9,125.8
2015-03-01 05:15:00,2015-03-01 00:15:00,100,9.1,260.0,345.6,70.3
2015-03-01 05:30:00,2015-03-01 00:30:00,100,9.5,251.0,378.0,116.9
2015-03-01 05:45:00,2015-03-01 00:45:00,100,8.9,245.0,347.2,110.3
2015-03-01 06:00:00,2015-03-01 01:00:00,100,8.3,240.0,297.4,52.4
2015-03-01 06:15:00,2015-03-01 01:15:00,100,7.9,230.0,309.6,86.8
2015-03-01 06:30:00,2015-03-01 01:30:00,100,7.5,220.0,261.6,40.0
2015-03-01 07:00:00,2015-03-01 02:00:00,100,6.5,216.0,250.8,33.8
2015-03-01 07:15:00,2015-03-01 02:15:00,100,5.9,211.0,240.2,31.4
2015-03-01 07:30:00,2015-03-01 02:30:00,100,5.5,215.0,232.7,23.1
2015-03-01 07:45:00,2015-03-01 02:45:00,100,3.6,215.0,217.8,15.7
2015-03-01 08:00:00,2015-03-01 03:00:00,100,4.3,227.5,258.8,52.2
2015-03-01 09:30:00,2015-03-01 04:30:00,100,2.5,290.0,306.9,63.0
2015-03-01 10:00:00,2015-03-01 05:00:00,100,3.4,295.0,281.1,21.4
2015-03-01 10:45:00,2015-03-01 05:45:00,100,5.2,330.0,331.0,32.1
2015-03-01 11:00:00,2015-03-01 06:00:00,70,5.8,306.0,359.1,71.3
2015-03-01 11:15:00,2015-03-01 06:15:00,100,6.7,271.0,369.2,132.0
2015-03-01 11:30:00,2015-03-01 06:30:00,100,7.5,256.0,365.3,161.5
2015-03-01 11:45:00,2015-03-01 06:45:00,100,7.5,246.0,354.3,209.2
2015-03-01 12:00:00,2015-03-01 07:00:00,100,7.513,236.0,291.4,112.0
2015-03-01 12:15:00,2015-03-01 07:15:00,100,8.45,232.0,292.0,106.8
2015-03-01 12:30:00,2015-03-01 07:30:00,70,9.1,240.0,288.3,103.1
2015-03-01 12:45:00,2015-03-01 07:45:00,100,9.5,227.0,287.7,100.4
