# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2025-11-29T16:44:18.671Z
#
# Location: GEO -12.0N 283.2E, URSI-Code JI91J JICAMARCA
# Instrument: Ionosonde, Model: DPS-4
#
# Query for measurement intervals of time:
# 2015-11-01T00:00:00.000Z - 2015-12-31T23:59:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2 [MHz] - F2 layer critical frequency
# hF [km] - Minimum virtual height of F trace
# hmF2 [km] - Peak height F2-layer
# B0 [km] - IRI thickness parameter
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of JI91J data provider
#
#Time                     CS   foF2 QD     hF QD   hmF2 QD    B0 QD
2015-11-01T00:00:00.000Z 100  8.200 //  318.0 //  429.1 // 116.4 //
2015-11-01T00:15:00.000Z 100  8.000 //  327.0 //  438.9 // 118.5 //
2015-11-01T00:30:00.000Z 100  7.900 //  326.0 //  444.1 // 120.7 //
2015-11-01T00:45:00.000Z 100  7.600 //  315.0 //  429.5 // 114.6 //
2015-11-01T01:00:00.000Z 100  7.200 //  300.0 //  399.9 //  95.9 //
2015-11-01T01:15:00.000Z 100  7.500 //  310.0 //  448.0 // 153.3 //
2015-11-01T01:30:00.000Z 100  7.300 //  310.0 //  433.7 // 118.2 //
2015-11-01T01:45:00.000Z 100  7.300 //  340.0 //  448.4 // 126.2 //
2015-11-01T02:00:00.000Z 100  7.500 //  325.0 //  436.5 // 119.4 //
2015-11-01T02:15:00.000Z 100  7.700 //  320.0 //  438.8 // 132.4 //
2015-11-01T02:30:00.000Z 100  7.800 //  305.0 //  419.7 // 112.7 //
2015-11-01T02:45:00.000Z 100  7.800 //  306.0 //  412.0 // 104.2 //
2015-11-01T03:00:00.000Z 100  7.800 //  305.0 //  399.6 //  96.3 //
2015-11-01T03:15:00.000Z 100  8.300 //  300.0 //  398.5 //  98.2 //
2015-11-01T03:30:00.000Z 100  8.300 //  300.0 //  403.6 // 104.2 //
2015-11-01T03:45:00.000Z 100  9.300 //  295.0 //  378.3 //  84.0 //
