# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2025-11-28T08:06:53.502Z
#
# Location: GEO -12.0N 283.2E, URSI-Code JI91J JICAMARCA
# Instrument: Ionosonde, Model: DPS-4
#
# Query for measurement intervals of time:
# 2015-09-01T00:00:00.000Z - 2015-10-31T23:59:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2 [MHz] - F2 layer critical frequency
# hF [km] - Minimum virtual height of F trace
# hmF2 [km] - Peak height F2-layer
# B0 [km] - IRI thickness parameter
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of JI91J data provider
#
#Time                     CS   foF2 QD     hF QD   hmF2 QD    B0 QD
2015-09-01T00:00:00.000Z 100  8.400 //  260.0 //  345.5 //  86.1 //
2015-09-01T00:15:00.000Z 100  8.200 //  262.0 //  362.1 // 100.2 //
2015-09-01T00:30:00.000Z 100  8.200 //  268.0 //  403.0 // 152.3 //
2015-09-01T00:45:00.000Z 100  8.200 //  262.5 //  386.3 // 116.6 //
2015-09-01T01:00:00.000Z 100  7.700 //  261.0 //  343.3 //  78.7 //
2015-09-01T01:15:00.000Z 100  8.000 //  260.0 //  343.3 //  83.2 //
2015-09-01T01:30:00.000Z 100  7.500 //  250.0 //  330.5 //  78.2 //
2015-09-01T02:00:00.000Z 100  8.000 //  226.0 //  323.9 //  78.2 //
2015-09-01T02:15:00.000Z 100  8.600 //  250.0 //  292.1 //  46.8 //
2015-09-01T03:00:00.000Z 100  7.300 //  225.0 //  304.8 //  83.4 //
2015-09-01T03:15:00.000Z 100  7.500 //  225.0 //  320.3 //  97.7 //
2015-09-01T03:30:00.000Z 100  7.300 //  220.0 //  285.3 //  63.9 //
2015-09-01T03:45:00.000Z 100  7.500 //  211.0 //  291.6 //  75.9 //
2015-09-01T04:00:00.000Z 100  7.600 //  205.0 //  286.1 //  73.6 //
2015-09-01T04:15:00.000Z 100  7.600 //  202.5 //  271.9 //  65.1 //
2015-09-01T04:30:00.000Z 100  7.300 //  198.0 //  261.5 //  64.5 //
2015-09-01T04:45:00.000Z 100  6.600 //  192.0 //  247.6 //  52.3 //
2015-09-01T05:00:00.000Z 100  6.100 //  193.0 //  254.0 //  60.0 //
