Time_UTC,Time_Local_Peru,CS,foF2,hF,hmF2,B0
2015-09-01 00:00:00,2015-08-31 19:00:00,100,8.4,260.0,345.5,86.1
2015-09-01 00:15:00,2015-08-31 19:15:00,100,8.2,262.0,362.1,100.2
2015-09-01 00:30:00,2015-08-31 19:30:00,100,8.2,268.0,403.0,152.3
2015-09-01 00:45:00,2015-08-31 19:45:00,100,8.2,262.5,386.3,116.6
2015-09-01 01:00:00,2015-08-31 20:00:00,100,7.7,261.0,343.3,78.7
2015-09-01 01:15:00,2015-08-31 20:15:00,100,8.0,260.0,343.3,83.2
2015-09-01 01:30:00,2015-08-31 20:30:00,100,7.5,250.0,330.5,78.2
2015-09-01 02:00:00,2015-08-31 21:00:00,100,8.0,226.0,323.9,78.2
2015-09-01 02:15:00,2015-08-31 21:15:00,100,8.6,250.0,292.1,46.8
2015-09-01 03:00:00,2015-08-31 22:00:00,100,7.3,225.0,304.8,83.4
2015-09-01 03:15:00,2015-08-31 22:15:00,100,7.5,225.0,320.3,97.7
2015-09-01 03:30:00,2015-08-31 22:30:00,100,7.3,220.0,285.3,63.9
2015-09-01 03:45:00,2015-08-31 22:45:00,100,7.5,211.0,291.6,75.9
2015-09-01 04:00:00,2015-08-31 23:00:00,100,7.6,205.0,286.1,73.6
2015-09-01 04:15:00,2015-08-31 23:15:00,100,7.6,202.5,271.9,65.1
2015-09-01 04:30:00,2015-08-31 23:30:00,100,7.3,198.0,261.5,64.5
2015-09-01 04:45:00,2015-08-31 23:45:00,100,6.6,192.0,247.6,52.3
2015-09-01 05:00:00,2015-09-01 00:00:00,100,6.1,193.0,254.0,60.0
2015-09-01 05:15:00,2015-09-01 00:15:00,100,5.9,198.0,260.5,62.9
2015-09-01 05:30:00,2015-09-01 00:30:00,100,5.8,193.0,241.7,48.8
2015-09-01 05:45:00,2015-09-01 00:45:00,100,5.4,193.0,258.4,68.1
2015-09-01 06:00:00,2015-09-01 01:00:00,100,5.3,198.0,297.4,103.6
2015-09-01 06:15:00,2015-09-01 01:15:00,100,5.0,200.0,298.1,105.9
2015-09-01 06:30:00,2015-09-01 01:30:00,100,5.4,203.0,282.7,82.2
2015-09-01 06:45:00,2015-09-01 01:45:00,100,5.2,205.0,243.7,45.4
2015-09-01 07:00:00,2015-09-01 02:00:00,100,5.1,209.0,297.0,90.5
2015-09-01 07:15:00,2015-09-01 02:15:00,100,4.5,210.0,255.0,52.1
2015-09-01 07:30:00,2015-09-01 02:30:00,100,4.2,214.0,262.7,56.9
2015-09-01 07:45:00,2015-09-01 02:45:00,100,4.1,218.0,273.9,60.2
2015-09-01 08:15:00,2015-09-01 03:15:00,100,4.0,233.0,290.2,70.0
2015-09-01 08:30:00,2015-09-01 03:30:00,100,3.9,239.0,282.5,54.5
2015-09-01 08:45:00,2015-09-01 03:45:00,100,3.8,245.0,340.3,112.3
2015-09-01 09:00:00,2015-09-01 04:00:00,100,3.5,249.0,291.4,55.1
2015-09-01 09:15:00,2015-09-01 04:15:00,100,3.4,255.0,290.7,52.9
2015-09-01 09:30:00,2015-09-01 04:30:00,100,3.4,258.0,350.4,120.4
2015-09-01 09:45:00,2015-09-01 04:45:00,100,3.2,263.0,284.7,46.2
2015-09-01 10:00:00,2015-09-01 05:00:00,100,3.2,257.5,280.1,42.4
2015-09-01 10:15:00,2015-09-01 05:15:00,100,3.2,260.0,326.5,98.7
2015-09-01 10:30:00,2015-09-01 05:30:00,100,3.0,251.0,272.8,46.3
2015-09-01 10:45:00,2015-09-01 05:45:00,100,3.1,250.0,277.6,60.5
2015-09-01 11:00:00,2015-09-01 06:00:00,100,3.6,247.0,275.7,69.2
2015-09-01 11:15:00,2015-09-01 06:15:00,100,4.5,240.0,266.5,63.1
2015-09-01 11:30:00,2015-09-01 06:30:00,100,5.3,231.0,242.6,58.1
2015-09-01 11:45:00,2015-09-01 06:45:00,100,5.825,221.0,243.8,73.9
2015-09-01 12:00:00,2015-09-01 07:00:00,100,6.825,221.0,253.8,81.4
2015-09-01 12:15:00,2015-09-01 07:15:00,100,6.95,215.0,239.7,72.5
2015-09-01 12:30:00,2015-09-01 07:30:00,100,7.65,211.0,255.6,80.8
2015-09-01 12:45:00,2015-09-01 07:45:00,100,7.513,210.0,245.3,73.2
2015-09-01 13:00:00,2015-09-01 08:00:00,100,8.15,206.0,255.4,76.3
2015-09-01 13:15:00,2015-09-01 08:15:00,100,8.104,203.0,247.6,76.0
2015-09-01 13:30:00,2015-09-01 08:30:00,100,8.85,202.0,260.6,78.7
2015-09-01 13:45:00,2015-09-01 08:45:00,100,8.85,205.0,264.4,90.7
2015-09-01 14:00:00,2015-09-01 09:00:00,100,8.85,195.0,264.7,96.1
2015-09-01 14:15:00,2015-09-01 09:15:00,100,9.35,195.0,308.9,129.6
2015-09-01 14:30:00,2015-09-01 09:30:00,100,9.65,215.0,301.0,120.1
2015-09-01 15:00:00,2015-09-01 10:00:00,100,9.413,195.0,300.7,131.6
2015-09-01 15:15:00,2015-09-01 10:15:00,70,9.75,325.0,311.8,133.7
2015-09-01 15:30:00,2015-09-01 10:30:00,70,9.45,205.0,306.0,143.6
2015-09-01 15:45:00,2015-09-01 10:45:00,100,9.45,200.0,322.1,133.7
2015-09-01 17:30:00,2015-09-01 12:30:00,100,8.6,235.0,316.6,132.2
2015-09-01 17:45:00,2015-09-01 12:45:00,70,8.25,335.0,298.1,160.9
2015-09-01 18:15:00,2015-09-01 13:15:00,100,8.602,345.0,324.7,140.5
2015-09-01 18:45:00,2015-09-01 13:45:00,70,8.85,342.0,313.0,148.6
2015-09-01 19:30:00,2015-09-01 14:30:00,70,9.5,330.0,345.3,154.5
2015-09-01 20:15:00,2015-09-01 15:15:00,100,9.75,200.0,343.7,161.7
2015-09-01 20:30:00,2015-09-01 15:30:00,100,9.55,171.0,343.2,162.6
2015-09-01 20:45:00,2015-09-01 15:45:00,100,9.2,230.0,340.7,137.6
2015-09-01 21:00:00,2015-09-01 16:00:00,100,9.175,180.0,364.6,166.8
2015-09-01 21:15:00,2015-09-01 16:15:00,100,9.25,185.0,353.9,113.0
2015-09-01 21:30:00,2015-09-01 16:30:00,100,9.25,191.0,361.8,136.8
2015-09-01 21:45:00,2015-09-01 16:45:00,100,9.25,191.0,356.0,133.7
2015-09-01 22:00:00,2015-09-01 17:00:00,100,9.3,232.0,357.1,121.8
2015-09-01 22:15:00,2015-09-01 17:15:00,100,9.5,227.5,360.1,119.3
2015-09-01 22:30:00,2015-09-01 17:30:00,100,9.3,231.0,357.0,128.8
2015-09-01 22:45:00,2015-09-01 17:45:00,100,9.1,246.0,376.4,163.4
2015-09-01 23:00:00,2015-09-01 18:00:00,70,8.6,237.0,368.6,153.2
2015-09-01 23:15:00,2015-09-01 18:15:00,70,9.0,248.0,407.2,182.2
2015-09-01 23:30:00,2015-09-01 18:30:00,100,8.3,252.0,410.8,210.6
2015-09-01 23:45:00,2015-09-01 18:45:00,100,8.1,253.0,408.8,186.3
2015-09-02 00:00:00,2015-09-01 19:00:00,100,7.8,263.0,406.9,165.9
2015-09-02 00:15:00,2015-09-01 19:15:00,100,7.4,269.0,386.7,121.9
2015-09-02 00:30:00,2015-09-01 19:30:00,100,6.8,269.0,355.0,85.2
2015-09-02 00:45:00,2015-09-01 19:45:00,100,7.2,274.0,408.6,159.0
2015-09-02 01:00:00,2015-09-01 20:00:00,100,6.9,277.0,383.2,120.9
2015-09-02 01:15:00,2015-09-01 20:15:00,100,6.7,272.0,376.5,112.4
2015-09-02 01:30:00,2015-09-01 20:30:00,100,5.9,274.0,330.0,67.5
2015-09-02 01:45:00,2015-09-01 20:45:00,100,6.3,265.0,339.8,77.9
2015-09-02 02:00:00,2015-09-01 21:00:00,100,5.7,265.0,323.9,63.8
2015-09-02 02:15:00,2015-09-01 21:15:00,100,5.7,272.0,354.4,90.7
