FECHA,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18
2015-03-31,7.5,7.5,,-4.89,-4.89,,401.0,,,-13.0,-13,2.35,2.35,11.0,,,,123.9,1,0
2015-04-01,0.825,-1.8,1.9099999999999997,-2.9875,-2.09,-0.6030000000000001,421.0,9.899494936611665,-7.2,-8.5,-11,4.675000000000001,4.94,12.025,20.0,20.0,120.0,123.9,4,6
2015-04-02,5.05,2.6,0.52,-2.4625,-1.33,-0.17499999999999996,463.75,3.8622100754188224,2.5,-29.5,-35,6.795,7.58,1.9249999999999998,40.0,47.0,240.0,121.2,4,6
2015-04-03,-1.1500000000000001,-2.5,0.6799999999999999,-0.13749999999999998,0.5,-0.44299999999999995,551.75,1.707825127659933,1.3,-28.5,-33,2.2175000000000002,2.3,2.325,25.0,30.0,150.0,119.8,4,6
2015-04-04,2.725,1.6,-0.5900000000000001,-0.8949999999999999,-0.72,0.14400000000000002,538.25,14.84082207965583,9.3,-12.5,-15,2.305,2.48,-1.175,18.5,20.0,111.0,122.4,4,6
2015-04-05,-1.1500000000000001,-2.7,0.7,0.2125,0.85,-0.209,564.5,11.030261405182864,-5.8,-13.5,-17,2.0025,2.4,1.15,20.0,30.0,120.0,122.3,4,6
2015-04-06,0.4750000000000001,-0.9,-0.97,-0.38499999999999995,0.04,0.28,449.25,3.5,-2.1,-16.25,-19,1.1575,1.25,0.825,8.5,10.0,51.0,125.8,4,6
2015-04-07,0.12499999999999994,-2.6,-0.8299999999999998,-0.4625,0.53,0.25100000000000006,377.75,6.701989754294367,-4.9,-3.75,-8,1.3425,1.37,2.125,8.0,13.0,48.0,111.4,4,6
2015-04-08,-1.35,-3.0,-0.82,0.505,0.7,0.07799999999999999,331.75,2.8722813232690143,2.1,-2.5,-6,1.0225,1.08,-0.7,12.0,17.0,72.0,106.3,4,6
2015-04-09,-4.15,-6.8,-2.3200000000000003,0.9125,4.1,2.315,382.75,2.8722813232690143,1.5,-0.75,-28,6.577500000000001,7.8,2.225,23.5,27.0,141.0,111.6,4,6
