Time_UTC,Time_Local_Peru,FECHA,YEAR,DOY,Hour,BY_GSE_nT,BZ_GSE_nT,SW_Plasma_Speed_kms,Flow_Pressure_nPa,E_Electric_Field_mVm,Kp_Index,Dst_Index_nT,F10.7_Index
2015-04-01 00:00:00,2015-03-31 19:00:00,2015-03-31,2015,91,0,11.0,7.5,401.0,2.35,-4.89,13,-13,123.9
2015-04-01 01:00:00,2015-03-31 20:00:00,2015-03-31,2015,91,1,11.0,6.7,397.0,2.43,-4.53,13,-8,123.9
2015-04-01 02:00:00,2015-03-31 21:00:00,2015-03-31,2015,91,2,11.1,5.8,398.0,2.77,-4.14,13,-1,123.9
2015-04-01 03:00:00,2015-03-31 22:00:00,2015-03-31,2015,91,3,10.5,4.5,389.0,2.63,-3.38,10,2,123.9
2015-04-01 04:00:00,2015-03-31 23:00:00,2015-03-31,2015,91,4,9.4,4.6,398.0,2.99,-3.18,10,3,123.9
2015-04-01 05:00:00,2015-04-01 00:00:00,2015-04-01,2015,91,5,9.2,5.3,401.0,2.73,-3.33,10,0,123.9
2015-04-01 06:00:00,2015-04-01 01:00:00,2015-04-01,2015,91,6,9.0,2.2,401.0,3.17,-2.0,13,0,123.9
2015-04-01 07:00:00,2015-04-01 02:00:00,2015-04-01,2015,91,7,9.6,-0.1,394.0,2.76,-1.06,13,-3,123.9
2015-04-01 08:00:00,2015-04-01 03:00:00,2015-04-01,2015,91,8,9.5,1.8,390.0,2.51,-1.64,13,-4,123.9
2015-04-01 09:00:00,2015-04-01 04:00:00,2015-04-01,2015,91,9,10.2,2.4,396.0,2.28,-1.9,17,-4,123.9
2015-04-01 10:00:00,2015-04-01 05:00:00,2015-04-01,2015,91,10,9.3,3.0,404.0,2.67,-2.06,17,0,123.9
2015-04-01 11:00:00,2015-04-01 06:00:00,2015-04-01,2015,91,11,5.8,-1.7,399.0,4.19,0.12,17,3,123.9
2015-04-01 12:00:00,2015-04-01 07:00:00,2015-04-01,2015,91,12,6.3,1.8,398.0,3.89,-1.31,13,-1,123.9
2015-04-01 13:00:00,2015-04-01 08:00:00,2015-04-01,2015,91,13,7.1,4.2,409.0,3.42,-2.41,13,0,123.9
2015-04-01 14:00:00,2015-04-01 09:00:00,2015-04-01,2015,91,14,7.6,4.4,410.0,3.03,-2.62,13,-1,123.9
2015-04-01 15:00:00,2015-04-01 10:00:00,2015-04-01,2015,91,15,5.1,-1.2,411.0,3.86,-0.25,30,2,123.9
2015-04-01 16:00:00,2015-04-01 11:00:00,2015-04-01,2015,91,16,7.2,-2.4,418.0,4.84,-0.21,30,0,123.9
2015-04-01 17:00:00,2015-04-01 12:00:00,2015-04-01,2015,91,17,9.9,1.6,434.0,4.96,-2.43,30,-4,123.9
2015-04-01 18:00:00,2015-04-01 13:00:00,2015-04-01,2015,91,18,9.7,4.7,432.0,4.78,-3.72,20,-6,123.9
2015-04-01 19:00:00,2015-04-01 14:00:00,2015-04-01,2015,91,19,8.6,4.2,423.0,5.36,-3.34,20,-2,123.9
2015-04-01 20:00:00,2015-04-01 15:00:00,2015-04-01,2015,91,20,11.7,0.5,428.0,4.32,-2.74,20,-4,123.9
2015-04-01 21:00:00,2015-04-01 16:00:00,2015-04-01,2015,91,21,11.9,-1.8,435.0,4.94,-2.09,20,-6,123.9
2015-04-01 22:00:00,2015-04-01 17:00:00,2015-04-01,2015,91,22,12.1,0.3,420.0,4.34,-2.86,20,-11,123.9
2015-04-01 23:00:00,2015-04-01 18:00:00,2015-04-01,2015,91,23,12.7,0.2,417.0,4.71,-2.92,20,-9,123.9
2015-04-02 00:00:00,2015-04-01 19:00:00,2015-04-01,2015,92,0,11.4,4.6,412.0,4.71,-4.08,7,-8,121.2
2015-04-02 01:00:00,2015-04-01 20:00:00,2015-04-01,2015,92,1,10.6,4.8,404.0,4.4,-3.84,7,-3,121.2
2015-04-02 02:00:00,2015-04-01 21:00:00,2015-04-01,2015,92,2,9.1,4.7,399.0,4.69,-3.39,7,3,121.2
2015-04-02 03:00:00,2015-04-01 22:00:00,2015-04-01,2015,92,3,8.5,-1.0,408.0,5.92,-1.18,17,9,121.2
2015-04-02 04:00:00,2015-04-01 23:00:00,2015-04-01,2015,92,4,4.5,1.7,392.0,4.67,-1.33,17,3,121.2
2015-04-02 05:00:00,2015-04-02 00:00:00,2015-04-02,2015,92,5,2.7,2.9,378.0,4.1,-1.4,17,2,121.2
2015-04-02 06:00:00,2015-04-02 01:00:00,2015-04-02,2015,92,6,1.3,4.0,388.0,4.32,-1.63,20,-1,121.2
2015-04-02 07:00:00,2015-04-02 02:00:00,2015-04-02,2015,92,7,-4.6,0.5,409.0,4.48,0.37,20,-2,121.2
2015-04-02 08:00:00,2015-04-02 03:00:00,2015-04-02,2015,92,8,4.0,-4.6,425.0,2.86,1.45,20,-17,121.2
2015-04-02 09:00:00,2015-04-02 04:00:00,2015-04-02,2015,92,9,7.0,-1.8,431.0,2.72,0.04,23,-25,121.2
2015-04-02 10:00:00,2015-04-02 05:00:00,2015-04-02,2015,92,10,5.0,-1.6,447.0,3.29,0.18,23,-22,121.2
2015-04-02 11:00:00,2015-04-02 06:00:00,2015-04-02,2015,92,11,5.6,-1.5,444.0,3.27,0.09,23,-19,121.2
2015-04-02 12:00:00,2015-04-02 07:00:00,2015-04-02,2015,92,12,5.6,-3.5,440.0,2.73,0.88,23,-16,121.2
2015-04-02 13:00:00,2015-04-02 08:00:00,2015-04-02,2015,92,13,4.6,-3.3,435.0,2.64,0.87,23,-16,121.2
2015-04-02 14:00:00,2015-04-02 09:00:00,2015-04-02,2015,92,14,4.2,-2.4,438.0,2.72,0.48,23,-16,121.2
2015-04-02 15:00:00,2015-04-02 10:00:00,2015-04-02,2015,92,15,3.5,-1.1,442.0,2.87,-0.04,23,-13,121.2
2015-04-02 16:00:00,2015-04-02 11:00:00,2015-04-02,2015,92,16,2.9,-3.6,433.0,2.74,1.0,23,-14,121.2
2015-04-02 17:00:00,2015-04-02 12:00:00,2015-04-02,2015,92,17,6.4,-2.1,429.0,2.62,-0.3,23,-17,121.2
2015-04-02 18:00:00,2015-04-02 13:00:00,2015-04-02,2015,92,18,8.8,-2.5,443.0,3.44,-0.8,33,-15,121.2
2015-04-02 19:00:00,2015-04-02 14:00:00,2015-04-02,2015,92,19,1.5,-2.5,437.0,4.02,0.66,33,-13,121.2
2015-04-02 20:00:00,2015-04-02 15:00:00,2015-04-02,2015,92,20,-4.3,-2.3,449.0,6.03,1.89,33,-13,121.2
2015-04-02 21:00:00,2015-04-02 16:00:00,2015-04-02,2015,92,21,1.4,2.6,458.0,6.1,-1.33,47,-33,121.2
