FECHA,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18
2014-12-31,1.8,1.8,,-0.62,-0.62,,568.0,,,-18.0,-18,1.81,1.81,-2.5,,,,132.9,1,0
2015-01-01,-2.475,-3.0,0.16999999999999996,1.26,1.49,-0.07799999999999997,437.5,3.872983346207417,-1.2,-17.5,-26,2.12,2.22,-1.925,20.0,23.0,120.0,132.9,4,6
2015-01-02,-4.6,-6.7,-1.22,1.445,1.78,0.09199999999999997,380.25,2.217355782608345,-1.5,-41.0,-49,6.5825,8.36,2.375,35.0,40.0,210.0,141.0,4,6
2015-01-03,1.525,0.6,-0.7099999999999999,-0.265,0.18,0.32599999999999996,454.25,6.751543033509698,-5.1,-19.75,-21,1.6325,1.69,-3.225,6.5,13.0,39.0,143.8,4,6
2015-01-04,-4.125,-8.1,0.6300000000000001,1.5074999999999998,2.57,-0.15700000000000003,400.5,14.294521094927712,4.2,-67.25,-78,4.2475000000000005,4.74,0.8,36.5,40.0,219.0,144.8,4,6
2015-01-05,-1.1249999999999998,-2.1,0.8699999999999999,1.23,2.01,-0.6759999999999999,507.75,21.391197566600457,-16.3,-43.75,-46,1.6975,1.91,-4.475,26.5,30.0,159.0,137.2,4,6
2015-01-06,10.0,8.8,-0.6399999999999997,-4.4225,-3.54,0.5469999999999999,465.5,13.527749258468683,-10.0,-21.25,-27,2.09,2.55,-0.275,18.5,27.0,111.0,137.2,4,6
2015-01-07,-0.8500000000000001,-2.7,-1.5000000000000002,0.2875,1.65,0.28300000000000003,470.25,10.21028892833107,3.1,-48.25,-54,6.065,9.86,0.6749999999999998,26.5,33.0,159.0,142.4,4,6
2015-01-08,-0.8249999999999997,-2.8,1.5299999999999998,0.3424999999999999,1.4,-0.657,483.75,4.7871355387816905,-2.9,-39.0,-42,1.885,1.91,0.30000000000000004,22.0,27.0,132.0,152.0,4,6
2015-01-09,-2.225,-3.6,-0.8300000000000001,0.51,1.19,0.394,410.0,2.943920288775949,-2.0,-27.5,-32,1.205,1.33,2.8249999999999997,15.0,20.0,90.0,146.2,4,6
2015-01-10,0.1499999999999999,-3.4,-2.36,-0.7225,0.59,0.849,475.5,22.47220505424423,16.2,-17.25,-20,1.345,1.46,4.6,8.5,10.0,51.0,146.9,4,6
2015-01-11,0.525,-0.6,0.39000000000000007,-0.7224999999999999,-0.21,-0.19899999999999998,422.75,5.377421934967226,0.3,-27.5,-29,0.8225,0.92,3.6999999999999997,23.5,27.0,141.0,148.6,4,6
2015-01-12,0.42500000000000004,-2.3,0.6099999999999999,-0.5900000000000001,0.78,-0.392,419.0,16.268579122549905,-0.4,-22.25,-25,1.7875,2.03,2.8,21.5,23.0,129.0,153.4,4,6
2015-01-13,-0.44999999999999996,-2.0,0.22000000000000003,-0.3125,0.41,-0.14900000000000002,407.5,4.795831523312719,0.8,-24.0,-26,1.5825,1.68,3.5250000000000004,20.0,20.0,120.0,999.9,4,6
2015-01-14,2.2,0.2,1.2,-1.52,-0.91,-0.348,399.75,3.2015621187164243,1.9,-14.0,-16,1.7574999999999998,1.82,5.025,13.5,17.0,81.0,137.2,4,6
2015-01-15,3.2250000000000005,1.3,-0.6100000000000001,-2.065,-1.61,0.08600000000000001,395.25,7.41057802513857,4.7,-11.75,-13,1.525,2.21,6.300000000000001,3.0,3.0,18.0,127.1,4,6
2015-01-16,-1.225,-2.8,-1.1300000000000001,-0.17000000000000004,0.53,0.49000000000000005,364.0,10.424330514074594,-6.2,-14.5,-18,1.2375,1.38,4.3500000000000005,13.5,17.0,81.0,120.7,4,6
2015-01-17,0.7,-1.1,-0.82,-0.47250000000000003,0.03,0.15699999999999997,329.75,4.924428900898052,1.5,-11.75,-13,1.1600000000000001,1.27,2.075,10.0,17.0,60.0,118.0,4,6
2015-01-18,-3.25,-4.2,-0.9199999999999999,0.8274999999999999,1.22,0.38499999999999995,309.5,3.0,0.6,-15.75,-19,1.1275,1.14,0.9500000000000001,16.5,23.0,99.0,121.7,4,6
2015-01-19,-3.475,-5.7,1.65,0.7,1.48,-0.6140000000000001,299.25,5.5,-1.1,-17.0,-23,1.1175000000000002,1.19,2.375,15.0,20.0,90.0,125.9,4,6
2015-01-20,4.95,2.5,-1.34,-1.5825,-0.87,0.341,293.25,6.238322424070967,4.7,23.25,11,5.35,8.63,2.25,1.5,3.0,9.0,121.6,4,6
2015-01-21,3.1750000000000003,1.5,-0.47000000000000003,0.07,0.86,0.30399999999999994,476.75,9.742518497116988,-2.3,-10.0,-12,27.262500000000003,99.99,-7.9,31.5,33.0,189.0,120.0,4,6
2015-01-22,-0.475,-1.0,-0.55,0.8925,1.23,0.10700000000000001,432.75,13.889444433333777,-10.3,-13.25,-14,2.6550000000000002,2.75,-4.199999999999999,21.5,23.0,129.0,116.6,4,6
2015-01-23,1.525,0.7,0.5900000000000001,-0.21999999999999997,-0.04,-0.148,428.0,2.449489742783178,-1.8,-9.75,-12,1.8975,1.94,-2.2,12.0,17.0,72.0,117.3,4,6
2015-01-24,0.975,0.4,0.43000000000000005,0.13999999999999999,0.47,-0.274,359.75,4.573474244670748,-0.3,-8.25,-10,1.9675,2.33,-3.175,23.0,23.0,138.0,121.4,4,6
2015-01-25,-1.175,-5.5,-1.25,1.2525,2.81,0.481,354.5,8.266397845091497,6.0,-3.5,-10,3.2525,3.52,-5.975,20.0,27.0,120.0,122.7,4,6
2015-01-26,-1.8499999999999999,-2.4,-0.26000000000000006,1.23,1.44,0.144,366.25,2.217355782608345,1.5,-23.25,-26,2.8550000000000004,2.98,-4.025,21.5,23.0,129.0,142.5,4,6
2015-01-27,0.625,-1.0,1.19,0.4149999999999999,1.29,-0.654,469.25,10.1447851956888,-6.9,-20.25,-24,4.955,5.99,-3.375,28.0,33.0,168.0,153.3,4,6
2015-01-28,0.55,-0.3,0.16,0.5050000000000001,1.03,0.13600000000000004,407.75,7.274384280931732,-5.1,-7.0,-9,2.7125000000000004,3.06,-4.125,8.0,13.0,48.0,154.5,4,6
2015-01-29,1.0,-1.4,0.020000000000000195,0.24,1.25,-0.16399999999999998,406.25,5.377421934967226,-3.1,-12.5,-17,4.7299999999999995,5.21,-3.475,32.0,37.0,192.0,166.7,4,6
2015-01-30,0.5750000000000001,-3.1,-2.05,0.09249999999999997,1.7,0.8710000000000001,418.5,5.5677643628300215,1.6,-24.75,-33,2.2800000000000002,2.98,-1.7249999999999999,31.5,33.0,189.0,154.6,4,6
2015-01-31,-2.275,-5.1,-0.61,0.7225,1.62,-0.515,401.5,4.509249752822894,1.6,-19.0,-23,5.5600000000000005,6.76,0.5499999999999998,30.0,37.0,180.0,149.0,4,6
2015-02-01,-3.4,-7.3,-0.8600000000000001,3.595,6.16,0.4520000000000001,642.5,21.91650823770368,-16.2,-26.5,-31,5.865,6.64,-5.775,46.5,50.0,279.0,137.6,4,6
2015-02-02,0.125,-0.7,-0.15,0.54,1.9,0.57,653.5,17.74823934929885,12.0,-22.25,-28,2.06,2.44,-2.05,35.0,40.0,210.0,139.8,4,6
2015-02-03,0.35,-1.6,-0.8800000000000001,0.12000000000000002,1.35,0.6880000000000001,540.25,3.4034296427770228,-2.1,-13.5,-18,2.1499999999999995,2.21,-1.25,26.5,30.0,159.0,145.1,4,6
2015-02-04,-0.175,-0.5,-0.23000000000000004,0.33999999999999997,0.59,0.20400000000000001,428.25,4.272001872658765,-3.3,-13.25,-18,1.25,1.33,-1.4,13.0,13.0,78.0,150.1,4,6
2015-02-05,-1.1,-2.0,0.64,-0.625,-0.28,-0.19199999999999998,399.25,4.425306015783918,-3.1,-17.0,-20,1.5325,1.84,5.65,25.0,27.0,150.0,138.0,4,6
2015-02-06,1.225,-2.0,-0.08999999999999994,-1.2525,0.5,0.11699999999999999,421.25,8.421203397773187,-3.3,-6.25,-10,1.54,1.7,3.9999999999999996,5.0,10.0,30.0,139.3,4,6
2015-02-07,0.20000000000000007,-2.8,1.7600000000000002,-0.5700000000000001,0.88,-1.12,405.75,7.58836829188814,5.5,-18.5,-21,2.46,2.68,2.5,18.0,23.0,108.0,148.9,4,6
2015-02-08,-2.9250000000000003,-3.7,-0.20999999999999996,0.8275000000000001,1.34,0.355,511.5,7.767453465154029,-4.0,-17.5,-19,1.2425,1.35,2.075,28.5,30.0,171.0,148.7,4,6
