Time_UTC,Time_Local_Peru,FECHA,YEAR,DOY,Hour,BY_GSE_nT,BZ_GSE_nT,SW_Plasma_Speed_kms,Flow_Pressure_nPa,E_Electric_Field_mVm,Kp_Index,Dst_Index_nT,F10.7_Index
2015-03-01 00:00:00,2015-02-28 19:00:00,2015-02-28,2015,60,0,-8.1,-0.8,479.0,4.96,2.35,50,-34,125.3
2015-03-01 01:00:00,2015-02-28 20:00:00,2015-02-28,2015,60,1,-8.2,2.4,484.0,4.71,0.97,50,-44,125.3
2015-03-01 02:00:00,2015-02-28 21:00:00,2015-02-28,2015,60,2,-6.2,0.1,484.0,4.59,1.4,50,-30,125.3
2015-03-01 03:00:00,2015-02-28 22:00:00,2015-02-28,2015,60,3,-3.4,-3.7,499.0,4.99,2.4,50,-31,125.3
2015-03-01 04:00:00,2015-02-28 23:00:00,2015-02-28,2015,60,4,-5.6,-0.8,523.0,5.58,1.57,50,-28,125.3
2015-03-01 05:00:00,2015-03-01 00:00:00,2015-03-01,2015,60,5,-8.6,-2.7,553.0,5.45,3.1,50,-42,125.3
2015-03-01 06:00:00,2015-03-01 01:00:00,2015-03-01,2015,60,6,-9.4,-1.8,546.0,4.68,2.57,53,-55,125.3
2015-03-01 07:00:00,2015-03-01 02:00:00,2015-03-01,2015,60,7,-8.3,-3.2,538.0,5.09,2.91,53,-53,125.3
2015-03-01 08:00:00,2015-03-01 03:00:00,2015-03-01,2015,60,8,-2.5,3.4,540.0,4.66,-1.46,53,-56,125.3
2015-03-01 09:00:00,2015-03-01 04:00:00,2015-03-01,2015,60,9,-2.7,-0.2,566.0,4.67,0.45,37,-51,125.3
2015-03-01 10:00:00,2015-03-01 05:00:00,2015-03-01,2015,60,10,-4.3,1.2,550.0,4.26,-0.11,37,-50,125.3
2015-03-01 11:00:00,2015-03-01 06:00:00,2015-03-01,2015,60,11,-3.0,1.5,546.0,3.78,-0.44,37,-47,125.3
2015-03-01 12:00:00,2015-03-01 07:00:00,2015-03-01,2015,60,12,-0.1,2.2,533.0,2.93,-1.12,20,-46,125.3
2015-03-01 13:00:00,2015-03-01 08:00:00,2015-03-01,2015,60,13,1.1,1.0,527.0,3.0,-0.63,20,-41,125.3
2015-03-01 14:00:00,2015-03-01 09:00:00,2015-03-01,2015,60,14,0.7,-1.4,522.0,3.13,0.57,20,-36,125.3
2015-03-01 15:00:00,2015-03-01 10:00:00,2015-03-01,2015,60,15,-1.2,-2.7,516.0,3.11,1.5,13,-32,125.3
2015-03-01 16:00:00,2015-03-01 11:00:00,2015-03-01,2015,60,16,-1.4,-1.0,514.0,2.88,0.72,13,-29,125.3
2015-03-01 17:00:00,2015-03-01 12:00:00,2015-03-01,2015,60,17,-0.6,0.8,511.0,2.89,-0.26,13,-26,125.3
2015-03-01 18:00:00,2015-03-01 13:00:00,2015-03-01,2015,60,18,-3.7,1.5,516.0,2.62,0.15,23,-22,125.3
2015-03-01 19:00:00,2015-03-01 14:00:00,2015-03-01,2015,60,19,-4.2,1.2,519.0,2.82,0.47,23,-21,125.3
2015-03-01 20:00:00,2015-03-01 15:00:00,2015-03-01,2015,60,20,-5.6,-0.8,506.0,4.35,1.77,23,-22,125.3
2015-03-01 21:00:00,2015-03-01 16:00:00,2015-03-01,2015,60,21,-3.9,-0.4,502.0,4.62,1.2,27,-21,125.3
2015-03-01 22:00:00,2015-03-01 17:00:00,2015-03-01,2015,60,22,-4.8,2.0,475.0,3.26,0.38,27,-27,125.3
2015-03-01 23:00:00,2015-03-01 18:00:00,2015-03-01,2015,60,23,-4.7,1.5,457.0,4.16,0.55,27,-26,125.3
2015-03-02 00:00:00,2015-03-01 19:00:00,2015-03-01,2015,61,0,-5.8,-1.5,454.0,4.02,1.95,40,-21,128.1
2015-03-02 01:00:00,2015-03-01 20:00:00,2015-03-01,2015,61,1,-6.7,-3.7,449.0,4.47,2.96,40,-20,128.1
2015-03-02 02:00:00,2015-03-01 21:00:00,2015-03-01,2015,61,2,-7.7,1.0,463.0,5.08,1.3,40,-30,128.1
2015-03-02 03:00:00,2015-03-01 22:00:00,2015-03-01,2015,61,3,-5.9,5.4,522.0,5.71,-1.15,43,-35,128.1
2015-03-02 04:00:00,2015-03-01 23:00:00,2015-03-01,2015,61,4,-7.8,-3.6,526.0,6.31,3.37,43,-30,128.1
2015-03-02 05:00:00,2015-03-02 00:00:00,2015-03-02,2015,61,5,-5.2,-1.3,523.0,5.47,1.62,43,-42,128.1
2015-03-02 06:00:00,2015-03-02 01:00:00,2015-03-02,2015,61,6,-5.4,-7.1,574.0,5.08,4.88,53,-43,128.1
2015-03-02 07:00:00,2015-03-02 02:00:00,2015-03-02,2015,61,7,-7.8,-4.0,597.0,5.41,3.58,53,-53,128.1
2015-03-02 08:00:00,2015-03-02 03:00:00,2015-03-02,2015,61,8,-6.4,-1.1,586.0,4.84,1.58,53,-64,128.1
2015-03-02 09:00:00,2015-03-02 04:00:00,2015-03-02,2015,61,9,-3.3,4.5,590.0,4.84,-2.12,47,-62,128.1
2015-03-02 10:00:00,2015-03-02 05:00:00,2015-03-02,2015,61,10,-6.0,-1.5,619.0,4.46,1.73,47,-54,128.1
2015-03-02 11:00:00,2015-03-02 06:00:00,2015-03-02,2015,61,11,-4.0,0.9,627.0,3.91,-0.0,47,-50,128.1
2015-03-02 12:00:00,2015-03-02 07:00:00,2015-03-02,2015,61,12,-3.1,0.4,634.0,3.75,0.19,37,-53,128.1
2015-03-02 13:00:00,2015-03-02 08:00:00,2015-03-02,2015,61,13,-3.0,-3.1,643.0,3.81,2.44,37,-53,128.1
2015-03-02 14:00:00,2015-03-02 09:00:00,2015-03-02,2015,61,14,-3.3,-1.2,637.0,3.27,1.34,37,-49,128.1
2015-03-02 15:00:00,2015-03-02 10:00:00,2015-03-02,2015,61,15,-0.3,0.5,627.0,2.74,-0.25,37,-49,128.1
2015-03-02 16:00:00,2015-03-02 11:00:00,2015-03-02,2015,61,16,0.5,-0.2,621.0,2.22,-0.0,37,-41,128.1
2015-03-02 17:00:00,2015-03-02 12:00:00,2015-03-02,2015,61,17,-1.5,-0.8,604.0,1.96,0.79,37,-40,128.1
2015-03-02 18:00:00,2015-03-02 13:00:00,2015-03-02,2015,61,18,-1.1,0.2,582.0,2.47,0.17,30,-36,128.1
2015-03-02 19:00:00,2015-03-02 14:00:00,2015-03-02,2015,61,19,-1.6,0.8,575.0,2.54,0.06,30,-29,128.1
2015-03-02 20:00:00,2015-03-02 15:00:00,2015-03-02,2015,61,20,-2.5,-0.2,570.0,3.03,0.8,30,-27,128.1
2015-03-02 21:00:00,2015-03-02 16:00:00,2015-03-02,2015,61,21,-0.6,0.1,560.0,2.29,0.11,20,-27,128.1
2015-03-02 22:00:00,2015-03-02 17:00:00,2015-03-02,2015,61,22,-0.5,-0.1,583.0,2.13,0.23,20,-25,128.1
2015-03-02 23:00:00,2015-03-02 18:00:00,2015-03-02,2015,61,23,0.2,-0.6,565.0,2.34,0.23,20,-23,128.1
2015-03-03 00:00:00,2015-03-02 19:00:00,2015-03-02,2015,62,0,-1.6,0.3,552.0,2.2,0.33,30,-24,122.9
2015-03-03 01:00:00,2015-03-02 20:00:00,2015-03-02,2015,62,1,-2.3,-1.7,555.0,2.31,1.44,30,-22,122.9
2015-03-03 02:00:00,2015-03-02 21:00:00,2015-03-02,2015,62,2,-3.1,1.5,563.0,2.37,0.11,30,-28,122.9
2015-03-03 03:00:00,2015-03-02 22:00:00,2015-03-02,2015,62,3,-1.5,1.4,552.0,2.3,-0.33,30,-26,122.9
2015-03-03 04:00:00,2015-03-02 23:00:00,2015-03-02,2015,62,4,-2.8,0.4,547.0,2.19,0.44,30,-25,122.9
2015-03-03 05:00:00,2015-03-03 00:00:00,2015-03-03,2015,62,5,-1.9,-0.3,537.0,1.9,0.54,30,-26,122.9
2015-03-03 06:00:00,2015-03-03 01:00:00,2015-03-03,2015,62,6,-1.6,2.1,538.0,1.82,-0.81,20,-27,122.9
2015-03-03 07:00:00,2015-03-03 02:00:00,2015-03-03,2015,62,7,-1.6,0.9,527.0,1.64,-0.21,20,-26,122.9
2015-03-03 08:00:00,2015-03-03 03:00:00,2015-03-03,2015,62,8,-2.3,0.1,525.0,1.84,0.26,20,-22,122.9
2015-03-03 09:00:00,2015-03-03 04:00:00,2015-03-03,2015,62,9,-2.7,0.2,514.0,1.93,0.21,20,-26,122.9
2015-03-03 10:00:00,2015-03-03 05:00:00,2015-03-03,2015,62,10,-1.8,-0.2,504.0,1.94,0.3,20,-28,122.9
