Time_UTC,Time_Local_Peru,FECHA,YEAR,DOY,Hour,BY_GSE_nT,BZ_GSE_nT,SW_Plasma_Speed_kms,Flow_Pressure_nPa,E_Electric_Field_mVm,Kp_Index,Dst_Index_nT,F10.7_Index
2015-09-01 00:00:00,2015-08-31 19:00:00,2015-08-31,2015,244,0,-1.0,1.7,362.0,1.56,-0.69,17,-6,90.7
2015-09-01 01:00:00,2015-08-31 20:00:00,2015-08-31,2015,244,1,-0.9,-0.1,356.0,1.56,-0.04,17,-3,90.7
2015-09-01 02:00:00,2015-08-31 21:00:00,2015-08-31,2015,244,2,-3.2,-1.8,364.0,1.72,0.29,17,-3,90.7
2015-09-01 03:00:00,2015-08-31 22:00:00,2015-08-31,2015,244,3,-3.4,-2.0,368.0,1.66,0.29,10,-5,90.7
2015-09-01 04:00:00,2015-08-31 23:00:00,2015-08-31,2015,244,4,-2.7,-1.9,367.0,1.67,0.29,10,-8,90.7
2015-09-01 05:00:00,2015-09-01 00:00:00,2015-09-01,2015,244,5,-2.2,-3.8,371.0,1.81,0.96,10,-8,90.7
2015-09-01 06:00:00,2015-09-01 01:00:00,2015-09-01,2015,244,6,-2.4,-1.5,368.0,1.87,0.11,7,-9,90.7
2015-09-01 07:00:00,2015-09-01 02:00:00,2015-09-01,2015,244,7,-3.9,-0.7,377.0,1.9,-0.45,7,-12,90.7
2015-09-01 08:00:00,2015-09-01 03:00:00,2015-09-01,2015,244,8,-4.0,0.2,359.0,1.72,-0.79,7,-12,90.7
2015-09-01 09:00:00,2015-09-01 04:00:00,2015-09-01,2015,244,9,-3.3,-2.7,359.0,1.63,0.22,13,-10,90.7
2015-09-01 10:00:00,2015-09-01 05:00:00,2015-09-01,2015,244,10,-1.1,-3.7,352.0,1.53,0.92,13,-9,90.7
2015-09-01 11:00:00,2015-09-01 06:00:00,2015-09-01,2015,244,11,0.1,-2.9,346.0,1.43,0.86,13,-11,90.7
2015-09-01 12:00:00,2015-09-01 07:00:00,2015-09-01,2015,244,12,-2.4,-0.8,344.0,1.38,-0.21,10,-10,90.7
2015-09-01 13:00:00,2015-09-01 08:00:00,2015-09-01,2015,244,13,-4.7,0.6,348.0,1.26,-0.97,10,-12,90.7
2015-09-01 14:00:00,2015-09-01 09:00:00,2015-09-01,2015,244,14,-2.8,3.3,348.0,1.29,-1.46,10,-12,90.7
2015-09-01 15:00:00,2015-09-01 10:00:00,2015-09-01,2015,244,15,-1.8,1.7,347.0,1.4,-0.8,7,-10,90.7
2015-09-01 16:00:00,2015-09-01 11:00:00,2015-09-01,2015,244,16,-3.5,1.8,361.0,1.67,-1.08,7,-7,90.7
2015-09-01 17:00:00,2015-09-01 12:00:00,2015-09-01,2015,244,17,-4.2,0.4,367.0,1.88,-0.66,7,-3,90.7
2015-09-01 18:00:00,2015-09-01 13:00:00,2015-09-01,2015,244,18,-2.0,0.1,366.0,1.97,-0.26,10,-1,90.7
