FECHA,Mh_PRECURSOR,Mv_PRECURSOR,Dh_TOTAL,F_DENSITY,Delta_foF2_1,slope_foF2_1,foF2_max_SW,foF2_min_SW,foF2_drop_SW,num_muestras_foF2,delta_inicio_min,delta_fin_min,extremos_validos,hora_inicio_real,hora_fin_real,tiempo_real_min,num_registros
2015-12-31,390.1,,,8.6,,,8.6,,,1,120.0,0.0,False,2015-12-31 19:00:00,,,1
2016-01-01,438.5,0.3966666666666664,47.599999999999966,10.03888888888889,-3.700000000000001,-0.03083333333333334,11.9,8.2,3.700000000000001,9,0.0,0.0,True,2016-01-01 17:00:00,2016-01-01 19:00:00,120.0,9
2016-01-02,424.1,0.33916666666666706,40.700000000000045,10.433333333333334,-1.200000000000001,-0.010000000000000009,10.95,9.7,1.25,9,0.0,0.0,True,2016-01-02 17:00:00,2016-01-02 19:00:00,120.0,9
2016-01-03,403.3,0.5291666666666667,63.5,11.905777777777777,-1.3499999999999996,-0.011249999999999998,12.45,11.1,1.3499999999999996,9,0.0,0.0,True,2016-01-03 17:00:00,2016-01-03 19:00:00,120.0,9
2016-01-04,406.2,0.3658333333333331,43.89999999999998,9.036000000000001,-0.6999999999999993,-0.0058333333333333275,9.6,7.1,2.5,25,0.0,0.0,True,2016-01-04 17:00:00,2016-01-04 19:00:00,120.0,25
2016-01-05,373.4,0.26833333333333326,32.19999999999999,11.106,-0.6000000000000014,-0.005000000000000012,11.5,10.5,1.0,25,0.0,0.0,True,2016-01-05 17:00:00,2016-01-05 19:00:00,120.0,25
2016-01-06,415.2,0.46416666666666656,55.69999999999999,9.32,-0.20000000000000107,-0.0016666666666666754,9.6,8.5,1.0999999999999996,25,0.0,0.0,True,2016-01-06 17:00:00,2016-01-06 19:00:00,120.0,25
2016-01-07,404.6,0.3133333333333335,37.60000000000002,10.665999999999999,0.05000000000000071,0.0004166666666666726,11.1,9.4,1.6999999999999993,25,0.0,0.0,True,2016-01-07 17:00:00,2016-01-07 19:00:00,120.0,25
2016-01-08,445.9,0.5900000000000001,70.80000000000001,8.859375,-0.34999999999999964,-0.0029166666666666638,9.1,8.6,0.5,24,0.0,0.0,True,2016-01-08 17:00:00,2016-01-08 19:00:00,120.0,24
2016-01-09,381.3,0.18499999999999991,22.19999999999999,10.222000000000001,-1.75,-0.014583333333333334,11.25,8.6,2.6500000000000004,25,0.0,0.0,True,2016-01-09 17:00:00,2016-01-09 19:00:00,120.0,25
2016-01-10,,,,,,,,,,0,,,False,,,,0
2016-01-11,,,,,,,,,,0,0.0,-75.0,False,2016-01-11 17:00:00,2016-01-11 17:45:00,,4
2016-01-14,,,,,,,,,,0,,,False,,,,0
2016-01-15,,,,,,,,,,0,15.0,0.0,False,2016-01-15 17:15:00,2016-01-15 19:00:00,,7
