Time_UTC,Time_Local_Peru,CS,foF2,hF,hmF2,B0
2016-01-01 00:00:00,2015-12-31 19:00:00,100,8.6,277.0,390.1,130.6
2016-01-01 00:15:00,2015-12-31 19:15:00,100,8.3,298.0,427.2,142.4
2016-01-01 00:30:00,2015-12-31 19:30:00,100,7.9,323.0,445.9,134.3
2016-01-01 00:45:00,2015-12-31 19:45:00,100,7.5,345.0,442.5,108.1
2016-01-01 01:00:00,2015-12-31 20:00:00,100,7.2,358.0,460.2,115.9
2016-01-01 01:15:00,2015-12-31 20:15:00,100,6.9,361.0,477.4,123.9
2016-01-01 01:30:00,2015-12-31 20:30:00,100,6.6,411.0,492.5,113.7
2016-01-01 01:45:00,2015-12-31 20:45:00,100,8.7,410.0,496.5,88.5
2016-01-01 02:00:00,2015-12-31 21:00:00,100,8.8,421.0,504.6,96.1
2016-01-01 02:15:00,2015-12-31 21:15:00,100,8.5,400.0,521.2,120.2
2016-01-01 02:30:00,2015-12-31 21:30:00,100,8.4,405.0,495.9,102.3
2016-01-01 03:00:00,2015-12-31 22:00:00,100,8.1,345.0,427.6,90.6
2016-01-01 03:15:00,2015-12-31 22:15:00,100,8.0,335.0,405.8,79.3
2016-01-01 03:30:00,2015-12-31 22:30:00,100,7.7,325.0,414.1,82.2
2016-01-01 03:45:00,2015-12-31 22:45:00,100,7.1,346.0,380.6,48.5
2016-01-01 04:00:00,2015-12-31 23:00:00,100,7.3,356.0,405.2,64.5
2016-01-01 04:15:00,2015-12-31 23:15:00,100,6.9,371.0,428.1,103.4
2016-01-01 04:30:00,2015-12-31 23:30:00,100,6.3,320.0,376.2,66.9
2016-01-01 04:45:00,2015-12-31 23:45:00,100,6.5,315.0,391.3,65.4
2016-01-01 05:00:00,2016-01-01 00:00:00,100,5.9,335.0,361.4,44.6
2016-01-01 05:15:00,2016-01-01 00:15:00,100,5.9,340.0,389.6,67.5
2016-01-01 05:30:00,2016-01-01 00:30:00,100,5.6,340.0,405.2,104.5
2016-01-01 05:45:00,2016-01-01 00:45:00,100,5.1,340.0,378.7,80.5
2016-01-01 06:00:00,2016-01-01 01:00:00,100,4.9,370.0,379.4,87.1
2016-01-01 06:15:00,2016-01-01 01:15:00,100,4.8,361.0,404.1,86.9
2016-01-01 06:30:00,2016-01-01 01:30:00,100,4.3,469.0,465.8,71.9
2016-01-01 06:45:00,2016-01-01 01:45:00,100,4.0,466.0,480.5,91.0
2016-01-01 07:00:00,2016-01-01 02:00:00,100,3.8,505.0,481.2,94.8
2016-01-01 07:15:00,2016-01-01 02:15:00,100,2.5,420.0,446.0,121.1
2016-01-01 07:30:00,2016-01-01 02:30:00,100,3.2,491.0,461.5,95.0
2016-01-01 08:00:00,2016-01-01 03:00:00,100,2.9,422.5,424.5,107.9
2016-01-01 08:15:00,2016-01-01 03:15:00,100,2.9,460.0,453.6,137.9
2016-01-01 08:30:00,2016-01-01 03:30:00,100,2.7,460.0,425.5,107.1
2016-01-01 08:45:00,2016-01-01 03:45:00,100,2.8,475.0,462.9,153.2
2016-01-01 09:00:00,2016-01-01 04:00:00,100,2.6,375.0,361.5,86.0
2016-01-01 09:30:00,2016-01-01 04:30:00,100,3.5,340.0,386.0,114.2
2016-01-01 09:45:00,2016-01-01 04:45:00,100,3.1,309.0,328.0,63.4
2016-01-01 10:00:00,2016-01-01 05:00:00,100,3.3,306.0,373.6,111.1
2016-01-01 10:30:00,2016-01-01 05:30:00,70,4.4,320.0,368.8,86.2
2016-01-01 10:45:00,2016-01-01 05:45:00,100,5.5,281.0,341.5,84.7
2016-01-01 11:00:00,2016-01-01 06:00:00,100,5.7,261.0,355.7,174.5
2016-01-01 11:15:00,2016-01-01 06:15:00,100,5.85,161.0,334.0,164.0
2016-01-01 11:30:00,2016-01-01 06:30:00,100,6.55,246.0,345.4,206.2
2016-01-01 11:45:00,2016-01-01 06:45:00,100,7.05,235.0,330.1,178.5
2016-01-01 12:00:00,2016-01-01 07:00:00,100,7.55,232.0,304.7,121.2
2016-01-01 12:15:00,2016-01-01 07:15:00,100,8.65,223.0,321.5,122.3
2016-01-01 12:30:00,2016-01-01 07:30:00,100,8.95,221.0,306.7,109.1
2016-01-01 12:45:00,2016-01-01 07:45:00,100,9.7,220.0,312.6,113.2
2016-01-01 13:00:00,2016-01-01 08:00:00,70,10.3,225.0,340.2,147.9
2016-01-01 13:15:00,2016-01-01 08:15:00,100,10.3,217.0,306.9,93.6
2016-01-01 13:30:00,2016-01-01 08:30:00,70,10.75,267.5,329.1,130.1
2016-01-01 14:00:00,2016-01-01 09:00:00,100,10.55,210.0,316.2,116.3
2016-01-01 14:15:00,2016-01-01 09:15:00,100,10.4,246.0,316.2,101.2
2016-01-01 14:30:00,2016-01-01 09:30:00,100,10.65,270.0,336.7,113.7
2016-01-01 14:45:00,2016-01-01 09:45:00,100,10.8,246.0,344.0,120.5
2016-01-01 15:00:00,2016-01-01 10:00:00,70,10.9,297.0,342.4,109.3
2016-01-01 15:15:00,2016-01-01 10:15:00,70,10.8,320.0,325.2,93.0
2016-01-01 15:30:00,2016-01-01 10:30:00,70,10.6,336.0,317.6,98.8
2016-01-01 15:45:00,2016-01-01 10:45:00,70,10.4,340.0,324.5,96.2
2016-01-01 16:00:00,2016-01-01 11:00:00,70,10.6,342.0,316.4,107.4
2016-01-01 16:15:00,2016-01-01 11:15:00,70,10.5,336.0,329.3,94.5
2016-01-01 16:30:00,2016-01-01 11:30:00,70,10.5,336.0,318.3,98.2
2016-01-01 16:45:00,2016-01-01 11:45:00,70,10.6,327.0,316.3,107.0
2016-01-01 17:00:00,2016-01-01 12:00:00,70,10.6,322.0,310.2,109.2
2016-01-01 17:15:00,2016-01-01 12:15:00,70,10.5,326.0,307.0,101.1
2016-01-01 17:30:00,2016-01-01 12:30:00,100,10.6,300.0,321.8,80.6
2016-01-01 17:45:00,2016-01-01 12:45:00,70,10.5,342.0,297.6,92.0
2016-01-01 18:00:00,2016-01-01 13:00:00,70,10.8,335.0,305.4,96.7
2016-01-01 18:15:00,2016-01-01 13:15:00,70,11.2,322.0,315.2,96.8
2016-01-01 18:30:00,2016-01-01 13:30:00,70,11.3,327.0,319.4,101.6
2016-01-01 18:45:00,2016-01-01 13:45:00,70,11.3,322.0,332.4,95.3
2016-01-01 19:00:00,2016-01-01 14:00:00,100,11.65,196.0,330.4,113.0
2016-01-01 19:15:00,2016-01-01 14:15:00,70,11.6,335.0,334.3,87.6
2016-01-01 19:30:00,2016-01-01 14:30:00,70,11.8,295.0,335.2,88.7
2016-01-01 19:45:00,2016-01-01 14:45:00,100,11.8,312.5,330.3,91.6
2016-01-01 20:00:00,2016-01-01 15:00:00,70,11.6,317.0,335.6,94.2
2016-01-01 20:15:00,2016-01-01 15:15:00,100,11.6,238.0,340.7,88.2
2016-01-01 20:30:00,2016-01-01 15:30:00,100,11.55,240.0,337.7,119.6
2016-01-01 20:45:00,2016-01-01 15:45:00,100,11.5,227.0,346.3,86.4
2016-01-01 21:00:00,2016-01-01 16:00:00,100,11.4,225.0,345.6,83.7
2016-01-01 21:15:00,2016-01-01 16:15:00,100,11.5,230.0,352.2,88.2
2016-01-01 21:30:00,2016-01-01 16:30:00,100,11.6,245.0,356.5,97.4
2016-01-01 21:45:00,2016-01-01 16:45:00,70,11.6,243.0,356.9,104.1
2016-01-01 22:00:00,2016-01-01 17:00:00,100,11.9,243.0,377.3,99.4
2016-01-01 22:15:00,2016-01-01 17:15:00,100,11.85,227.0,382.6,118.8
2016-01-01 22:30:00,2016-01-01 17:30:00,100,11.7,243.0,393.1,133.5
2016-01-01 22:45:00,2016-01-01 17:45:00,100,9.85,230.0,372.3,157.2
2016-01-01 23:00:00,2016-01-01 18:00:00,100,9.75,247.0,396.1,163.7
2016-01-01 23:15:00,2016-01-01 18:15:00,100,9.4,246.0,410.7,169.0
2016-01-01 23:30:00,2016-01-01 18:30:00,100,9.3,257.0,438.5,187.6
2016-01-01 23:45:00,2016-01-01 18:45:00,100,8.4,262.0,423.3,192.0
2016-01-02 00:00:00,2016-01-01 19:00:00,100,8.2,277.0,424.9,178.5
2016-01-02 00:15:00,2016-01-01 19:15:00,100,7.9,284.0,417.8,148.4
2016-01-02 00:30:00,2016-01-01 19:30:00,100,7.9,298.0,441.1,148.6
2016-01-02 00:45:00,2016-01-01 19:45:00,100,7.5,347.0,460.7,124.7
2016-01-02 01:00:00,2016-01-01 20:00:00,100,5.9,327.5,417.7,116.7
2016-01-02 01:15:00,2016-01-01 20:15:00,100,7.2,325.0,422.9,96.9
2016-01-02 01:30:00,2016-01-01 20:30:00,100,8.6,305.0,498.6,190.8
2016-01-02 01:45:00,2016-01-01 20:45:00,100,8.1,280.0,447.9,180.7
2016-01-02 02:00:00,2016-01-01 21:00:00,100,5.0,302.0,375.5,72.5
2016-01-02 02:15:00,2016-01-01 21:15:00,100,8.4,245.0,374.8,147.2
2016-01-02 02:30:00,2016-01-01 21:30:00,100,8.0,255.0,382.8,111.1
2016-01-02 02:45:00,2016-01-01 21:45:00,100,8.2,275.0,356.2,55.2
2016-01-02 03:00:00,2016-01-01 22:00:00,100,8.1,331.0,384.8,57.2
2016-01-02 03:15:00,2016-01-01 22:15:00,100,7.9,325.0,382.2,66.1
2016-01-02 03:30:00,2016-01-01 22:30:00,100,7.7,335.0,405.3,78.5
2016-01-02 03:45:00,2016-01-01 22:45:00,100,7.2,330.0,381.8,67.8
2016-01-02 04:00:00,2016-01-01 23:00:00,100,7.3,305.0,377.9,67.2
2016-01-02 04:15:00,2016-01-01 23:15:00,100,7.0,295.0,359.5,65.6
