Time_UTC,Time_Local_Peru,FECHA,YEAR,DOY,Hour,BY_GSE_nT,BZ_GSE_nT,SW_Plasma_Speed_kms,Flow_Pressure_nPa,E_Electric_Field_mVm,Kp_Index,Dst_Index_nT,F10.7_Index
2016-01-01 00:00:00,2015-12-31 19:00:00,2015-12-31,2016,1,0,-1.5,-14.1,463.0,0.88,6.48,60,-116,95.1
2016-01-01 01:00:00,2015-12-31 20:00:00,2015-12-31,2016,1,1,-2.2,-13.2,451.0,0.33,6.04,60,-114,95.1
2016-01-01 02:00:00,2015-12-31 21:00:00,2015-12-31,2016,1,2,-1.8,-13.0,450.0,0.45,5.89,60,-102,95.1
2016-01-01 03:00:00,2015-12-31 22:00:00,2015-12-31,2016,1,3,0.7,-13.1,434.0,0.64,5.6,53,-98,95.1
2016-01-01 04:00:00,2015-12-31 23:00:00,2015-12-31,2016,1,4,0.3,-12.7,430.0,0.33,5.42,53,-96,95.1
2016-01-01 05:00:00,2016-01-01 00:00:00,2016-01-01,2016,1,5,-2.8,-11.0,436.0,0.65,4.84,53,-94,95.1
2016-01-01 06:00:00,2016-01-01 01:00:00,2016-01-01,2016,1,6,-8.5,-3.4,444.0,1.22,1.51,50,-92,95.1
2016-01-01 07:00:00,2016-01-01 02:00:00,2016-01-01,2016,1,7,-5.1,-8.9,436.0,0.51,3.79,50,-83,95.1
2016-01-01 08:00:00,2016-01-01 03:00:00,2016-01-01,2016,1,8,-4.7,-7.9,430.0,0.63,3.23,50,-80,95.1
2016-01-01 09:00:00,2016-01-01 04:00:00,2016-01-01,2016,1,9,-6.7,-3.2,452.0,0.48,1.13,33,-75,95.1
2016-01-01 10:00:00,2016-01-01 05:00:00,2016-01-01,2016,1,10,-7.9,0.8,435.0,0.34,-0.7,33,-73,95.1
2016-01-01 11:00:00,2016-01-01 06:00:00,2016-01-01,2016,1,11,-7.0,4.7,426.0,0.39,-2.3,33,-65,95.1
2016-01-01 12:00:00,2016-01-01 07:00:00,2016-01-01,2016,1,12,-6.1,5.7,411.0,0.56,-2.55,17,-57,95.1
2016-01-01 13:00:00,2016-01-01 08:00:00,2016-01-01,2016,1,13,-7.3,-0.8,414.0,0.42,0.17,17,-57,95.1
2016-01-01 14:00:00,2016-01-01 09:00:00,2016-01-01,2016,1,14,-6.1,-0.7,408.0,0.34,0.24,17,-55,95.1
2016-01-01 15:00:00,2016-01-01 10:00:00,2016-01-01,2016,1,15,-5.5,-1.0,418.0,0.52,0.46,10,-52,95.1
2016-01-01 16:00:00,2016-01-01 11:00:00,2016-01-01,2016,1,16,-5.6,1.0,422.0,0.6,-0.3,10,-48,95.1
2016-01-01 17:00:00,2016-01-01 12:00:00,2016-01-01,2016,1,17,-6.1,-0.4,414.0,0.56,0.46,10,-45,95.1
2016-01-01 18:00:00,2016-01-01 13:00:00,2016-01-01,2016,1,18,-5.6,0.1,409.0,0.52,0.29,20,-44,95.1
2016-01-01 19:00:00,2016-01-01 14:00:00,2016-01-01,2016,1,19,-4.7,-0.2,423.0,1.1,0.47,20,-43,95.1
2016-01-01 20:00:00,2016-01-01 15:00:00,2016-01-01,2016,1,20,-2.9,-0.0,429.0,2.38,0.26,20,-39,95.1
2016-01-01 21:00:00,2016-01-01 16:00:00,2016-01-01,2016,1,21,0.2,0.1,445.0,3.21,-0.04,17,-34,95.1
2016-01-01 22:00:00,2016-01-01 17:00:00,2016-01-01,2016,1,22,-2.9,1.6,435.0,2.39,-0.35,17,-35,95.1
2016-01-01 23:00:00,2016-01-01 18:00:00,2016-01-01,2016,1,23,-6.5,2.1,438.0,1.23,-0.13,17,-39,95.1
2016-01-02 00:00:00,2016-01-01 19:00:00,2016-01-01,2016,2,0,-5.3,2.0,435.0,2.07,-0.26,30,-35,96.6
2016-01-02 01:00:00,2016-01-01 20:00:00,2016-01-01,2016,2,1,-1.3,0.1,446.0,4.26,0.09,30,-29,96.6
2016-01-02 02:00:00,2016-01-01 21:00:00,2016-01-01,2016,2,2,-7.6,-1.1,439.0,0.68,1.14,30,-40,96.6
2016-01-02 03:00:00,2016-01-01 22:00:00,2016-01-01,2016,2,3,-8.0,1.4,443.0,0.63,-0.04,23,-39,96.6
2016-01-02 04:00:00,2016-01-01 23:00:00,2016-01-01,2016,2,4,-2.2,0.5,414.0,0.87,-0.12,23,-36,96.6
2016-01-02 05:00:00,2016-01-02 00:00:00,2016-01-02,2016,2,5,-4.1,-1.3,430.0,1.49,0.65,23,-32,96.6
2016-01-02 06:00:00,2016-01-02 01:00:00,2016-01-02,2016,2,6,-5.4,-1.8,456.0,3.02,0.82,30,-24,96.6
2016-01-02 07:00:00,2016-01-02 02:00:00,2016-01-02,2016,2,7,-4.6,0.2,462.0,3.05,-0.18,30,-26,96.6
2016-01-02 08:00:00,2016-01-02 03:00:00,2016-01-02,2016,2,8,-4.2,-1.7,467.0,3.47,0.65,30,-23,96.6
2016-01-02 09:00:00,2016-01-02 04:00:00,2016-01-02,2016,2,9,-3.6,-2.5,469.0,4.05,1.03,23,-23,96.6
2016-01-02 10:00:00,2016-01-02 05:00:00,2016-01-02,2016,2,10,-3.5,-0.2,473.0,4.7,-0.05,23,-21,96.6
2016-01-02 11:00:00,2016-01-02 06:00:00,2016-01-02,2016,2,11,0.3,0.9,488.0,3.84,-0.44,23,-17,96.6
2016-01-02 12:00:00,2016-01-02 07:00:00,2016-01-02,2016,2,12,-3.9,0.7,490.0,3.43,-0.49,23,-17,96.6
2016-01-02 13:00:00,2016-01-02 08:00:00,2016-01-02,2016,2,13,0.8,-0.9,482.0,3.18,0.43,23,-21,96.6
2016-01-02 14:00:00,2016-01-02 09:00:00,2016-01-02,2016,2,14,-1.5,2.1,477.0,3.19,-1.0,23,-23,96.6
2016-01-02 15:00:00,2016-01-02 10:00:00,2016-01-02,2016,2,15,2.0,-2.9,476.0,2.76,1.33,17,-26,96.6
2016-01-02 16:00:00,2016-01-02 11:00:00,2016-01-02,2016,2,16,-0.2,-0.4,473.0,2.66,0.19,17,-30,96.6
2016-01-02 17:00:00,2016-01-02 12:00:00,2016-01-02,2016,2,17,-0.1,0.9,468.0,2.43,-0.42,17,-29,96.6
2016-01-02 18:00:00,2016-01-02 13:00:00,2016-01-02,2016,2,18,2.8,0.5,466.0,2.56,-0.42,17,-24,96.6
2016-01-02 19:00:00,2016-01-02 14:00:00,2016-01-02,2016,2,19,1.5,0.4,460.0,2.42,-0.32,17,-24,96.6
2016-01-02 20:00:00,2016-01-02 15:00:00,2016-01-02,2016,2,20,1.6,0.6,459.0,2.46,-0.46,17,-25,96.6
2016-01-02 21:00:00,2016-01-02 16:00:00,2016-01-02,2016,2,21,0.2,2.0,456.0,2.63,-0.91,13,-21,96.6
2016-01-02 22:00:00,2016-01-02 17:00:00,2016-01-02,2016,2,22,1.2,0.8,447.0,2.5,-0.49,13,-17,96.6
2016-01-02 23:00:00,2016-01-02 18:00:00,2016-01-02,2016,2,23,1.3,-0.2,445.0,2.43,-0.09,13,-18,96.6
2016-01-03 00:00:00,2016-01-02 19:00:00,2016-01-02,2016,3,0,1.3,-0.3,441.0,2.45,-0.0,3,-21,98.5
2016-01-03 01:00:00,2016-01-02 20:00:00,2016-01-02,2016,3,1,2.9,2.0,448.0,2.48,-1.16,3,-18,98.5
2016-01-03 02:00:00,2016-01-02 21:00:00,2016-01-02,2016,3,2,3.6,0.7,434.0,2.6,-0.61,3,-19,98.5
2016-01-03 03:00:00,2016-01-02 22:00:00,2016-01-02,2016,3,3,2.4,1.9,427.0,2.32,-0.98,17,-18,98.5
2016-01-03 04:00:00,2016-01-02 23:00:00,2016-01-02,2016,3,4,2.8,1.6,444.0,2.04,-0.84,17,-18,98.5
2016-01-03 05:00:00,2016-01-03 00:00:00,2016-01-03,2016,3,5,3.3,-0.0,463.0,2.37,-0.09,17,-21,98.5
2016-01-03 06:00:00,2016-01-03 01:00:00,2016-01-03,2016,3,6,3.9,-1.2,466.0,2.19,0.56,20,-23,98.5
2016-01-03 07:00:00,2016-01-03 02:00:00,2016-01-03,2016,3,7,3.6,-1.4,449.0,1.95,0.67,20,-22,98.5
2016-01-03 08:00:00,2016-01-03 03:00:00,2016-01-03,2016,3,8,0.7,0.5,450.0,1.66,-0.23,20,-21,98.5
2016-01-03 09:00:00,2016-01-03 04:00:00,2016-01-03,2016,3,9,0.5,-0.5,447.0,1.55,0.22,7,-18,98.5
2016-01-03 10:00:00,2016-01-03 05:00:00,2016-01-03,2016,3,10,2.2,0.4,443.0,1.47,-0.09,7,-17,98.5
2016-01-03 11:00:00,2016-01-03 06:00:00,2016-01-03,2016,3,11,3.3,-1.0,451.0,1.63,0.59,7,-15,98.5
2016-01-03 12:00:00,2016-01-03 07:00:00,2016-01-03,2016,3,12,2.1,0.7,455.0,1.62,-0.27,13,-16,98.5
2016-01-03 13:00:00,2016-01-03 08:00:00,2016-01-03,2016,3,13,1.5,1.2,462.0,1.87,-0.51,13,-17,98.5
2016-01-03 14:00:00,2016-01-03 09:00:00,2016-01-03,2016,3,14,2.6,-1.1,471.0,2.28,0.52,13,-14,98.5
2016-01-03 15:00:00,2016-01-03 10:00:00,2016-01-03,2016,3,15,3.9,-0.7,486.0,2.71,0.29,23,-14,98.5
2016-01-03 16:00:00,2016-01-03 11:00:00,2016-01-03,2016,3,16,3.0,-0.7,468.0,2.72,0.23,23,-13,98.5
2016-01-03 17:00:00,2016-01-03 12:00:00,2016-01-03,2016,3,17,2.6,-0.4,466.0,2.51,0.05,23,-15,98.5
2016-01-03 18:00:00,2016-01-03 13:00:00,2016-01-03,2016,3,18,3.4,-0.8,479.0,2.39,0.1,17,-12,98.5
2016-01-03 19:00:00,2016-01-03 14:00:00,2016-01-03,2016,3,19,3.0,-1.6,480.0,2.23,0.48,17,-16,98.5
2016-01-03 20:00:00,2016-01-03 15:00:00,2016-01-03,2016,3,20,2.0,-2.2,484.0,2.15,0.82,17,-20,98.5
2016-01-03 21:00:00,2016-01-03 16:00:00,2016-01-03,2016,3,21,1.9,-1.1,467.0,2.0,0.28,27,-21,98.5
2016-01-03 22:00:00,2016-01-03 17:00:00,2016-01-03,2016,3,22,1.3,0.4,423.0,0.9,-0.3,27,-20,98.5
2016-01-03 23:00:00,2016-01-03 18:00:00,2016-01-03,2016,3,23,1.8,0.8,418.0,0.8,-0.54,27,-25,98.5
2016-01-04 00:00:00,2016-01-03 19:00:00,2016-01-03,2016,4,0,1.9,-0.2,413.0,0.77,-0.12,3,-25,92.2
2016-01-04 01:00:00,2016-01-03 20:00:00,2016-01-03,2016,4,1,2.0,-1.4,422.0,1.06,0.38,3,-26,92.2
2016-01-04 02:00:00,2016-01-03 21:00:00,2016-01-03,2016,4,2,1.0,-0.4,419.0,1.09,0.08,3,-27,92.2
2016-01-04 03:00:00,2016-01-03 22:00:00,2016-01-03,2016,4,3,1.6,-0.4,419.0,1.02,0.04,17,-27,92.2
2016-01-04 04:00:00,2016-01-03 23:00:00,2016-01-03,2016,4,4,2.4,-0.2,427.0,1.17,-0.04,17,-24,92.2
2016-01-04 05:00:00,2016-01-04 00:00:00,2016-01-04,2016,4,5,2.9,-0.5,431.0,1.39,0.13,17,-21,92.2
2016-01-04 06:00:00,2016-01-04 01:00:00,2016-01-04,2016,4,6,1.2,-2.6,447.0,2.07,1.16,17,-18,92.2
2016-01-04 07:00:00,2016-01-04 02:00:00,2016-01-04,2016,4,7,2.3,0.5,445.0,2.31,-0.18,17,-18,92.2
2016-01-04 08:00:00,2016-01-04 03:00:00,2016-01-04,2016,4,8,2.5,1.1,448.0,2.17,-0.45,17,-14,92.2
2016-01-04 09:00:00,2016-01-04 04:00:00,2016-01-04,2016,4,9,1.9,1.3,443.0,2.12,-0.53,7,-9,92.2
2016-01-04 10:00:00,2016-01-04 05:00:00,2016-01-04,2016,4,10,-0.6,1.8,445.0,2.12,-0.8,7,-7,92.2
2016-01-04 11:00:00,2016-01-04 06:00:00,2016-01-04,2016,4,11,0.6,3.4,449.0,2.32,-1.48,7,-7,92.2
2016-01-04 12:00:00,2016-01-04 07:00:00,2016-01-04,2016,4,12,2.4,0.2,433.0,2.28,-0.04,7,-9,92.2
2016-01-04 13:00:00,2016-01-04 08:00:00,2016-01-04,2016,4,13,-1.9,2.4,446.0,2.28,-1.11,7,-11,92.2
2016-01-04 14:00:00,2016-01-04 09:00:00,2016-01-04,2016,4,14,-2.5,3.0,445.0,1.87,-1.33,7,-13,92.2
2016-01-04 15:00:00,2016-01-04 10:00:00,2016-01-04,2016,4,15,-2.6,2.2,428.0,1.74,-0.9,20,-10,92.2
2016-01-04 16:00:00,2016-01-04 11:00:00,2016-01-04,2016,4,16,-1.7,-0.2,424.0,2.01,0.13,20,-9,92.2
2016-01-04 17:00:00,2016-01-04 12:00:00,2016-01-04,2016,4,17,-1.8,0.4,421.0,2.13,-0.08,20,-8,92.2
2016-01-04 18:00:00,2016-01-04 13:00:00,2016-01-04,2016,4,18,1.3,0.3,412.0,2.04,-0.21,17,-5,92.2
2016-01-04 19:00:00,2016-01-04 14:00:00,2016-01-04,2016,4,19,-1.9,-0.6,416.0,2.16,0.42,17,-6,92.2
2016-01-04 20:00:00,2016-01-04 15:00:00,2016-01-04,2016,4,20,-1.6,-0.5,413.0,1.98,0.37,17,-11,92.2
2016-01-04 21:00:00,2016-01-04 16:00:00,2016-01-04,2016,4,21,0.7,0.7,409.0,1.8,-0.37,7,-11,92.2
2016-01-04 22:00:00,2016-01-04 17:00:00,2016-01-04,2016,4,22,0.9,0.8,404.0,1.81,-0.4,7,-12,92.2
2016-01-04 23:00:00,2016-01-04 18:00:00,2016-01-04,2016,4,23,1.8,1.2,400.0,1.84,-0.68,7,-11,92.2
2016-01-05 00:00:00,2016-01-04 19:00:00,2016-01-04,2016,5,0,2.4,0.4,401.0,2.04,-0.4,3,-9,92.1
2016-01-05 01:00:00,2016-01-04 20:00:00,2016-01-04,2016,5,1,2.8,0.5,404.0,2.56,-0.48,3,-7,92.1
2016-01-05 02:00:00,2016-01-04 21:00:00,2016-01-04,2016,5,2,2.7,3.2,413.0,2.62,-1.53,3,-6,92.1
2016-01-05 03:00:00,2016-01-04 22:00:00,2016-01-04,2016,5,3,4.1,1.0,437.0,3.32,-0.74,10,-5,92.1
2016-01-05 04:00:00,2016-01-04 23:00:00,2016-01-04,2016,5,4,6.1,2.0,417.0,2.99,-1.17,10,-7,92.1
2016-01-05 05:00:00,2016-01-05 00:00:00,2016-01-05,2016,5,5,5.9,1.2,408.0,4.48,-0.65,10,-4,92.1
2016-01-05 06:00:00,2016-01-05 01:00:00,2016-01-05,2016,5,6,5.3,3.0,399.0,4.4,-1.24,10,-6,92.1
2016-01-05 07:00:00,2016-01-05 02:00:00,2016-01-05,2016,5,7,3.2,5.2,392.0,3.96,-2.04,10,-3,92.1
2016-01-05 08:00:00,2016-01-05 03:00:00,2016-01-05,2016,5,8,5.0,-0.0,385.0,4.92,0.08,10,4,92.1
2016-01-05 09:00:00,2016-01-05 04:00:00,2016-01-05,2016,5,9,5.5,0.3,387.0,5.0,0.04,17,2,92.1
2016-01-05 10:00:00,2016-01-05 05:00:00,2016-01-05,2016,5,10,5.6,6.0,381.0,3.88,-2.13,17,0,92.1
2016-01-05 11:00:00,2016-01-05 06:00:00,2016-01-05,2016,5,11,4.9,7.4,408.0,2.89,-2.86,17,0,92.1
2016-01-05 12:00:00,2016-01-05 07:00:00,2016-01-05,2016,5,12,2.0,9.4,416.0,2.83,-3.87,10,0,92.1
2016-01-05 13:00:00,2016-01-05 08:00:00,2016-01-05,2016,5,13,0.8,9.5,424.0,2.94,-4.03,10,4,92.1
2016-01-05 14:00:00,2016-01-05 09:00:00,2016-01-05,2016,5,14,-1.7,7.2,472.0,4.53,-3.4,10,6,92.1
2016-01-05 15:00:00,2016-01-05 10:00:00,2016-01-05,2016,5,15,-2.0,8.3,476.0,4.33,-3.9,20,7,92.1
2016-01-05 16:00:00,2016-01-05 11:00:00,2016-01-05,2016,5,16,-2.2,10.2,466.0,4.7,-4.66,20,9,92.1
2016-01-05 17:00:00,2016-01-05 12:00:00,2016-01-05,2016,5,17,7.2,1.1,453.0,3.31,-0.95,20,4,92.1
2016-01-05 18:00:00,2016-01-05 13:00:00,2016-01-05,2016,5,18,11.6,0.7,469.0,1.99,-1.31,23,-3,92.1
2016-01-05 19:00:00,2016-01-05 14:00:00,2016-01-05,2016,5,19,11.4,2.6,472.0,2.19,-2.36,23,-5,92.1
2016-01-05 20:00:00,2016-01-05 15:00:00,2016-01-05,2016,5,20,9.9,5.3,466.0,3.35,-3.54,23,-1,92.1
2016-01-05 21:00:00,2016-01-05 16:00:00,2016-01-05,2016,5,21,9.5,6.5,470.0,3.54,-4.18,20,4,92.1
2016-01-05 22:00:00,2016-01-05 17:00:00,2016-01-05,2016,5,22,10.7,6.0,482.0,3.42,-4.24,20,6,92.1
