FECHA,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18
2016-02-29,-1.2,-1.2,,-0.28,-0.28,,313.0,,,-1.0,-1,3.98,3.98,3.7,,,,95.1,1,0
2016-03-01,-2.475,-5.4,0.6300000000000001,-0.28500000000000003,1.67,-0.368,376.75,2.362907813126304,-0.3,-2.0,-9,2.6125,2.99,5.475,18.5,27.0,111.0,95.1,4,6
2016-03-02,-0.44999999999999996,-2.3,-1.06,-0.7625000000000001,0.05,0.4290000000000001,446.0,5.228129047119374,3.8,1.75,1,1.7049999999999998,1.8,4.0,6.5,10.0,39.0,96.5,4,6
2016-03-03,-2.225,-3.4,-1.17,0.5449999999999999,1.11,0.544,418.0,7.52772652709081,-5.8,-2.75,-4,1.1125,1.3,1.075,8.0,13.0,48.0,97.1,4,6
2016-03-04,1.4500000000000002,0.2,-0.74,-1.05,-0.3,0.38199999999999995,356.5,18.138357147217054,-13.8,-0.25,-1,1.1324999999999998,1.22,3.1000000000000005,3.0,3.0,18.0,98.9,4,6
2016-03-05,3.9750000000000005,3.1,0.7699999999999999,-1.8399999999999999,-1.66,-0.15399999999999997,362.0,1.8257418583505538,1.2,5.25,2,3.16,3.67,3.225,1.5,3.0,9.0,94.7,4,6
2016-03-06,0.5,-3.4,2.1599999999999997,2.3024999999999998,4.13,-1.4749999999999999,509.5,26.6520793435209,20.6,-91.5,-99,8.615,8.97,-9.55,61.5,63.0,369.0,94.1,4,6
2016-03-07,-1.5250000000000001,-1.7,-0.12999999999999998,1.7925,2.12,-0.20900000000000007,511.75,13.32603967176045,-9.7,-48.5,-50,2.555,3.0,-4.1000000000000005,42.0,47.0,252.0,92.8,4,6
2016-03-08,0.725,-0.0,0.29000000000000004,0.22500000000000003,0.39,0.0020000000000000018,427.0,5.291502622129181,-2.0,-25.75,-27,1.47,1.83,-2.125,15.0,23.0,90.0,94.2,4,6
2016-03-09,-1.3,-2.0,0.5599999999999999,0.965,1.2,-0.18399999999999997,356.25,6.601767440112787,-5.1,-32.0,-34,1.1324999999999998,1.21,-3.0,15.0,17.0,90.0,96.0,4,6
2016-03-10,-0.75,-2.7,-1.0200000000000002,0.925,1.35,0.288,324.25,3.2015621187164243,-0.3,-16.75,-20,2.845,2.92,-4.075,20.0,23.0,120.0,93.7,4,6
2016-03-11,-1.7,-4.7,-1.6199999999999999,-0.5425,0.94,0.881,557.5,8.54400374531753,-3.0,-13.5,-15,3.1174999999999997,3.61,4.45,30.0,33.0,180.0,93.0,4,6
2016-03-12,0.775,-0.1,0.51,-0.7825,-0.38,-0.203,468.25,6.601767440112787,-5.1,-16.0,-18,2.1875,2.36,1.95,20.0,33.0,120.0,93.9,4,6
2016-03-13,-1.25,-2.1,-0.26,-0.1525,0.04,0.07099999999999998,411.0,5.477225575051661,-2.8,-7.5,-10,1.75,1.82,2.625,3.5,7.0,21.0,91.5,4,6
2016-03-14,2.225,-0.0,-1.5900000000000003,0.725,1.07,-0.166,537.75,20.710303393882636,11.9,-16.5,-29,7.165,8.78,-5.9750000000000005,41.5,50.0,249.0,92.4,4,6
2016-03-15,-1.8250000000000002,-4.2,-0.10999999999999995,1.9100000000000001,2.31,0.14400000000000007,455.0,16.268579122549905,-11.0,-38.75,-46,1.8849999999999998,2.14,-4.975,43.0,53.0,258.0,93.1,4,6
2016-03-16,-2.8,-4.1,-0.9,2.205,2.9,0.049999999999999975,544.0,6.683312551921141,4.8,-50.5,-56,2.185,2.2,-3.15,38.5,47.0,231.0,90.1,4,6
2016-03-17,0.07499999999999998,-0.4,-0.45,0.1525,0.33,0.14900000000000002,483.75,9.810708435174291,-6.9,-28.0,-29,1.1300000000000001,1.19,-0.675,28.5,30.0,171.0,90.7,4,6
2016-03-18,-0.14999999999999997,-0.7,-0.48,1.185,1.57,-0.01399999999999999,405.5,8.698658900466592,-6.2,-26.5,-28,1.2525,1.42,-5.175,21.5,23.0,129.0,89.5,4,6
2016-03-19,2.8000000000000003,1.8,-0.6599999999999999,-0.9875,-0.12,0.403,428.25,16.028620235898867,-7.3,-22.5,-24,1.5724999999999998,1.78,-0.17499999999999988,16.5,23.0,99.0,88.6,4,6
2016-03-20,2.25,1.1,0.78,0.3525,0.75,-0.307,400.0,9.41629792788369,6.6,-37.75,-42,1.1125,1.13,-5.15,27.0,37.0,162.0,86.9,4,6
2016-03-21,-0.10000000000000002,-0.9,-0.16,-0.21,0.27,-0.136,386.0,5.354126134736337,-3.8,-10.25,-13,1.7275,2.25,1.125,16.5,23.0,99.0,88.2,4,6
2016-03-22,0.8500000000000001,-0.3,-0.059999999999999984,-1.3924999999999998,-1.12,0.05899999999999996,403.75,4.112987559751022,-3.1,-4.5,-7,1.5125000000000002,1.99,5.15,10.0,17.0,60.0,86.7,4,6
2016-03-23,-1.7999999999999998,-2.7,-0.13999999999999999,0.15,0.61,0.23000000000000004,460.0,7.3484692283495345,-3.6,-8.25,-12,2.1275,2.28,2.15,20.0,27.0,120.0,86.2,4,6
2016-03-24,0.5,-1.8,-1.6999999999999997,-0.25749999999999995,0.81,1.009,526.75,9.97914491994847,7.7,-4.75,-12,2.235,2.79,0.25000000000000006,10.0,13.0,60.0,86.0,4,6
2016-03-25,0.275,-0.0,0.049999999999999996,-0.41000000000000003,-0.17,-0.098,431.25,6.18465843842649,-4.5,-3.0,-3,1.1075000000000002,1.17,1.375,1.5,3.0,9.0,85.1,4,6
2016-03-26,-0.75,-2.6,-0.56,-1.0550000000000002,-0.87,-0.05399999999999999,371.0,6.0553007081949835,3.8,13.75,12,3.92,4.84,6.525,7.0,7.0,42.0,85.1,4,6
2016-03-27,0.8250000000000001,-1.4,0.97,-2.0225,-1.25,-0.309,413.5,3.696845502136472,0.8,-0.5,-3,3.18,3.5,7.824999999999999,21.5,23.0,129.0,87.9,4,6
2016-03-28,0.5000000000000001,-1.4,-0.76,-1.3725,-0.15,0.577,503.5,3.3166247903554,1.2,-2.5,-5,3.2750000000000004,3.73,4.325,27.0,27.0,162.0,87.4,4,6
2016-03-29,-0.5750000000000001,-1.1,0.13000000000000006,-0.185,0.1,-0.03000000000000001,525.0,5.597618541248888,4.2,-11.25,-13,1.3900000000000001,1.56,1.5499999999999998,13.0,13.0,78.0,87.5,4,6
2016-03-30,-0.8500000000000001,-1.6,-0.62,-0.15749999999999997,0.2,0.309,510.75,5.737304826019502,-4.1,-10.0,-13,1.5425,1.72,1.9500000000000002,26.5,33.0,159.0,83.6,4,6
2016-03-31,-0.17500000000000002,-1.3,0.15,-0.07250000000000001,0.41,-0.09700000000000002,411.25,8.460693430998036,4.3,-7.75,-9,1.0050000000000001,1.03,0.6000000000000001,6.5,10.0,39.0,81.6,4,6
2016-04-01,-1.375,-3.3,-1.27,-0.1825,0.26,0.28500000000000003,365.0,1.4142135623730951,0.8,6.0,5,2.0825,2.34,3.125,8.5,10.0,51.0,82.0,4,6
2016-04-02,-3.7249999999999996,-5.9,1.85,2.5875,3.28,-0.5149999999999999,487.5,17.935068069752806,-8.0,-52.75,-59,3.1824999999999997,3.95,-3.975,46.5,50.0,279.0,81.5,4,6
2016-04-03,2.6,1.3,0.38000000000000006,0.4425,1.07,0.019000000000000027,404.25,7.274384280931732,5.5,-29.5,-36,1.58,1.88,-6.199999999999999,27.0,37.0,162.0,82.3,4,6
2016-04-04,1.5999999999999999,0.6,-0.78,0.405,0.85,0.31,385.0,1.632993161855452,0.4,-16.75,-20,1.055,1.13,-4.55,6.5,10.0,39.0,83.5,4,6
2016-04-05,2.475,0.4,1.15,0.1275,0.64,-0.359,385.5,9.46924847422786,7.2,-12.5,-16,1.46,1.63,-4.625,20.0,27.0,120.0,83.5,4,6
2016-04-06,-0.625,-0.8,0.030000000000000006,0.7675,0.91,-0.08700000000000002,366.5,5.972157622389639,3.4,-21.0,-23,1.3525,1.82,-2.95,8.5,10.0,51.0,87.2,4,6
2016-04-07,-9.175,-10.6,1.0099999999999998,2.7300000000000004,3.6,-0.664,361.5,2.0816659994661326,-0.8,-60.5,-62,3.41,4.2,0.5,52.0,57.0,312.0,92.5,4,6
2016-04-08,1.7000000000000002,1.2,-0.30000000000000004,-1.175,-1.02,0.042000000000000016,342.75,4.193248541803041,-2.7,-20.75,-22,1.9375,2.12,3.8,5.0,7.0,30.0,98.6,4,6
2016-04-09,-0.975,-1.5,0.15,-0.15250000000000002,-0.03,0.06499999999999999,336.25,2.0615528128088303,0.1,-2.75,-4,1.8125,1.91,2.425,3.0,3.0,18.0,105.9,4,6
2016-04-10,3.4250000000000003,-0.6,1.25,-1.235,1.23,-0.8979999999999999,387.75,9.429563439877091,-7.1,-8.25,-12,1.8250000000000002,1.96,0.625,15.0,23.0,90.0,111.1,4,6
2016-04-11,-1.75,-5.8,1.9,-0.4,0.66,-0.16599999999999998,360.25,5.909032633745278,-3.1,-1.75,-5,2.935,3.28,4.95,13.5,17.0,81.0,117.2,4,6
2016-04-12,-1.4249999999999998,-3.3,-0.79,3.3349999999999995,3.88,0.35799999999999993,476.75,14.568802284333465,9.9,-36.25,-47,3.6425,4.0,-11.174999999999999,45.0,50.0,270.0,111.9,4,6
2016-04-13,-2.6500000000000004,-3.5,-0.2199999999999999,1.605,1.72,0.08399999999999999,502.25,3.774917217635375,1.3,-32.75,-35,1.1925,1.32,-1.8,30.0,33.0,180.0,108.8,4,6
2016-04-14,-2.9,-3.8,0.45999999999999996,1.475,1.65,-0.15000000000000002,403.5,4.358898943540674,-3.2,-46.75,-52,1.9450000000000003,2.2,-2.275,33.0,33.0,198.0,111.8,4,6
2016-04-15,-0.3500000000000002,-3.5,2.12,-1.0150000000000001,-0.22,-0.504,370.25,4.112987559751022,-0.7,-5.5,-6,2.2275,2.79,6.0,15.0,17.0,90.0,113.2,4,6
2016-04-16,-3.4499999999999997,-5.3,0.82,0.24000000000000005,0.96,-0.28800000000000003,407.75,5.439056290693573,3.3,-49.25,-58,2.5075000000000003,2.83,4.65,37.0,37.0,222.0,114.0,4,6
2016-04-17,9.95,9.5,-0.36,-2.16,-1.99,0.15000000000000002,396.5,1.2909944487358056,0.2,-5.25,-15,7.8025,8.46,-6.199999999999999,33.5,40.0,201.0,102.9,4,6
2016-04-18,0.49999999999999994,-0.9,-0.8399999999999999,-0.67,-0.23,0.06600000000000003,381.0,5.477225575051661,1.2,-11.0,-13,0.9500000000000001,1.04,2.6500000000000004,8.5,10.0,51.0,95.4,4,6
2016-04-19,-0.050000000000000044,-1.1,-0.9400000000000001,-0.91,-0.64,0.22000000000000003,357.0,3.559026084010437,0.2,0.5,-2,1.1875,1.38,5.199999999999999,1.5,3.0,9.0,89.9,4,6
2016-04-20,-2.275,-3.1,-0.21000000000000002,-0.1925,0.04,-0.037000000000000005,356.5,4.795831523312719,-1.0,-4.75,-8,1.5025,1.6,5.1,5.0,7.0,30.0,84.0,4,6
2016-04-21,3.4,0.1,-1.48,-1.28,0.04,0.554,427.5,2.516611478423583,1.4,6.0,4,3.2375,3.51,0.07499999999999998,11.5,13.0,69.0,77.5,4,6
