Time_UTC,Time_Local_Peru,FECHA,YEAR,DOY,Hour,BY_GSE_nT,BZ_GSE_nT,SW_Plasma_Speed_kms,Flow_Pressure_nPa,E_Electric_Field_mVm,Kp_Index,Dst_Index_nT,F10.7_Index
2016-03-01 00:00:00,2016-02-29 19:00:00,2016-02-29,2016,61,0,3.7,-1.2,313.0,3.98,-0.28,30,-1,95.1
2016-03-01 01:00:00,2016-02-29 20:00:00,2016-02-29,2016,61,1,2.3,2.3,308.0,4.01,-0.95,30,4,95.1
2016-03-01 02:00:00,2016-02-29 21:00:00,2016-02-29,2016,61,2,3.5,4.4,312.0,4.2,-1.72,30,7,95.1
2016-03-01 03:00:00,2016-02-29 22:00:00,2016-02-29,2016,61,3,4.2,0.6,320.0,4.24,-0.77,20,10,95.1
2016-03-01 04:00:00,2016-02-29 23:00:00,2016-02-29,2016,61,4,5.1,0.3,342.0,3.55,-0.79,20,7,95.1
2016-03-01 05:00:00,2016-03-01 00:00:00,2016-03-01,2016,61,5,6.1,-0.9,362.0,2.6,-0.51,20,1,95.1
2016-03-01 06:00:00,2016-03-01 01:00:00,2016-03-01,2016,61,6,9.0,-0.9,379.0,1.98,-0.76,17,-2,95.1
2016-03-01 07:00:00,2016-03-01 02:00:00,2016-03-01,2016,61,7,9.4,0.3,378.0,2.07,-1.1,17,1,95.1
2016-03-01 08:00:00,2016-03-01 03:00:00,2016-03-01,2016,61,8,3.4,6.5,393.0,3.5,-2.79,17,9,95.1
2016-03-01 09:00:00,2016-03-01 04:00:00,2016-03-01,2016,61,9,9.1,-1.2,380.0,2.79,-0.34,17,12,95.1
2016-03-01 10:00:00,2016-03-01 05:00:00,2016-03-01,2016,61,10,8.4,-2.2,371.0,2.76,0.11,17,10,95.1
2016-03-01 11:00:00,2016-03-01 06:00:00,2016-03-01,2016,61,11,5.1,3.7,374.0,3.79,-1.76,17,10,95.1
2016-03-01 12:00:00,2016-03-01 07:00:00,2016-03-01,2016,61,12,1.7,1.8,370.0,2.89,-0.78,20,7,95.1
2016-03-01 13:00:00,2016-03-01 08:00:00,2016-03-01,2016,61,13,5.8,0.5,353.0,2.84,-0.67,20,7,95.1
2016-03-01 14:00:00,2016-03-01 09:00:00,2016-03-01,2016,61,14,2.7,0.1,355.0,3.26,-0.32,20,9,95.1
2016-03-01 15:00:00,2016-03-01 10:00:00,2016-03-01,2016,61,15,-5.5,1.9,384.0,4.37,-0.04,17,10,95.1
2016-03-01 16:00:00,2016-03-01 11:00:00,2016-03-01,2016,61,16,-0.4,2.8,397.0,4.02,-0.99,17,6,95.1
2016-03-01 17:00:00,2016-03-01 12:00:00,2016-03-01,2016,61,17,7.2,-1.0,393.0,3.33,-0.79,17,5,95.1
2016-03-01 18:00:00,2016-03-01 13:00:00,2016-03-01,2016,61,18,9.9,-0.6,391.0,2.91,-1.49,10,6,95.1
2016-03-01 19:00:00,2016-03-01 14:00:00,2016-03-01,2016,61,19,9.7,0.1,387.0,2.85,-1.82,10,8,95.1
2016-03-01 20:00:00,2016-03-01 15:00:00,2016-03-01,2016,61,20,9.1,-0.7,382.0,2.79,-1.49,10,7,95.1
2016-03-01 21:00:00,2016-03-01 16:00:00,2016-03-01,2016,61,21,7.6,-1.1,375.0,2.79,-1.12,27,5,95.1
2016-03-01 22:00:00,2016-03-01 17:00:00,2016-03-01,2016,61,22,0.3,-5.4,380.0,2.99,1.67,27,4,95.1
2016-03-01 23:00:00,2016-03-01 18:00:00,2016-03-01,2016,61,23,5.4,-3.9,377.0,2.46,0.15,27,-8,95.1
2016-03-02 00:00:00,2016-03-01 19:00:00,2016-03-01,2016,62,0,8.6,0.5,375.0,2.21,-1.84,23,-9,96.5
2016-03-02 01:00:00,2016-03-01 20:00:00,2016-03-01,2016,62,1,8.2,4.5,386.0,2.49,-3.09,23,-2,96.5
2016-03-02 02:00:00,2016-03-01 21:00:00,2016-03-01,2016,62,2,8.4,2.5,379.0,2.43,-2.35,23,2,96.5
2016-03-02 03:00:00,2016-03-01 22:00:00,2016-03-01,2016,62,3,7.5,3.5,378.0,2.44,-2.46,10,3,96.5
2016-03-02 04:00:00,2016-03-01 23:00:00,2016-03-01,2016,62,4,7.2,1.8,376.0,1.99,-1.73,10,0,96.5
2016-03-02 05:00:00,2016-03-02 00:00:00,2016-03-02,2016,62,5,7.1,-0.1,391.0,2.39,-0.98,10,1,96.5
2016-03-02 06:00:00,2016-03-02 01:00:00,2016-03-02,2016,62,6,4.0,0.9,382.0,2.24,-0.8,7,2,96.5
2016-03-02 07:00:00,2016-03-02 02:00:00,2016-03-02,2016,62,7,2.6,3.7,398.0,2.52,-1.71,7,2,96.5
2016-03-02 08:00:00,2016-03-02 03:00:00,2016-03-02,2016,62,8,8.0,2.0,400.0,2.25,-1.6,7,5,96.5
2016-03-02 09:00:00,2016-03-02 04:00:00,2016-03-02,2016,62,9,7.2,1.6,402.0,2.19,-1.29,20,8,96.5
2016-03-02 10:00:00,2016-03-02 05:00:00,2016-03-02,2016,62,10,6.5,-1.7,425.0,2.72,0.09,20,10,96.5
2016-03-02 11:00:00,2016-03-02 06:00:00,2016-03-02,2016,62,11,6.9,1.7,429.0,2.7,-1.37,20,5,96.5
2016-03-02 12:00:00,2016-03-02 07:00:00,2016-03-02,2016,62,12,5.9,2.4,437.0,2.61,-1.62,23,6,96.5
2016-03-02 13:00:00,2016-03-02 08:00:00,2016-03-02,2016,62,13,5.4,0.8,441.0,2.5,-0.93,23,4,96.5
2016-03-02 14:00:00,2016-03-02 09:00:00,2016-03-02,2016,62,14,-0.0,-0.1,438.0,2.36,0.04,23,1,96.5
2016-03-02 15:00:00,2016-03-02 10:00:00,2016-03-02,2016,62,15,0.8,-1.9,433.0,2.03,0.69,27,-3,96.5
2016-03-02 16:00:00,2016-03-02 11:00:00,2016-03-02,2016,62,16,3.2,-1.3,461.0,2.41,0.05,27,0,96.5
2016-03-02 17:00:00,2016-03-02 12:00:00,2016-03-02,2016,62,17,5.1,3.7,467.0,2.33,-2.52,27,2,96.5
2016-03-02 18:00:00,2016-03-02 13:00:00,2016-03-02,2016,62,18,3.4,4.4,479.0,2.45,-2.59,10,2,96.5
2016-03-02 19:00:00,2016-03-02 14:00:00,2016-03-02,2016,62,19,3.8,1.8,453.0,2.01,-1.54,10,3,96.5
2016-03-02 20:00:00,2016-03-02 15:00:00,2016-03-02,2016,62,20,6.0,1.3,457.0,1.9,-1.87,10,4,96.5
2016-03-02 21:00:00,2016-03-02 16:00:00,2016-03-02,2016,62,21,4.0,1.2,441.0,1.7,-1.37,3,3,96.5
2016-03-02 22:00:00,2016-03-02 17:00:00,2016-03-02,2016,62,22,4.3,-0.3,442.0,1.73,-0.88,3,1,96.5
2016-03-02 23:00:00,2016-03-02 18:00:00,2016-03-02,2016,62,23,4.2,-0.4,450.0,1.8,-0.85,3,1,96.5
2016-03-03 00:00:00,2016-03-02 19:00:00,2016-03-02,2016,63,0,3.5,-2.3,451.0,1.59,0.05,17,2,97.1
2016-03-03 01:00:00,2016-03-02 20:00:00,2016-03-02,2016,63,1,3.3,-0.2,441.0,1.49,-0.66,17,1,97.1
2016-03-03 02:00:00,2016-03-02 21:00:00,2016-03-02,2016,63,2,3.3,-1.6,445.0,1.59,-0.09,17,2,97.1
2016-03-03 03:00:00,2016-03-02 22:00:00,2016-03-02,2016,63,3,2.5,-2.6,452.0,1.74,0.54,23,1,97.1
2016-03-03 04:00:00,2016-03-02 23:00:00,2016-03-02,2016,63,4,1.3,-0.2,447.0,1.64,-0.13,23,3,97.1
2016-03-03 05:00:00,2016-03-03 00:00:00,2016-03-03,2016,63,5,3.8,-1.5,453.0,1.69,-0.0,23,0,97.1
2016-03-03 06:00:00,2016-03-03 01:00:00,2016-03-03,2016,63,6,3.9,-1.5,451.0,1.73,0.09,20,-1,97.1
2016-03-03 07:00:00,2016-03-03 02:00:00,2016-03-03,2016,63,7,0.6,-3.3,440.0,1.67,1.32,20,0,97.1
2016-03-03 08:00:00,2016-03-03 03:00:00,2016-03-03,2016,63,8,-0.4,-3.1,439.0,1.55,1.36,20,-4,97.1
2016-03-03 09:00:00,2016-03-03 04:00:00,2016-03-03,2016,63,9,-0.3,-2.9,439.0,1.6,1.27,23,-4,97.1
2016-03-03 10:00:00,2016-03-03 05:00:00,2016-03-03,2016,63,10,1.9,1.6,430.0,1.39,-0.86,23,-7,97.1
2016-03-03 11:00:00,2016-03-03 06:00:00,2016-03-03,2016,63,11,0.7,2.4,449.0,1.62,-1.12,23,-3,97.1
2016-03-03 12:00:00,2016-03-03 07:00:00,2016-03-03,2016,63,12,3.1,-0.7,443.0,1.57,-0.0,20,-2,97.1
2016-03-03 13:00:00,2016-03-03 08:00:00,2016-03-03,2016,63,13,0.5,-1.8,426.0,1.38,0.68,20,-5,97.1
2016-03-03 14:00:00,2016-03-03 09:00:00,2016-03-03,2016,63,14,2.0,-1.0,425.0,1.36,0.17,20,-6,97.1
2016-03-03 15:00:00,2016-03-03 10:00:00,2016-03-03,2016,63,15,3.8,1.7,437.0,1.5,-1.22,10,-3,97.1
2016-03-03 16:00:00,2016-03-03 11:00:00,2016-03-03,2016,63,16,3.7,2.1,440.0,1.47,-1.45,10,-3,97.1
2016-03-03 17:00:00,2016-03-03 12:00:00,2016-03-03,2016,63,17,3.4,3.1,442.0,1.52,-1.86,10,-1,97.1
2016-03-03 18:00:00,2016-03-03 13:00:00,2016-03-03,2016,63,18,3.3,-0.8,428.0,1.4,-0.3,3,-1,97.1
2016-03-03 19:00:00,2016-03-03 14:00:00,2016-03-03,2016,63,19,2.1,-1.0,429.0,1.42,-0.04,3,1,97.1
2016-03-03 20:00:00,2016-03-03 15:00:00,2016-03-03,2016,63,20,1.8,0.2,425.0,1.3,-0.47,3,-1,97.1
2016-03-03 21:00:00,2016-03-03 16:00:00,2016-03-03,2016,63,21,2.3,0.4,427.0,1.3,-0.64,13,-4,97.1
2016-03-03 22:00:00,2016-03-03 17:00:00,2016-03-03,2016,63,22,1.0,-2.8,421.0,1.11,0.76,13,-2,97.1
2016-03-03 23:00:00,2016-03-03 18:00:00,2016-03-03,2016,63,23,0.6,-3.1,414.0,1.03,0.95,13,-1,97.1
2016-03-04 00:00:00,2016-03-03 19:00:00,2016-03-03,2016,64,0,0.4,-3.4,410.0,1.01,1.11,27,-4,98.9
2016-03-04 01:00:00,2016-03-03 20:00:00,2016-03-03,2016,64,1,0.5,-2.0,400.0,0.87,0.6,27,-7,98.9
2016-03-04 02:00:00,2016-03-03 21:00:00,2016-03-03,2016,64,2,0.6,-1.1,395.0,0.78,0.28,27,-10,98.9
2016-03-04 03:00:00,2016-03-03 22:00:00,2016-03-03,2016,64,3,2.3,2.0,408.0,1.0,-1.14,17,-9,98.9
2016-03-04 04:00:00,2016-03-03 23:00:00,2016-03-03,2016,64,4,2.4,1.4,406.0,1.02,-0.93,17,-8,98.9
2016-03-04 05:00:00,2016-03-04 00:00:00,2016-03-04,2016,64,5,2.5,1.2,404.0,1.09,-0.81,17,-6,98.9
2016-03-04 06:00:00,2016-03-04 01:00:00,2016-03-04,2016,64,6,2.2,2.3,400.0,1.04,-1.16,0,-6,98.9
2016-03-04 07:00:00,2016-03-04 02:00:00,2016-03-04,2016,64,7,2.7,0.9,396.0,1.01,-0.63,0,-5,98.9
2016-03-04 08:00:00,2016-03-04 03:00:00,2016-03-04,2016,64,8,2.5,-0.6,389.0,0.93,-0.04,0,-6,98.9
2016-03-04 09:00:00,2016-03-04 04:00:00,2016-03-04,2016,64,9,2.0,-0.7,387.0,0.95,0.08,7,-6,98.9
2016-03-04 10:00:00,2016-03-04 05:00:00,2016-03-04,2016,64,10,2.2,-0.4,385.0,0.94,-0.04,7,-5,98.9
2016-03-04 11:00:00,2016-03-04 06:00:00,2016-03-04,2016,64,11,2.0,0.6,385.0,0.94,-0.39,7,-4,98.9
2016-03-04 12:00:00,2016-03-04 07:00:00,2016-03-04,2016,64,12,1.9,0.5,382.0,0.92,-0.34,3,-3,98.9
2016-03-04 13:00:00,2016-03-04 08:00:00,2016-03-04,2016,64,13,2.3,-0.6,380.0,0.89,-0.0,3,-3,98.9
2016-03-04 14:00:00,2016-03-04 09:00:00,2016-03-04,2016,64,14,2.2,-1.2,375.0,0.89,0.19,3,-4,98.9
2016-03-04 15:00:00,2016-03-04 10:00:00,2016-03-04,2016,64,15,1.8,-0.9,372.0,0.85,0.11,7,-6,98.9
2016-03-04 16:00:00,2016-03-04 11:00:00,2016-03-04,2016,64,16,1.9,-0.9,369.0,0.89,0.04,7,-7,98.9
2016-03-04 17:00:00,2016-03-04 12:00:00,2016-03-04,2016,64,17,2.1,-0.5,360.0,0.96,-0.14,7,-7,98.9
2016-03-04 18:00:00,2016-03-04 13:00:00,2016-03-04,2016,64,18,2.8,1.8,372.0,1.19,-1.08,3,-5,98.9
2016-03-04 19:00:00,2016-03-04 14:00:00,2016-03-04,2016,64,19,3.4,2.6,377.0,1.18,-1.47,3,-1,98.9
2016-03-04 20:00:00,2016-03-04 15:00:00,2016-03-04,2016,64,20,3.5,2.4,367.0,1.16,-1.39,3,1,98.9
2016-03-04 21:00:00,2016-03-04 16:00:00,2016-03-04,2016,64,21,3.6,2.1,378.0,1.22,-1.4,3,0,98.9
2016-03-04 22:00:00,2016-03-04 17:00:00,2016-03-04,2016,64,22,3.7,2.6,360.0,1.17,-1.51,3,0,98.9
2016-03-04 23:00:00,2016-03-04 18:00:00,2016-03-04,2016,64,23,3.8,0.9,354.0,1.1,-0.99,3,-1,98.9
2016-03-05 00:00:00,2016-03-04 19:00:00,2016-03-04,2016,65,0,1.3,0.2,334.0,1.04,-0.3,0,0,94.7
2016-03-05 01:00:00,2016-03-04 20:00:00,2016-03-04,2016,65,1,2.5,1.0,344.0,1.08,-0.72,0,2,94.7
