FECHA,Mh_PRECURSOR,Mv_PRECURSOR,Dh_TOTAL,F_DENSITY,Delta_foF2_1,slope_foF2_1,foF2_max_SW,foF2_min_SW,foF2_drop_SW,num_muestras_foF2,delta_inicio_min,delta_fin_min,extremos_validos,hora_inicio_real,hora_fin_real,tiempo_real_min,num_registros,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18,TARGET,VECES_SUPERO_UMBRAL,S4_MAX,S4_MEAN,TOTAL_MEDICIONES,HORA_PICO,PRN_PICO
2013-04-06,478.4,0.8041666666666667,96.5,10.366666666666667,-3.4000000000000004,-0.0283333333333333,11.6,8.2,3.4000000000000004,9.0,0.0,0.0,True,2013-04-06 17:00:00,2013-04-06 19:00:00,120.0,9.0,-1.2,-1.8,0.2,0.7424999999999999,0.78,-0.0009999999999999,337.0,2.160246899469287,-1.0,-10.25,-12.0,1.0575,1.15,-2.2750000000000004,11.5,13.0,69.0,137.3,4.0,6.0,1.0,16.0,0.7389,0.0653,2570.0,2013-04-06 19:55:04,G07
2013-04-08,517.5,1.106666666666667,132.8,11.444444444444445,-3.6,-0.0299999999999999,13.1,9.3,3.799999999999999,9.0,0.0,0.0,True,2013-04-08 17:00:00,2013-04-08 19:00:00,120.0,9.0,-0.925,-2.1,-0.7500000000000001,-0.1875,0.04,0.155,359.5,8.660254037844387,2.4,-5.75,-7.0,0.83,1.17,2.5250000000000004,3.0,3.0,18.0,139.6,4.0,6.0,1.0,43.0,1.0595,0.0945,2566.0,2013-04-08 20:53:04,G08
2013-04-09,495.2,1.0691666666666668,128.3,10.811111111111112,-2.1,-0.0174999999999999,11.6,9.4,2.2,9.0,0.0,0.0,True,2013-04-09 17:00:00,2013-04-09 19:00:00,120.0,9.0,0.725,-1.6,1.11,-0.8975,-0.34,-0.2189999999999999,341.75,4.031128874149275,-2.1,-5.0,-7.0,0.64,0.7,3.875,5.0,7.0,30.0,147.0,4.0,6.0,1.0,1.0,0.4594,0.0505,2567.0,2013-04-09 19:42:14,G07
2013-04-10,441.9,0.6183333333333333,74.19999999999999,10.811111111111112,-2.0,-0.0166666666666666,11.6,9.4,2.2,9.0,0.0,0.0,True,2013-04-10 17:00:00,2013-04-10 19:00:00,120.0,9.0,1.75,-1.1,2.1,-1.105,0.19,-0.744,371.75,9.535023160258536,-0.5,0.25,-3.0,1.7599999999999998,1.94,2.825,15.0,23.0,90.0,148.6,4.0,6.0,1.0,1.0,0.5934,0.0451,2568.0,2013-04-10 22:44:04,G28
2013-04-11,493.0,1.0466666666666664,125.59999999999997,11.044444444444444,-2.2,-0.0183333333333333,11.7,9.4,2.299999999999999,9.0,0.0,0.0,True,2013-04-11 17:00:00,2013-04-11 19:00:00,120.0,9.0,0.15,-1.6,0.2799999999999999,-0.3474999999999999,0.76,0.1969999999999999,474.5,5.802298395176403,-3.8,-6.5,-10.0,1.7325000000000002,1.82,1.15,13.5,20.0,81.0,137.8,4.0,6.0,1.0,1.0,0.4344,0.0507,2398.0,2013-04-11 19:35:04,G07
2013-04-12,489.1,0.7666666666666667,92.0,9.144444444444446,-3.0,-0.025,11.0,7.9,3.1,9.0,0.0,0.0,True,2013-04-12 17:00:00,2013-04-12 19:00:00,120.0,9.0,-0.675,-1.7,-0.41,-0.5325,0.09,0.295,434.75,6.291528696058959,-3.7,-2.25,-4.0,1.0475,1.14,3.475,3.0,3.0,18.0,138.6,4.0,6.0,0.0,0.0,0.3994,0.0513,2585.0,2013-04-12 19:30:04,G07
2013-04-14,363.3,0.7099999999999999,85.19999999999999,7.355555555555556,-0.8999999999999995,-0.0074999999999999,8.6,5.9,2.7,9.0,0.0,0.0,True,2013-04-14 17:00:00,2013-04-14 19:00:00,120.0,9.0,9.125,8.6,0.15,-4.612500000000001,-4.05,0.0830000000000001,446.25,7.58836829188814,-0.3,4.0,-4.0,3.2099999999999995,6.14,4.9,18.5,20.0,111.0,117.5,4.0,6.0,1.0,1.0,0.4579,0.0493,2598.0,2013-04-14 22:28:04,G28
2013-04-17,468.8,0.8641666666666665,103.7,8.655555555555555,-2.7,-0.0224999999999999,9.7,7.0,2.7,9.0,0.0,0.0,True,2013-04-17 17:00:00,2013-04-17 19:00:00,120.0,9.0,0.7,-0.6,-0.74,-0.165,0.35,0.286,323.0,5.0990195135927845,-3.2,-3.0,-6.0,0.72,0.79,-0.2,1.5,3.0,9.0,107.1,4.0,6.0,1.0,9.0,0.7583,0.0613,2609.0,2013-04-17 22:06:04,G28
2013-04-18,419.1,0.5908333333333337,70.90000000000003,11.022222222222222,-1.700000000000001,-0.0141666666666666,12.4,8.0,4.4,9.0,0.0,0.0,True,2013-04-18 17:00:00,2013-04-18 19:00:00,120.0,9.0,-0.075,-0.4,-0.03,-0.16,-0.0,-0.068,289.25,2.0615528128088303,-0.1,-3.25,-4.0,0.7424999999999999,0.82,1.225,3.5,7.0,21.0,105.9,4.0,6.0,1.0,5.0,0.4793,0.0647,2612.0,2013-04-18 20:26:04,G08
2013-04-19,467.9,0.898333333333333,107.79999999999995,8.833333333333334,-1.700000000000001,-0.0141666666666666,9.8,7.2,2.6000000000000005,9.0,0.0,0.0,True,2013-04-19 17:00:00,2013-04-19 19:00:00,120.0,9.0,-1.25,-1.7,0.3399999999999999,-0.36,-0.24,-0.0559999999999999,300.5,6.454972243679028,-3.4,3.0,1.0,1.245,1.38,4.550000000000001,3.0,3.0,18.0,100.3,4.0,6.0,0.0,0.0,0.3966,0.0447,2614.0,2013-04-19 19:04:04,G07
