FECHA,Mh_PRECURSOR,Mv_PRECURSOR,Dh_TOTAL,F_DENSITY,Delta_foF2_1,slope_foF2_1,foF2_max_SW,foF2_min_SW,foF2_drop_SW,num_muestras_foF2,delta_inicio_min,delta_fin_min,extremos_validos,hora_inicio_real,hora_fin_real,tiempo_real_min,num_registros,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18,TARGET,VECES_SUPERO_UMBRAL,S4_MAX,S4_MEAN,TOTAL_MEDICIONES,HORA_PICO,PRN_PICO
2013-09-04,452.4,0.6474999999999999,77.69999999999999,9.18888888888889,-1.5,-0.0125,9.8,8.3,1.5,9.0,0.0,0.0,True,2013-09-04 17:00:00,2013-09-04 19:00:00,120.0,9.0,0.5750000000000001,-0.5,0.53,-0.3249999999999999,0.31,-0.314,439.0,7.393691004272944,-5.6,-8.5,-11.0,0.8925,1.0,-0.875,15.0,17.0,90.0,111.1,4.0,6.0,0.0,0.0,0.3886,0.0608,2078.0,2013-09-04 22:10:04,G21
2013-09-09,361.9,0.6416666666666667,77.0,6.356521739130436,-1.2000000000000002,-0.01,7.2,5.7,1.5,23.0,0.0,0.0,True,2013-09-09 17:00:00,2013-09-09 19:00:00,120.0,23.0,0.25,0.1,-0.0199999999999999,0.0,0.06,0.0,313.0,2.309401076758503,-1.6,-2.75,-5.0,0.4525,0.49,1.15,5.0,7.0,30.0,95.6,4.0,6.0,1.0,7.0,0.4807,0.0595,1756.0,2013-09-09 20:55:14,G14
2013-09-10,427.8,0.6400000000000001,76.80000000000001,9.436,-0.8000000000000007,-0.0066666666666666,10.2,8.4,1.799999999999999,25.0,0.0,0.0,True,2013-09-10 17:00:00,2013-09-10 19:00:00,120.0,25.0,-1.525,-3.3,1.39,0.345,1.22,-0.532,381.75,6.701989754294367,4.9,-7.25,-11.0,3.0250000000000004,3.41,-2.375,25.0,27.0,150.0,96.2,4.0,6.0,1.0,22.0,0.6487,0.0918,1362.0,2013-09-10 21:34:04,G21
2013-09-11,453.3,0.7982608695652175,91.8,8.160416666666666,-1.6000000000000003,-0.0139130434782608,8.85,5.8,3.05,24.0,0.0,-4.999999999999929,True,2013-09-11 17:00:00,2013-09-11 18:55:00,115.0,24.0,-1.0,-2.3,-0.76,0.1699999999999999,0.69,0.286,398.0,3.915780041490244,-0.8,-0.25,-2.0,1.7025,1.89,-2.2,17.0,17.0,102.0,94.1,4.0,6.0,1.0,3.0,0.4665,0.065,776.0,2013-09-11 23:10:04,G18
2013-09-12,366.7,0.0816666666666667,9.800000000000011,9.433333333333332,0.0,0.0,9.7,9.3,0.3999999999999986,6.0,0.0,0.0,True,2013-09-12 17:00:00,2013-09-12 19:00:00,120.0,6.0,-1.5750000000000002,-2.1,-0.17,0.1674999999999999,0.37,0.037,445.75,10.1447851956888,7.3,-7.75,-10.0,2.93,3.45,-4.824999999999999,23.5,27.0,141.0,94.1,4.0,6.0,0.0,0.0,0.3861,0.0457,205.0,2013-09-12 20:55:04,G14
2013-09-13,440.7,0.7325000000000003,87.90000000000003,8.1125,-1.0999999999999996,-0.0091666666666666,8.6,7.1,1.5,8.0,0.0,0.0,True,2013-09-13 17:00:00,2013-09-13 19:00:00,120.0,8.0,2.925,2.1,-0.55,-1.96,-1.62,0.234,533.25,23.02715787933891,17.7,-5.5,-7.0,1.6150000000000002,1.82,-3.5500000000000003,16.5,23.0,99.0,92.7,4.0,6.0,1.0,12.0,0.6022,0.0679,1898.0,2013-09-13 22:38:04,G31
2013-09-16,378.5,0.7074999999999998,84.89999999999998,6.311111111111111,-1.4500000000000002,-0.0120833333333333,7.25,5.8,1.4500000000000002,9.0,0.0,0.0,True,2013-09-16 17:00:00,2013-09-16 19:00:00,120.0,9.0,-0.4,-2.2,0.54,-0.1075,0.54,-0.229,369.75,9.429563439877091,2.3,-1.0,-4.0,0.955,1.12,-2.6500000000000004,6.5,10.0,39.0,95.5,4.0,6.0,1.0,5.0,0.4518,0.0617,2065.0,2013-09-16 22:59:04,G18
2013-09-18,426.8,0.2516666666666666,30.19999999999999,8.211111111111112,-1.9000000000000004,-0.0158333333333333,8.9,7.0,1.9000000000000004,9.0,0.0,0.0,True,2013-09-18 17:00:00,2013-09-18 19:00:00,120.0,9.0,-1.275,-3.3,0.45,0.89,2.12,-0.176,548.25,12.816005617976296,6.3,-7.25,-10.0,2.0125,2.24,1.775,25.0,27.0,150.0,105.1,4.0,6.0,1.0,1.0,0.4157,0.0551,2058.0,2013-09-18 21:16:04,G21
2013-09-21,491.0,0.7699999999999998,92.39999999999998,9.68888888888889,-2.7,-0.0224999999999999,11.0,8.2,2.8000000000000007,9.0,0.0,0.0,True,2013-09-21 17:00:00,2013-09-21 19:00:00,120.0,9.0,-1.225,-1.9,0.0499999999999999,0.325,0.53,0.0639999999999999,407.75,3.593976442141304,-1.1,-5.0,-6.0,1.1675,1.18,-1.6,18.5,20.0,111.0,111.2,4.0,6.0,1.0,23.0,0.7276,0.0883,1936.0,2013-09-21 21:56:04,G31
2013-09-22,475.7,0.7816666666666667,93.8,8.657142857142858,-1.6000000000000003,-0.0133333333333333,9.3,7.7,1.6000000000000003,7.0,0.0,0.0,True,2013-09-22 17:00:00,2013-09-22 19:00:00,120.0,7.0,1.1749999999999998,-0.2,-0.4699999999999999,-0.35,0.35,0.2799999999999999,382.0,5.163977794943222,1.6,-3.0,-4.0,0.995,1.02,0.875,5.0,7.0,30.0,111.9,4.0,6.0,1.0,17.0,0.5734,0.088,1916.0,2013-09-22 22:14:34,G18
2013-09-23,430.4,0.8774999999999996,105.29999999999995,9.708,-0.1999999999999993,-0.0016666666666666,10.3,9.3,1.0,25.0,0.0,0.0,True,2013-09-23 17:00:00,2013-09-23 19:00:00,120.0,25.0,-2.175,-2.4,0.2499999999999999,0.995,1.12,-0.116,346.0,8.286535263104035,-5.8,-3.75,-7.0,1.095,1.16,3.125,15.0,17.0,90.0,108.5,4.0,6.0,1.0,2.0,0.4677,0.0536,2040.0,2013-09-23 22:10:24,G18
2013-09-24,437.4,0.5,60.0,9.014,-1.049999999999999,-0.0087499999999999,9.45,8.4,1.049999999999999,25.0,0.0,0.0,True,2013-09-24 17:00:00,2013-09-24 19:00:00,120.0,25.0,0.55,-0.4,0.1399999999999999,-0.48,-0.04,-0.064,435.0,4.69041575982343,2.6,-20.75,-23.0,1.2325,1.25,-2.25,11.5,13.0,69.0,110.9,4.0,6.0,1.0,4.0,0.4309,0.0529,2037.0,2013-09-24 21:02:04,G02
2013-09-25,499.5,0.9824999999999998,117.89999999999998,7.939999999999999,-1.6500000000000004,-0.01375,8.3,6.6,1.700000000000001,25.0,0.0,0.0,True,2013-09-25 17:00:00,2013-09-25 19:00:00,120.0,25.0,2.0500000000000003,1.8,-0.1,-0.775,-0.65,0.0699999999999999,383.25,4.349329450233296,1.9,-9.0,-12.0,0.8150000000000001,1.01,-0.125,3.5,7.0,21.0,111.7,4.0,6.0,1.0,7.0,0.5973,0.0805,2031.0,2013-09-25 21:31:14,G31
2013-09-26,467.2,0.8150000000000001,97.8,8.748,-1.0500000000000007,-0.00875,9.25,5.8,3.45,25.0,0.0,0.0,True,2013-09-26 17:00:00,2013-09-26 19:00:00,120.0,25.0,0.725,0.1,0.45,-0.33,-0.09,-0.188,317.25,7.41057802513857,5.3,0.75,-3.0,0.7449999999999999,0.8,-1.25,1.5,3.0,9.0,110.5,4.0,6.0,1.0,6.0,0.5096,0.0857,1320.0,2013-09-26 21:28:04,G31
2013-09-27,425.3,0.9100000000000004,109.20000000000005,7.212000000000001,0.0,0.0,8.8,5.8,3.000000000000001,25.0,0.0,0.0,True,2013-09-27 17:00:00,2013-09-27 19:00:00,120.0,25.0,-0.625,-1.3,0.35,0.1175,0.36,-0.1389999999999999,306.75,3.095695936834452,1.5,3.25,2.0,0.855,0.91,-0.75,5.0,7.0,30.0,108.3,4.0,6.0,1.0,10.0,0.7638,0.0851,2025.0,2013-09-27 23:01:04,G22
2013-09-28,475.3,0.7649999999999996,91.79999999999995,9.605,-1.5749999999999993,-0.0131249999999999,10.375,8.8,1.5749999999999993,25.0,0.0,0.0,True,2013-09-28 17:00:00,2013-09-28 19:00:00,120.0,25.0,0.0,-0.6,0.2799999999999999,0.095,0.27,-0.0819999999999999,273.25,5.560275772537426,4.1,6.5,6.0,0.6575,0.73,1.4999999999999998,1.5,3.0,9.0,106.0,4.0,6.0,1.0,49.0,1.0436,0.1191,2022.0,2013-09-28 21:20:04,G31
2013-09-29,462.6,0.6525000000000001,78.30000000000001,9.318,-1.3499999999999996,-0.0112499999999999,9.85,8.5,1.3499999999999996,25.0,0.0,0.0,True,2013-09-29 17:00:00,2013-09-29 19:00:00,120.0,25.0,1.35,1.2,0.04,-0.4424999999999999,-0.42,-0.007,272.0,6.48074069840786,-4.8,10.25,9.0,2.2625,2.68,-1.35,13.5,17.0,81.0,103.4,4.0,6.0,1.0,14.0,0.5924,0.0647,1972.0,2013-09-29 20:39:04,G02
2013-09-30,418.4,0.488333333333333,58.599999999999966,9.47222222222222,-0.25,-0.0020833333333333,10.0,9.3,0.6999999999999993,9.0,0.0,0.0,True,2013-09-30 17:00:00,2013-09-30 19:00:00,120.0,9.0,-0.45,-1.4,0.64,-0.13,0.13,-0.176,256.75,2.753785273643051,1.9,8.5,8.0,0.9725,1.14,-3.925,1.5,3.0,9.0,105.2,4.0,6.0,1.0,5.0,0.4835,0.0538,2017.0,2013-09-30 20:34:04,G02
2013-10-05,461.9,0.7399999999999997,88.79999999999995,9.15,-1.5,-0.0125,9.8,8.3,1.5,6.0,0.0,0.0,True,2013-10-05 17:00:00,2013-10-05 19:00:00,120.0,6.0,0.75,0.5,0.0599999999999999,-0.3125,-0.26,-0.0209999999999999,322.5,2.3804761428476167,-1.8,-7.75,-9.0,0.4599999999999999,0.47,-1.025,0.0,0.0,0.0,105.9,4.0,6.0,1.0,8.0,0.6421,0.0839,1741.0,2013-10-05 23:57:04,G06
2013-10-09,488.3,1.0158333333333336,121.90000000000003,9.071428571428571,-1.200000000000001,-0.01,9.7,8.2,1.5,7.0,0.0,0.0,True,2013-10-09 17:00:00,2013-10-09 19:00:00,120.0,7.0,1.5500000000000005,-2.6,-3.18,0.0649999999999999,1.98,1.5080000000000002,471.0,7.483314773547883,-3.6,-14.5,-26.0,3.1875,3.74,7.424999999999999,25.0,33.0,150.0,113.1,4.0,6.0,1.0,59.0,1.0182,0.1205,2060.0,2013-10-09 19:42:04,G15
2013-10-10,464.7,0.9691666666666668,116.3,9.275,-0.5999999999999996,-0.0049999999999999,9.6,8.8,0.7999999999999989,8.0,0.0,0.0,True,2013-10-10 17:00:00,2013-10-10 19:00:00,120.0,8.0,1.075,0.2,-0.5700000000000001,-0.16,0.25,0.248,421.0,2.449489742783178,-1.2,-21.0,-23.0,0.8125,1.1,2.925,8.5,10.0,51.0,120.3,4.0,6.0,1.0,62.0,0.9902,0.1107,1946.0,2013-10-10 23:57:04,G06
2013-10-12,452.6,0.649166666666667,77.90000000000003,8.566666666666665,-0.8000000000000007,-0.0066666666666666,9.0,8.2,0.8000000000000007,6.0,0.0,0.0,True,2013-10-12 17:00:00,2013-10-12 19:00:00,120.0,6.0,-1.5,-2.1,0.36,0.2925,0.64,-0.221,386.25,8.73212459828649,-3.3,-6.5,-11.0,1.3275,1.56,-3.25,21.5,23.0,129.0,127.3,4.0,6.0,1.0,58.0,0.8887,0.1205,1759.0,2013-10-12 23:23:04,G16
2013-10-13,443.9,0.5416666666666666,65.0,8.555555555555555,-0.9000000000000004,-0.0075,9.0,7.8,1.2000000000000002,9.0,0.0,0.0,True,2013-10-13 17:00:00,2013-10-13 19:00:00,120.0,9.0,-1.1,-1.6,-0.2800000000000001,0.32,0.49,0.114,328.75,3.5,-2.7,-5.0,-10.0,0.93,1.04,-0.45,3.5,7.0,21.0,128.6,4.0,6.0,1.0,46.0,1.1172,0.1004,2064.0,2013-10-13 23:11:14,G16
2013-10-17,455.0,0.2683333333333332,32.19999999999999,10.166666666666666,-2.5,-0.0208333333333333,11.5,9.0,2.5,9.0,0.0,0.0,True,2013-10-17 17:00:00,2013-10-17 19:00:00,120.0,9.0,-0.375,-0.7,0.0299999999999999,0.245,0.32,-2.7755575615628923e-18,393.25,6.238322424070967,-4.1,-14.25,-16.0,0.4499999999999999,0.5,1.25,11.5,13.0,69.0,135.1,4.0,6.0,1.0,43.0,1.2492,0.0674,2064.0,2013-10-17 23:16:04,G06
2013-10-21,521.8,0.8691666666666663,104.29999999999995,11.366666666666667,-5.6000000000000005,-0.0466666666666666,13.3,7.7,5.6000000000000005,9.0,0.0,0.0,True,2013-10-21 17:00:00,2013-10-21 19:00:00,120.0,9.0,3.05,2.5,-0.2199999999999999,-0.9825,-0.93,0.0209999999999999,296.0,11.16542281629615,8.6,6.5,6.0,1.0625,1.49,-1.65,1.5,3.0,9.0,134.5,4.0,6.0,1.0,86.0,0.7422,0.1496,2068.0,2013-10-21 20:15:04,G18
2013-10-22,474.0,0.9725,116.7,9.47222222222222,-0.5500000000000007,-0.0045833333333333,10.0,9.0,1.0,9.0,0.0,0.0,True,2013-10-22 17:00:00,2013-10-22 19:00:00,120.0,9.0,-1.1,-3.5,1.56,0.115,0.92,-0.5399999999999999,337.0,8.12403840463596,-6.2,2.0,0.0,1.215,1.38,-4.075,18.5,20.0,111.0,144.8,4.0,6.0,0.0,0.0,0.3943,0.0612,2078.0,2013-10-22 19:08:04,G02
2013-10-23,426.3,0.6658333333333336,79.90000000000003,7.888888888888887,-2.500000000000001,-0.0208333333333333,9.3,5.7,3.6000000000000005,9.0,0.0,0.0,True,2013-10-23 17:00:00,2013-10-23 19:00:00,120.0,9.0,1.6749999999999998,0.1,-1.25,-0.7375,-0.31,0.351,315.75,7.041543391425869,-4.3,-1.25,-5.0,0.885,1.01,-3.625,1.5,3.0,9.0,151.1,4.0,6.0,1.0,94.0,0.855,0.1392,2086.0,2013-10-23 22:37:04,G16
