FECHA,Δh1,Mh1,Mv1,Delta_foF2_1,slope_foF2_1,foF2_max_SW1,foF2_min_SW1,foF2_drop_SW1,num_muestras_foF2_SW1,delta_inicio_SW1_min,delta_fin_SW1_min,extremos_validos_SW1,tiempo_real_SW1_min,Δh2,Mh2,Mv2,Delta_foF2_2,slope_foF2_2,foF2_max_SW2,foF2_min_SW2,foF2_drop_SW2,num_muestras_foF2_SW2,delta_inicio_SW2_min,delta_fin_SW2_min,extremos_validos_SW2,tiempo_real_SW2_min,F_DENSITY,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18,TARGET,VECES_SUPERO_UMBRAL,S4_MAX,S4_MEAN,TOTAL_MEDICIONES,HORA_PICO,PRN_PICO
2013-09-04,-6.800000000000011,374.7,-0.1133333333333335,-0.6000000000000014,-0.01,9.8,9.2,0.6000000000000014,5.0,0.0,0.0,True,60.0,84.5,452.4,1.4083333333333334,-0.8999999999999986,-0.0149999999999999,9.2,8.3,0.8999999999999986,5.0,0.0,0.0,True,60.0,9.18888888888889,0.5750000000000001,-0.5,0.53,-0.3249999999999999,0.31,-0.314,439.0,7.393691004272944,-5.6,-8.5,-11.0,0.8925,1.0,-0.875,15.0,17.0,90.0,111.1,4.0,6.0,0.0,0.0,0.3886,0.0608,2078.0,2013-09-04 22:10:04,G21
2013-09-09,6.800000000000011,295.9,0.1133333333333335,-0.2000000000000001,-0.0033333333333333,7.2,5.7,1.5,13.0,0.0,0.0,True,60.0,70.19999999999999,361.9,1.1699999999999997,-1.0,-0.0166666666666666,6.8,5.8,1.0,11.0,0.0,0.0,True,60.0,6.356521739130436,0.25,0.1,-0.0199999999999999,0.0,0.06,0.0,313.0,2.309401076758503,-1.6,-2.75,-5.0,0.4525,0.49,1.15,5.0,7.0,30.0,95.6,4.0,6.0,1.0,7.0,0.4807,0.0595,1756.0,2013-09-09 20:55:14,G14
2013-09-10,-10.5,396.2,-0.175,0.1999999999999993,0.0033333333333333,10.2,9.3,0.8999999999999986,13.0,0.0,0.0,True,60.0,87.30000000000001,427.8,1.4550000000000003,-1.0,-0.0166666666666666,9.5,8.4,1.0999999999999996,13.0,0.0,0.0,True,60.0,9.436,-1.525,-3.3,1.39,0.345,1.22,-0.532,381.75,6.701989754294367,4.9,-7.25,-11.0,3.0250000000000004,3.41,-2.375,25.0,27.0,150.0,96.2,4.0,6.0,1.0,22.0,0.6487,0.0918,1362.0,2013-09-10 21:34:04,G21
2013-09-11,8.899999999999977,388.0,0.1483333333333329,-0.5,-0.0083333333333333,8.85,8.3,0.5499999999999989,13.0,0.0,0.0,True,60.0,82.90000000000003,453.3,1.507272727272728,-1.1000000000000003,-0.02,8.3,5.8,2.500000000000001,12.0,0.0,-4.999999999999929,True,55.0,8.160416666666666,-1.0,-2.3,-0.76,0.1699999999999999,0.69,0.286,398.0,3.915780041490244,-0.8,-0.25,-2.0,1.7025,1.89,-2.2,17.0,17.0,102.0,94.1,4.0,6.0,1.0,3.0,0.4665,0.065,776.0,2013-09-11 23:10:04,G18
2013-09-12,13.5,355.5,0.225,0.1999999999999993,0.0033333333333333,9.5,,,2.0,0.0,0.0,True,60.0,-3.6999999999999886,366.7,-0.0616666666666664,-0.1999999999999993,-0.0033333333333333,9.7,9.3,0.3999999999999986,5.0,0.0,0.0,True,60.0,9.433333333333332,-1.5750000000000002,-2.1,-0.17,0.1674999999999999,0.37,0.037,445.75,10.1447851956888,7.3,-7.75,-10.0,2.93,3.45,-4.824999999999999,23.5,27.0,141.0,94.1,4.0,6.0,0.0,0.0,0.3861,0.0457,205.0,2013-09-12 20:55:04,G14
2013-09-13,39.60000000000002,375.5,0.6600000000000004,0.3000000000000007,0.005,8.6,8.2,0.4000000000000003,4.0,0.0,0.0,True,60.0,48.30000000000001,440.7,0.8050000000000002,-1.4000000000000004,-0.0233333333333333,8.5,7.1,1.4000000000000004,5.0,0.0,0.0,True,60.0,8.1125,2.925,2.1,-0.55,-1.96,-1.62,0.234,533.25,23.02715787933891,17.7,-5.5,-7.0,1.6150000000000002,1.82,-3.5500000000000003,16.5,23.0,99.0,92.7,4.0,6.0,1.0,12.0,0.6022,0.0679,1898.0,2013-09-13 22:38:04,G31
2013-09-16,-23.700000000000045,295.4,-0.3950000000000007,-1.4500000000000002,-0.0241666666666666,7.25,5.8,1.4500000000000002,5.0,0.0,0.0,True,60.0,108.60000000000002,378.5,1.8100000000000005,0.0,0.0,7.2,5.8,1.4000000000000004,5.0,0.0,0.0,True,60.0,6.311111111111111,-0.4,-2.2,0.54,-0.1075,0.54,-0.229,369.75,9.429563439877091,2.3,-1.0,-4.0,0.955,1.12,-2.6500000000000004,6.5,10.0,39.0,95.5,4.0,6.0,1.0,5.0,0.4518,0.0617,2065.0,2013-09-16 22:59:04,G18
2013-09-18,-6.0,374.5,-0.1,-0.5999999999999996,-0.0099999999999999,8.9,8.3,0.5999999999999996,5.0,0.0,0.0,True,60.0,36.19999999999999,426.8,0.6033333333333332,-1.3000000000000007,-0.0216666666666666,8.3,7.0,1.3000000000000007,5.0,0.0,0.0,True,60.0,8.211111111111112,-1.275,-3.3,0.45,0.89,2.12,-0.176,548.25,12.816005617976296,6.3,-7.25,-10.0,2.0125,2.24,1.775,25.0,27.0,150.0,105.1,4.0,6.0,1.0,1.0,0.4157,0.0551,2058.0,2013-09-18 21:16:04,G21
2013-09-21,-8.0,409.7,-0.1333333333333333,-1.5,-0.025,11.0,9.5,1.5,5.0,0.0,0.0,True,60.0,100.39999999999998,491.0,1.673333333333333,-1.1999999999999993,-0.0199999999999999,9.5,8.2,1.3000000000000007,5.0,0.0,0.0,True,60.0,9.68888888888889,-1.225,-1.9,0.0499999999999999,0.325,0.53,0.0639999999999999,407.75,3.593976442141304,-1.1,-5.0,-6.0,1.1675,1.18,-1.6,18.5,20.0,111.0,111.2,4.0,6.0,1.0,23.0,0.7276,0.0883,1936.0,2013-09-21 21:56:04,G31
2013-09-22,9.200000000000044,391.1,0.1533333333333341,-0.4000000000000003,-0.0066666666666666,9.3,8.9,0.4000000000000003,3.0,0.0,0.0,True,60.0,84.59999999999997,475.7,1.4099999999999997,-1.2000000000000002,-0.02,8.9,7.7,1.2000000000000002,5.0,0.0,0.0,True,60.0,8.657142857142858,1.1749999999999998,-0.2,-0.4699999999999999,-0.35,0.35,0.2799999999999999,382.0,5.163977794943222,1.6,-3.0,-4.0,0.995,1.02,0.875,5.0,7.0,30.0,111.9,4.0,6.0,1.0,17.0,0.5734,0.088,1916.0,2013-09-22 22:14:34,G18
