FECHA,Δh1,Mh1,Mv1,Delta_foF2_1,slope_foF2_1,foF2_max_SW1,foF2_min_SW1,foF2_drop_SW1,num_muestras_foF2_SW1,delta_inicio_SW1_min,delta_fin_SW1_min,extremos_validos_SW1,tiempo_real_SW1_min,Δh2,Mh2,Mv2,Delta_foF2_2,slope_foF2_2,foF2_max_SW2,foF2_min_SW2,foF2_drop_SW2,num_muestras_foF2_SW2,delta_inicio_SW2_min,delta_fin_SW2_min,extremos_validos_SW2,tiempo_real_SW2_min,Δh3,Mh3,Mv3,Delta_foF2_3,slope_foF2_3,foF2_max_SW3,foF2_min_SW3,foF2_drop_SW3,num_muestras_foF2_SW3,delta_inicio_SW3_min,delta_fin_SW3_min,extremos_validos_SW3,tiempo_real_SW3_min,F_DENSITY,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18,TARGET,VECES_SUPERO_UMBRAL,S4_MAX,S4_MEAN,TOTAL_MEDICIONES,HORA_PICO,PRN_PICO
2013-08-31,,,,,,,,,0.0,,,False,,,,,,,,,,0.0,,,False,,,406.2,,,,8.2,,,1.0,40.00000000000007,0.0,False,,8.2,-1.2,-1.2,,0.87,0.87,,433.0,,,-18.0,-18.0,1.52,1.52,3.6,,,,105.6,1.0,0.0,0.0,0.0,0.3815,0.0526,2051.0,2013-08-31 22:37:04,G02
2013-09-01,,,,,,,,,0.0,30.0,4.999999999999929,False,,81.30000000000001,369.2,2.7100000000000004,1.3999999999999997,0.0466666666666666,8.8,7.2,1.6000000000000003,3.0,4.999999999999929,-4.999999999999929,True,30.0,42.0,411.2,0.9333333333333332,-0.5999999999999996,-0.0133333333333333,8.6,8.0,0.5999999999999996,4.0,-4.999999999999929,0.0,True,45.0,8.271428571428572,-0.925,-1.6,0.49,0.655,0.96,-0.24,471.25,13.696106502701172,-9.5,-27.5,-31.0,0.485,0.53,2.125,23.0,23.0,138.0,105.6,4.0,6.0,1.0,8.0,0.5124,0.0618,2088.0,2013-09-01 21:32:04,G14
2013-09-02,,,,,,,,,0.0,,,False,,,,,,,,,,0.0,19.99999999999993,-4.999999999999929,False,,82.19999999999999,456.0,1.8266666666666664,-0.6000000000000005,-0.0133333333333333,8.4,7.8,0.6000000000000005,4.0,-4.999999999999929,0.0,True,45.0,8.26,1.925,1.3,-0.2299999999999999,-0.7875,-0.65,0.029,366.0,4.242640687119285,-3.2,-14.0,-17.0,1.2574999999999998,1.3,-1.275,10.0,13.0,60.0,107.5,4.0,6.0,1.0,12.0,0.5417,0.0759,2085.0,2013-09-02 21:26:04,G14
2013-09-03,,344.0,,,,9.2,,,1.0,30.0,-10.000000000000073,False,,,,,,,,,,0.0,-10.000000000000073,-4.999999999999929,False,,63.5,448.7,1.4111111111111112,-1.0,-0.0222222222222222,9.5,8.5,1.0,4.0,-4.999999999999929,0.0,True,45.0,9.08,0.75,-0.1,-0.5599999999999999,-0.4375,0.13,0.383,440.25,4.425306015783918,2.9,-13.75,-20.0,1.41,1.48,-1.2000000000000002,25.0,33.0,150.0,107.9,4.0,6.0,1.0,4.0,0.5689,0.0502,2050.0,2013-09-03 23:43:04,G18
2013-09-04,-29.59999999999997,374.7,-0.657777777777777,-0.5,-0.0111111111111111,9.8,9.3,0.5,4.0,0.0,4.999999999999929,True,45.0,30.5,375.6,1.0166666666666666,-0.1000000000000014,-0.0033333333333333,9.3,9.2,0.1000000000000014,3.0,4.999999999999929,-4.999999999999929,True,30.0,76.79999999999995,452.4,1.7066666666666657,-0.8999999999999986,-0.0199999999999999,9.2,8.3,0.8999999999999986,4.0,-4.999999999999929,0.0,True,45.0,9.18888888888889,0.5750000000000001,-0.5,0.53,-0.3249999999999999,0.31,-0.314,439.0,7.393691004272944,-5.6,-8.5,-11.0,0.8925,1.0,-0.875,15.0,17.0,90.0,111.1,4.0,6.0,0.0,0.0,0.3886,0.0608,2078.0,2013-09-04 22:10:04,G21
2013-09-05,,,,,,,,,0.0,,,False,,,,,,,,,,0.0,19.99999999999993,-4.999999999999929,False,,,,,,,,,,0.0,-4.999999999999929,-15.0,False,,9.425,0.275,-0.5,0.39,-0.29,-0.08,-0.094,411.75,6.601767440112787,3.1,-9.5,-12.0,0.7275,0.96,-2.025,8.5,10.0,51.0,111.9,4.0,6.0,1.0,5.0,0.651,0.0776,1931.0,2013-09-05 21:56:04,G21
2013-09-06,,344.6,,,,8.9,,,1.0,15.0,-25.00000000000007,False,,,,,,,,,,0.0,19.99999999999993,-4.999999999999929,False,,16.5,411.4,0.3666666666666666,-0.5,-0.0111111111111111,8.6,8.1,0.5,4.0,-4.999999999999929,0.0,True,45.0,8.483333333333333,-3.55,-4.2,-0.0200000000000001,1.215,1.51,0.034,391.0,16.990193249832878,-2.2,-17.75,-20.0,0.7825,0.94,-1.55,18.5,20.0,111.0,102.9,4.0,6.0,,,,,,,
2013-09-07,,,,,,,,,0.0,,,False,,,,,,,,,,0.0,34.99999999999993,-4.999999999999929,False,,-11.5,353.5,-0.2555555555555555,-3.1,-0.0688888888888888,8.1,5.0,3.1,4.0,-4.999999999999929,0.0,True,45.0,6.5,-0.3,-2.1,0.2,-0.0975,0.51,-0.0769999999999999,359.25,3.8622100754188224,1.9,1.0,0.0,1.5975,1.79,-2.5,5.0,7.0,30.0,100.0,4.0,6.0,1.0,6.0,0.6602,0.0577,2077.0,2013-09-07 21:50:14,G21
2013-09-08,,,,,,,,,0.0,,,False,,,,,,,,,,0.0,34.99999999999993,-4.999999999999929,False,,34.19999999999999,345.1,0.7599999999999998,-1.8000000000000007,-0.04,7.9,5.1,2.8000000000000007,4.0,-4.999999999999929,0.0,True,45.0,6.825000000000001,1.6,1.1,0.08,-0.4874999999999999,-0.33,-0.029,373.0,9.83192080250175,-0.4,-10.0,-12.0,0.605,0.67,1.15,3.5,7.0,21.0,97.1,4.0,6.0,1.0,3.0,0.4583,0.0508,2081.0,2013-09-08 23:22:04,G18
2013-09-09,-18.09999999999997,295.9,-0.4524999999999991,-0.7000000000000002,-0.0175,7.2,5.8,1.4000000000000004,9.0,0.0,0.0,True,40.0,24.899999999999977,297.3,0.6224999999999994,-0.5,-0.0125,6.8,5.7,1.0999999999999996,9.0,0.0,0.0,True,40.0,70.19999999999999,361.9,1.7549999999999997,0.0,0.0,6.8,5.8,1.0,7.0,0.0,0.0,True,40.0,6.356521739130436,0.25,0.1,-0.0199999999999999,0.0,0.06,0.0,313.0,2.309401076758503,-1.6,-2.75,-5.0,0.4525,0.49,1.15,5.0,7.0,30.0,95.6,4.0,6.0,1.0,7.0,0.4807,0.0595,1756.0,2013-09-09 20:55:14,G14
