FECHA,Δh1,Mh1,Mv1,Delta_foF2_1,slope_foF2_1,foF2_max_SW1,foF2_min_SW1,foF2_drop_SW1,num_muestras_foF2_SW1,delta_inicio_SW1_min,delta_fin_SW1_min,extremos_validos_SW1,tiempo_real_SW1_min,Δh2,Mh2,Mv2,Delta_foF2_2,slope_foF2_2,foF2_max_SW2,foF2_min_SW2,foF2_drop_SW2,num_muestras_foF2_SW2,delta_inicio_SW2_min,delta_fin_SW2_min,extremos_validos_SW2,tiempo_real_SW2_min,Δh3,Mh3,Mv3,Delta_foF2_3,slope_foF2_3,foF2_max_SW3,foF2_min_SW3,foF2_drop_SW3,num_muestras_foF2_SW3,delta_inicio_SW3_min,delta_fin_SW3_min,extremos_validos_SW3,tiempo_real_SW3_min,F_DENSITY,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18,TARGET,VECES_SUPERO_UMBRAL,S4_MAX,S4_MEAN,TOTAL_MEDICIONES,HORA_PICO,PRN_PICO
2014-03-31,,,,,,,,,0.0,,,False,,,,,,,,,,0.0,,,False,,,,,,,,,,0.0,40.00000000000007,0.0,False,,9.4,1.1,1.1,,-1.32,-1.32,,387.0,,,-15.0,-15.0,1.23,1.23,4.7,,,,153.1,1.0,0.0,1.0,5.0,0.6072,0.0591,2583.0,2014-03-31 20:36:04,G08
2014-04-01,20.40000000000004,438.5,0.5100000000000009,-0.0999999999999996,-0.0024999999999999,12.8,12.1,0.7000000000000011,9.0,0.0,0.0,True,40.0,9.0,442.3,0.225,-0.4000000000000003,-0.01,12.5,11.5,1.0,9.0,0.0,0.0,True,40.0,61.69999999999999,504.0,1.5424999999999998,-0.7999999999999989,-0.0199999999999999,12.1,9.3,2.799999999999999,9.0,0.0,0.0,True,40.0,11.932,1.775,1.0,0.2699999999999999,-0.8400000000000001,-0.04,-0.2599999999999999,437.0,8.406346808612328,-3.2,-5.0,-6.0,1.4075,1.61,0.8,16.5,23.0,99.0,153.1,4.0,6.0,0.0,0.0,0.3875,0.0428,2587.0,2014-04-01 20:41:04,G08
2014-04-02,9.0,409.8,0.225,-0.0999999999999996,-0.0024999999999999,11.4,11.2,0.200000000000001,9.0,0.0,0.0,True,40.0,34.599999999999966,444.4,0.8649999999999991,0.0,0.0,11.4,11.3,0.0999999999999996,9.0,0.0,0.0,True,40.0,65.80000000000001,510.2,1.6450000000000002,-1.200000000000001,-0.03,11.3,10.1,1.200000000000001,9.0,0.0,0.0,True,40.0,11.144,0.8999999999999999,-0.7,-0.72,-0.54,-0.23,0.042,383.0,6.683312551921141,3.2,-6.0,-8.0,0.9525,1.11,1.2,13.0,13.0,78.0,154.6,4.0,6.0,1.0,25.0,0.8144,0.0615,2590.0,2014-04-02 21:34:14,G10
2014-04-03,55.10000000000002,416.4,1.3775000000000006,0.6000000000000014,0.015,10.7,9.7,1.0,9.0,0.0,0.0,True,40.0,-22.30000000000001,412.1,-0.5575000000000003,-1.0,-0.025,10.3,9.3,1.0,9.0,0.0,0.0,True,40.0,86.39999999999998,476.2,2.16,0.0999999999999996,0.0024999999999999,9.5,8.6,0.9000000000000004,9.0,0.0,0.0,True,40.0,9.724,1.775,-0.8,0.3899999999999999,-1.1625,-0.63,-0.351,390.0,6.879922480183431,3.4,-3.75,-4.0,1.9325,2.14,2.725,13.0,13.0,78.0,153.0,4.0,6.0,0.0,0.0,0.3727,0.0419,2595.0,2014-04-03 20:28:04,G08
2014-04-04,10.0,407.3,0.2222222222222222,-0.9000000000000004,-0.02,12.3,11.2,1.1000000000000014,4.0,0.0,4.999999999999929,True,45.0,46.69999999999999,454.0,1.5566666666666662,0.0,0.0,11.6,11.4,0.1999999999999993,3.0,4.999999999999929,-4.999999999999929,True,30.0,23.899999999999977,477.9,0.5311111111111106,-2.1,-0.0466666666666666,11.4,9.3,2.1,4.0,-4.999999999999929,0.0,True,45.0,11.0,-0.525,-1.1,-0.45,-0.1275,0.08,0.159,414.0,4.08248290463863,-3.0,-1.0,-2.0,0.93,0.95,1.4249999999999998,8.0,13.0,48.0,157.0,4.0,6.0,,,,,,,
2014-04-05,1.099999999999966,406.9,0.0244444444444436,-0.0999999999999996,-0.0022222222222222,10.7,10.55,0.1499999999999985,4.0,0.0,4.999999999999929,True,45.0,13.0,415.9,0.4333333333333333,0.0,0.0,10.6,10.6,0.0,3.0,4.999999999999929,-4.999999999999929,True,30.0,,,,,,,,,0.0,-4.999999999999929,-15.0,False,,10.46875,-2.575,-4.8,0.97,-1.1,0.22,-0.766,441.25,6.551081335677848,3.5,-0.75,-9.0,8.5575,13.03,8.775,26.5,30.0,159.0,142.3,4.0,6.0,,,,,,,
2014-04-06,14.400000000000034,433.1,0.3200000000000008,-0.4000000000000003,-0.0088888888888888,12.6,12.2,0.4000000000000003,4.0,0.0,4.999999999999929,True,45.0,13.399999999999975,446.5,0.4466666666666659,-0.8999999999999986,-0.0299999999999999,12.2,11.3,0.8999999999999986,3.0,4.999999999999929,-4.999999999999929,True,30.0,45.60000000000002,492.1,1.013333333333334,-1.9000000000000004,-0.0422222222222222,11.3,9.4,1.9000000000000004,4.0,-4.999999999999929,0.0,True,45.0,11.38888888888889,-2.775,-4.5,-1.57,0.4425,0.79,0.299,355.0,7.831560082980487,5.2,-3.75,-10.0,1.9575,2.51,2.175,5.0,10.0,30.0,141.2,4.0,6.0,,,,,,,
2014-04-07,,,,,,,,,0.0,15.0,4.999999999999929,False,,39.80000000000001,453.3,1.326666666666667,-0.1999999999999993,-0.0066666666666666,11.7,11.5,0.1999999999999993,3.0,4.999999999999929,-4.999999999999929,True,30.0,-6.600000000000023,480.1,-0.1466666666666671,-2.0,-0.0444444444444444,11.5,9.5,2.0,4.0,-4.999999999999929,0.0,True,45.0,11.4,0.0249999999999999,-1.3,0.51,-0.1925,0.16,-0.159,432.5,21.01586702153082,13.2,-21.0,-23.0,0.9425,1.24,0.7749999999999999,17.0,17.0,102.0,140.2,4.0,6.0,,,,,,,
2014-04-08,23.399999999999977,407.5,0.5199999999999995,0.0,0.0,10.3,9.4,0.9000000000000004,4.0,0.0,4.999999999999929,True,45.0,-17.399999999999977,407.5,-0.5799999999999993,-0.8999999999999986,-0.0299999999999999,10.2,9.3,0.8999999999999986,3.0,4.999999999999929,-4.999999999999929,True,30.0,63.79999999999996,453.9,1.4177777777777767,-0.4000000000000003,-0.0088888888888888,9.3,8.9,0.4000000000000003,4.0,-4.999999999999929,0.0,True,45.0,9.58888888888889,3.725000000000001,1.9,-0.93,-1.625,-1.31,0.1379999999999999,440.0,4.96655480858378,0.2,-12.0,-16.0,0.6549999999999999,0.72,1.025,3.5,7.0,21.0,132.4,4.0,6.0,0.0,0.0,0.374,0.0483,2611.0,2014-04-08 23:55:04,G07
2014-04-09,-5.599999999999966,395.9,-0.1244444444444436,-0.7000000000000011,-0.0155555555555555,12.3,11.5,0.8000000000000007,4.0,0.0,4.999999999999929,True,45.0,35.69999999999999,426.0,1.1899999999999995,0.0,0.0,11.6,11.6,0.0,3.0,4.999999999999929,-4.999999999999929,True,30.0,23.600000000000023,476.3,0.5244444444444449,-2.1,-0.0466666666666666,11.6,9.5,2.1,4.0,-4.999999999999929,0.0,True,45.0,11.355555555555556,0.575,-0.2,0.2699999999999999,-0.665,-0.29,-0.228,425.25,15.283433296656002,11.3,-13.75,-16.0,0.335,0.44,2.0250000000000004,10.0,13.0,60.0,131.0,4.0,6.0,1.0,16.0,0.7123,0.065,2139.0,2014-04-09 21:01:04,G10
2014-04-10,27.30000000000001,430.4,0.6066666666666669,-1.0,-0.0222222222222222,13.1,12.0,1.0999999999999996,4.0,0.0,4.999999999999929,True,45.0,56.599999999999966,474.2,1.8866666666666656,-0.6999999999999993,-0.0233333333333333,12.0,11.3,0.6999999999999993,3.0,4.999999999999929,-4.999999999999929,True,30.0,26.90000000000004,501.1,0.5977777777777785,-3.1000000000000014,-0.0688888888888889,11.3,8.2,3.1000000000000014,4.0,-4.999999999999929,0.0,True,45.0,11.233333333333334,4.05,3.5,0.1399999999999999,-1.7174999999999998,-1.21,-0.2669999999999999,396.25,5.315072906367325,4.1,-1.5,-2.0,0.8700000000000001,0.93,1.7000000000000002,5.0,7.0,30.0,137.3,4.0,6.0,1.0,52.0,0.811,0.0873,2487.0,2014-04-10 20:56:04,G10
2014-04-11,-22.100000000000023,407.6,-0.4911111111111116,-1.5,-0.0333333333333333,13.0,11.5,1.5,4.0,0.0,4.999999999999929,True,45.0,58.400000000000034,441.1,1.946666666666668,0.0999999999999996,0.0033333333333333,11.6,11.5,0.0999999999999996,3.0,4.999999999999929,-4.999999999999929,True,30.0,91.89999999999998,533.0,2.0422222222222217,-2.7,-0.0599999999999999,11.6,8.9,2.7,4.0,-4.999999999999929,0.0,True,45.0,11.533333333333337,-8.274999999999999,-8.7,-0.0299999999999995,2.57,2.77,0.0959999999999999,354.75,4.031128874149275,-2.5,-46.75,-61.0,1.525,1.68,-0.275,27.0,37.0,162.0,138.2,4.0,6.0,1.0,3.0,0.5209,0.0809,359.0,2014-04-11 23:28:04,G07
