FECHA,Mh_PRECURSOR,Mv_PRECURSOR,Dh_TOTAL,F_DENSITY,Delta_foF2_1,slope_foF2_1,foF2_max_SW,foF2_min_SW,foF2_drop_SW,num_muestras_foF2,delta_inicio_min,delta_fin_min,extremos_validos,hora_inicio_real,hora_fin_real,tiempo_real_min,num_registros,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18,TARGET,VECES_SUPERO_UMBRAL,S4_MAX,S4_MEAN,TOTAL_MEDICIONES,HORA_PICO,PRN_PICO
2015-04-01,454.1,1.111666666666667,133.40000000000003,9.54,0.0,0.0,10.9,9.0,1.9000000000000004,10.0,0.0,0.0,True,2015-04-01 17:00:00,2015-04-01 19:00:00,120.0,10.0,0.825,-1.8,1.91,-2.9875,-2.09,-0.6030000000000001,421.0,9.899494936611664,-7.2,-8.5,-11.0,4.675000000000001,4.94,12.025,20.0,20.0,120.0,123.9,4.0,6.0,0.0,0.0,0.3518,0.049,2642.0,2015-04-01 22:51:04,G05
2015-04-02,482.7,0.9091666666666663,109.09999999999997,11.955555555555556,1.0,0.0083333333333333,13.0,9.5,3.5,9.0,0.0,0.0,True,2015-04-02 17:00:00,2015-04-02 19:00:00,120.0,9.0,5.05,2.6,0.52,-2.4625,-1.33,-0.1749999999999999,463.75,3.8622100754188224,2.5,-29.5,-35.0,6.795,7.58,1.925,40.0,47.0,240.0,121.2,4.0,6.0,0.0,0.0,0.3851,0.0487,2645.0,2015-04-02 21:10:04,G20
2015-04-03,488.6,0.7166666666666667,86.0,10.444444444444445,-3.9,-0.0325,12.3,8.4,3.9,9.0,0.0,0.0,True,2015-04-03 17:00:00,2015-04-03 19:00:00,120.0,9.0,-1.15,-2.5,0.6799999999999999,-0.1374999999999999,0.5,-0.4429999999999999,551.75,1.707825127659933,1.3,-28.5,-33.0,2.2175,2.3,2.325,25.0,30.0,150.0,119.8,4.0,6.0,1.0,9.0,0.7935,0.0663,2275.0,2015-04-03 23:34:04,G13
2015-04-05,452.4,0.7149999999999996,85.79999999999995,11.75,-1.0,-0.0083333333333333,12.5,11.5,1.0,8.0,0.0,0.0,True,2015-04-05 17:00:00,2015-04-05 19:00:00,120.0,8.0,-1.15,-2.7,0.7,0.2125,0.85,-0.209,564.5,11.030261405182864,-5.8,-13.5,-17.0,2.0025,2.4,1.15,20.0,30.0,120.0,122.3,4.0,6.0,1.0,3.0,0.4402,0.0638,2630.0,2015-04-05 20:41:04,G17
2015-04-06,434.4,0.7474999999999999,89.69999999999999,10.218,-1.8000000000000007,-0.015,11.4,8.7,2.700000000000001,25.0,0.0,0.0,True,2015-04-06 17:00:00,2015-04-06 19:00:00,120.0,25.0,0.4750000000000001,-0.9,-0.97,-0.3849999999999999,0.04,0.28,449.25,3.5,-2.1,-16.25,-19.0,1.1575,1.25,0.825,8.5,10.0,51.0,125.8,4.0,6.0,1.0,31.0,0.8071,0.0804,2629.0,2015-04-06 20:58:04,G28
2015-04-07,438.4,0.9375,112.5,10.32,-1.5999999999999996,-0.0133333333333333,11.6,9.1,2.5,25.0,0.0,0.0,True,2015-04-07 17:00:00,2015-04-07 19:00:00,120.0,25.0,0.1249999999999999,-2.6,-0.8299999999999998,-0.4625,0.53,0.251,377.75,6.701989754294367,-4.9,-3.75,-8.0,1.3425,1.37,2.125,8.0,13.0,48.0,111.4,4.0,6.0,1.0,18.0,0.6912,0.0665,2620.0,2015-04-07 22:51:04,G05
2015-04-08,443.5,0.8941666666666668,107.3,9.716,-1.0,-0.0083333333333333,10.8,9.0,1.8000000000000007,25.0,0.0,0.0,True,2015-04-08 17:00:00,2015-04-08 19:00:00,120.0,25.0,-1.35,-3.0,-0.82,0.505,0.7,0.0779999999999999,331.75,2.8722813232690143,2.1,-2.5,-6.0,1.0225,1.08,-0.7,12.0,17.0,72.0,106.3,4.0,6.0,1.0,3.0,0.534,0.0654,2612.0,2015-04-08 21:19:34,G20
2015-04-09,467.8,1.0641666666666665,127.7,9.944444444444445,-2.2,-0.0183333333333333,11.5,5.7,5.8,9.0,0.0,0.0,True,2015-04-09 17:00:00,2015-04-09 19:00:00,120.0,9.0,-4.15,-6.8,-2.3200000000000003,0.9125,4.1,2.315,382.75,2.8722813232690143,1.5,-0.75,-28.0,6.577500000000001,7.8,2.225,23.5,27.0,141.0,111.6,4.0,6.0,1.0,148.0,0.8901,0.1442,2405.0,2015-04-09 22:51:04,G05
2015-04-13,450.7,0.5466666666666664,65.59999999999997,10.41111111111111,-3.3000000000000007,-0.0275,12.3,9.0,3.3000000000000007,9.0,0.0,0.0,True,2015-04-13 17:00:00,2015-04-13 19:00:00,120.0,9.0,0.5249999999999999,0.4,0.0499999999999999,-0.2324999999999999,-0.09,0.0009999999999999,311.25,8.341662504161466,-6.3,-5.25,-9.0,3.58,4.02,0.625,10.0,13.0,60.0,142.1,4.0,6.0,0.0,0.0,0.392,0.0593,2622.0,2015-04-13 22:49:04,G13
2015-04-15,435.2,0.7474999999999999,89.69999999999999,10.05263157894737,-0.8000000000000007,-0.0066666666666666,11.5,4.4,7.1,19.0,0.0,0.0,True,2015-04-15 17:00:00,2015-04-15 19:00:00,120.0,19.0,0.2,-0.8,-0.36,-0.1425,1.19,0.627,580.0,8.831760866327848,-6.8,-53.0,-54.0,5.0,5.09,0.0250000000000001,42.0,47.0,252.0,155.7,4.0,6.0,1.0,13.0,0.8319,0.0657,2610.0,2015-04-15 23:15:04,G13
2015-04-16,475.7,0.2688000000000002,33.60000000000002,8.459090909090909,-4.9,-0.0392,10.6,5.6,5.0,22.0,0.0,4.999999999999929,True,2015-04-16 17:00:00,2015-04-16 19:05:00,125.0,22.0,-0.925,-3.5,1.61,1.7075,3.98,-1.509,666.75,4.99165971062398,1.7,-78.25,-88.0,4.63,5.32,-3.475,56.5,60.0,339.0,151.3,4.0,6.0,1.0,1.0,0.5351,0.0627,2593.0,2015-04-16 19:53:04,G17
2015-04-17,473.6,0.5333333333333333,64.0,10.286956521739132,-2.299999999999999,-0.0191666666666666,11.6,8.8,2.799999999999999,23.0,0.0,0.0,True,2015-04-17 17:00:00,2015-04-17 19:00:00,120.0,23.0,0.625,0.1,-0.17,-0.3124999999999999,-0.12,-0.041,595.75,7.041543391425869,-4.7,-42.25,-44.0,1.9725,2.11,-0.0499999999999999,23.5,27.0,141.0,150.8,4.0,6.0,1.0,1.0,0.4361,0.0623,2574.0,2015-04-17 22:32:04,G07
2015-04-18,466.1,0.7100000000000004,85.20000000000005,10.233333333333333,-2.5,-0.0208333333333333,11.6,9.1,2.5,9.0,0.0,0.0,True,2015-04-18 17:00:00,2015-04-18 19:00:00,120.0,9.0,-0.0999999999999999,-1.5,-0.72,0.1525,1.07,0.525,490.5,5.196152422706632,-3.6,-38.0,-39.0,1.6375,1.74,-0.5249999999999999,30.0,33.0,180.0,148.9,4.0,6.0,1.0,1.0,0.4458,0.0538,2574.0,2015-04-18 20:08:04,G28
2015-04-19,414.7,0.1174999999999997,14.099999999999966,9.533333333333331,-1.3999999999999986,-0.0116666666666666,10.7,6.6,4.1,9.0,0.0,0.0,True,2015-04-19 17:00:00,2015-04-19 19:00:00,120.0,9.0,-1.775,-3.6,-0.61,0.8174999999999999,1.11,-0.0789999999999999,397.5,6.757711644237764,-5.2,-29.75,-34.0,2.76,2.99,-1.0,21.5,23.0,129.0,153.0,4.0,6.0,0.0,0.0,0.3963,0.0626,2563.0,2015-04-19 22:36:04,G13
2015-04-20,435.9,0.7433333333333333,89.19999999999999,11.0125,-0.5999999999999996,-0.0049999999999999,11.7,10.1,1.5999999999999996,8.0,0.0,0.0,True,2015-04-20 17:00:00,2015-04-20 19:00:00,120.0,8.0,1.3500000000000003,-4.7,-1.32,-2.185,1.14,0.946,445.25,10.5,7.3,-9.0,-16.0,5.2325,7.96,7.55,27.0,27.0,162.0,151.0,4.0,6.0,0.0,0.0,0.3846,0.0538,2316.0,2015-04-20 20:00:04,G23
2015-04-22,495.3,1.2883333333333336,154.60000000000002,9.27777777777778,-0.9000000000000004,-0.0075,10.2,8.4,1.799999999999999,9.0,0.0,0.0,True,2015-04-22 17:00:00,2015-04-22 19:00:00,120.0,9.0,0.325,-2.9,1.51,-0.9525,0.66,-0.7030000000000001,506.5,2.6457513110645907,0.0,-14.5,-18.0,2.2675,2.34,3.2,22.0,27.0,132.0,151.8,4.0,6.0,1.0,1.0,0.4005,0.0518,2515.0,2015-04-22 19:34:04,G17
2015-04-23,460.2,0.7224999999999999,86.69999999999999,9.966666666666669,-3.1,-0.0258333333333333,12.4,4.2,8.2,9.0,0.0,0.0,True,2015-04-23 17:00:00,2015-04-23 19:00:00,120.0,9.0,-0.2249999999999999,-1.0,-0.53,0.03,0.44,0.0599999999999999,404.75,2.753785273643051,2.1,-13.0,-14.0,1.0525,1.14,0.2249999999999999,8.0,13.0,48.0,142.0,4.0,6.0,0.0,0.0,0.369,0.0512,2504.0,2015-04-23 19:25:04,G17
2015-04-24,413.1,0.4691666666666668,56.30000000000001,8.577777777777778,-3.8,-0.0316666666666666,10.0,6.2,3.8,9.0,0.0,0.0,True,2015-04-24 17:00:00,2015-04-24 19:00:00,120.0,9.0,-0.35,-1.0,0.4199999999999999,0.04,0.34,-0.154,368.75,4.112987559751022,-0.1,-8.5,-9.0,0.9575,1.04,0.4,1.5,3.0,9.0,136.0,4.0,6.0,1.0,6.0,0.5431,0.0665,2493.0,2015-04-24 20:36:04,G20
2015-04-25,479.0,1.1925,143.10000000000002,8.588888888888889,-1.0999999999999996,-0.0091666666666666,9.4,7.9,1.5,9.0,0.0,0.0,True,2015-04-25 17:00:00,2015-04-25 19:00:00,120.0,9.0,1.55,1.1,0.16,-0.4375,-0.13,-0.059,325.25,2.0615528128088303,0.3,0.75,-1.0,1.755,1.88,0.0249999999999999,1.5,3.0,9.0,127.4,4.0,6.0,1.0,14.0,0.6844,0.0749,2486.0,2015-04-25 23:05:04,G02
2015-04-26,448.0,1.71,205.2,9.266666666666666,2.9000000000000004,0.0241666666666666,10.4,6.4,4.0,9.0,0.0,0.0,True,2015-04-26 17:00:00,2015-04-26 19:00:00,120.0,9.0,0.525,-1.1,-0.8700000000000001,-0.3299999999999999,0.12,0.172,304.0,2.943920288775949,1.0,0.25,-2.0,1.83,1.91,1.3,5.0,10.0,30.0,120.0,4.0,6.0,0.0,0.0,0.3885,0.052,2480.0,2015-04-26 23:55:04,G12
2015-04-27,425.3,0.3408333333333331,40.89999999999998,10.744444444444447,-1.799999999999999,-0.0149999999999999,11.4,9.4,2.0,9.0,0.0,0.0,True,2015-04-27 17:00:00,2015-04-27 19:00:00,120.0,9.0,-2.675,-3.8,0.53,1.375,1.66,-0.102,300.5,1.7320508075688772,-1.0,-30.5,-36.0,0.88,0.91,-4.675,15.0,17.0,90.0,108.9,4.0,6.0,0.0,0.0,0.3411,0.0513,2473.0,2015-04-27 23:49:04,G12
2015-04-28,451.1,1.5800000000000003,189.6,8.200000000000001,1.6999999999999993,0.0141666666666666,8.9,6.5,2.4000000000000004,9.0,0.0,0.0,True,2015-04-28 17:00:00,2015-04-28 19:00:00,120.0,9.0,0.1,-0.9,0.42,-0.0624999999999999,0.22,0.0809999999999999,314.5,5.802298395176403,-1.0,-6.25,-10.0,1.92,2.25,0.175,6.5,10.0,39.0,109.2,4.0,6.0,0.0,0.0,0.3154,0.0503,2466.0,2015-04-28 21:42:04,G07
2015-05-01,413.7,0.7958333333333333,95.5,8.788888888888888,-0.5,-0.0041666666666666,9.8,4.2,5.6000000000000005,9.0,0.0,0.0,True,2015-05-01 17:00:00,2015-05-01 19:00:00,120.0,9.0,1.925,-0.1,-1.5299999999999998,-1.875,-0.45,0.9200000000000002,417.5,11.958260743101398,-8.4,1.5,-4.0,1.9875,2.24,5.875,15.0,17.0,90.0,101.4,4.0,6.0,1.0,1.0,0.48,0.054,2373.0,2015-05-01 23:34:04,G12
2015-05-02,401.0,0.97,116.39999999999998,9.444444444444445,0.5999999999999996,0.0049999999999999,10.0,8.5,1.5,9.0,0.0,0.0,True,2015-05-02 17:00:00,2015-05-02 19:00:00,120.0,9.0,-1.5,-2.7,0.0199999999999999,-0.1874999999999999,0.77,-0.061,419.0,15.3405779986718,2.0,-14.75,-21.0,1.135,1.37,3.875,28.5,30.0,171.0,107.3,4.0,6.0,1.0,1.0,0.4208,0.0514,2364.0,2015-05-02 23:30:04,G12
2015-05-03,393.8,0.6700000000000003,80.40000000000003,10.925,-1.1999999999999993,-0.0099999999999999,11.5,10.3,1.1999999999999993,8.0,0.0,0.0,True,2015-05-03 17:00:00,2015-05-03 19:00:00,120.0,8.0,0.825,-2.0,-0.0499999999999999,-0.8775000000000001,0.19,0.117,385.5,8.06225774829855,2.2,-4.75,-9.0,1.2,1.38,3.3,10.0,13.0,60.0,112.9,4.0,6.0,1.0,1.0,0.4964,0.052,2359.0,2015-05-03 23:26:04,G12
2015-05-04,409.5,0.7133333333333335,85.60000000000002,9.55,-1.0500000000000007,-0.00875,10.4,9.0,1.4000000000000004,9.0,0.0,0.0,True,2015-05-04 17:00:00,2015-05-04 19:00:00,120.0,9.0,1.6,1.0,0.22,-0.7324999999999999,-0.49,-0.103,355.0,4.320493798938574,2.0,-7.0,-10.0,0.8875000000000001,0.93,1.425,13.5,17.0,81.0,125.4,4.0,6.0,1.0,3.0,0.5029,0.059,2353.0,2015-05-04 23:22:04,G12
2015-05-05,442.8,0.8641666666666671,103.70000000000005,9.2625,-2.1,-0.0174999999999999,10.4,8.3,2.1,8.0,0.0,0.0,True,2015-05-05 17:00:00,2015-05-05 19:00:00,120.0,8.0,-0.5249999999999999,-1.2,-0.2099999999999999,0.275,0.59,-0.0839999999999999,363.0,7.438637868140466,-5.4,-6.75,-12.0,1.2025,1.29,-0.625,15.0,20.0,90.0,130.0,4.0,6.0,1.0,1.0,0.423,0.0529,2344.0,2015-05-05 23:17:04,G12
2015-05-06,421.6,0.5350000000000004,64.20000000000005,9.075,-0.2999999999999989,-0.0024999999999999,9.6,8.8,0.7999999999999989,8.0,0.0,0.0,True,2015-05-06 17:00:00,2015-05-06 19:00:00,120.0,8.0,6.9,6.2,0.5799999999999998,-4.79,-4.62,0.0839999999999999,430.5,3.1091263510296048,0.0,-15.0,-23.0,4.9375,6.52,11.125,25.0,33.0,150.0,138.6,4.0,6.0,1.0,2.0,0.4238,0.051,2329.0,2015-05-06 23:13:04,G12
2015-05-07,394.7,0.1599999999999999,19.19999999999999,9.077777777777778,-1.299999999999999,-0.0108333333333333,10.8,4.1,6.700000000000001,9.0,0.0,0.0,True,2015-05-07 17:00:00,2015-05-07 19:00:00,120.0,9.0,0.7,-1.2,0.2399999999999998,0.1,1.07,0.2279999999999999,404.0,7.393691004272944,-3.2,-7.5,-13.0,2.4475,3.94,-2.075,17.0,17.0,102.0,149.2,4.0,6.0,0.0,0.0,0.371,0.0512,2407.0,2015-05-07 23:11:04,G12
2015-05-08,425.8,0.3950000000000003,47.400000000000034,9.733333333333334,-1.299999999999999,-0.0108333333333333,10.6,9.3,1.299999999999999,9.0,0.0,0.0,True,2015-05-08 17:00:00,2015-05-08 19:00:00,120.0,9.0,1.65,0.4,-0.82,-0.1,0.23,0.242,386.75,6.701989754294367,-4.9,-10.25,-12.0,1.7325000000000002,1.82,-2.7750000000000004,7.0,7.0,42.0,152.6,4.0,6.0,0.0,0.0,0.3519,0.0504,2402.0,2015-05-08 23:06:04,G12
2015-05-09,391.7,0.96,115.2,9.083333333333332,2.1000000000000005,0.0175,9.8,7.2,2.6000000000000005,9.0,0.0,0.0,True,2015-05-09 17:00:00,2015-05-09 19:00:00,120.0,9.0,0.35,-0.8,-0.58,-0.6950000000000001,-0.49,0.0,364.0,18.239152027072603,-12.2,0.25,-3.0,1.6324999999999998,3.6,3.75,25.0,27.0,150.0,157.5,4.0,6.0,0.0,0.0,0.3865,0.0497,2395.0,2015-05-09 23:02:04,G12
2015-05-10,405.1,0.1533333333333336,18.40000000000004,9.772222222222222,-1.4499999999999993,-0.0120833333333333,10.75,9.3,1.4499999999999993,9.0,0.0,0.0,True,2015-05-10 17:00:00,2015-05-10 19:00:00,120.0,9.0,-9.55,-11.2,-1.1599999999999997,2.055,2.97,0.6280000000000001,354.0,4.96655480858378,-1.2,-25.25,-29.0,0.9625,1.43,6.624999999999999,18.5,20.0,111.0,163.1,4.0,6.0,0.0,0.0,0.3924,0.0509,2388.0,2015-05-10 22:58:04,G12
2015-05-11,477.9,1.0674999999999997,128.09999999999997,9.114285714285714,-0.3999999999999986,-0.0033333333333333,9.3,8.8,0.5,7.0,0.0,0.0,True,2015-05-11 17:00:00,2015-05-11 19:00:00,120.0,7.0,-0.175,-5.0,-1.59,-0.1975,1.45,0.5349999999999999,345.0,1.4142135623730951,0.0,-24.75,-35.0,4.1925,4.64,1.7499999999999998,30.0,37.0,180.0,166.2,4.0,6.0,1.0,1.0,0.4388,0.0528,2382.0,2015-05-11 22:54:04,G12
2015-05-12,495.5,1.0516666666666663,126.2,10.253125,-2.325000000000001,-0.019375,11.425,9.1,2.325000000000001,8.0,0.0,0.0,True,2015-05-12 17:00:00,2015-05-12 19:00:00,120.0,8.0,1.225,-2.1,1.41,0.3349999999999999,2.59,0.0579999999999999,479.5,48.58326186386967,35.6,-17.5,-22.0,6.494999999999999,8.87,-4.75,30.0,30.0,180.0,166.5,4.0,6.0,1.0,71.0,0.9302,0.1003,2018.0,2015-05-12 22:40:04,G15
2015-05-13,449.8,0.8974999999999999,107.7,9.233333333333333,-0.5999999999999996,-0.0049999999999999,9.7,8.9,0.7999999999999989,9.0,0.0,0.0,True,2015-05-13 17:00:00,2015-05-13 19:00:00,120.0,9.0,0.575,-0.6,0.85,0.0874999999999999,1.63,-1.1629999999999998,709.0,15.59914527573012,7.6,-44.75,-63.0,2.0175,2.35,-1.625,46.5,50.0,279.0,160.3,4.0,6.0,0.0,0.0,0.3305,0.0502,2369.0,2015-05-13 22:44:04,G12
2015-05-14,413.9,0.0516666666666665,6.199999999999989,10.011111111111113,-3.2,-0.0266666666666666,11.5,8.3,3.2,9.0,0.0,0.0,True,2015-05-14 17:00:00,2015-05-14 19:00:00,120.0,9.0,2.0,0.3,0.12,-0.625,0.48,-0.1199999999999999,601.25,18.89223826513594,-13.7,-22.5,-30.0,1.46,1.62,-1.9,25.0,30.0,150.0,148.2,4.0,6.0,0.0,0.0,0.3447,0.0497,2362.0,2015-05-14 22:40:04,G12
2015-05-19,393.1,0.7483333333333334,89.80000000000001,9.51875,-0.25,-0.0020833333333333,10.0,9.2,0.8000000000000007,8.0,0.0,0.0,True,2015-05-19 17:00:00,2015-05-19 19:00:00,120.0,8.0,2.4,-0.1,0.9399999999999998,-1.5125,-0.35,-0.321,506.0,10.23067283548187,-2.0,-19.25,-20.0,1.965,2.12,1.95,13.5,20.0,81.0,112.9,4.0,6.0,0.0,0.0,0.3135,0.0526,2332.0,2015-05-19 22:21:04,G12
2015-05-20,378.8,0.2925000000000002,35.10000000000002,8.844444444444445,-1.0,-0.0083333333333333,9.3,8.2,1.1000000000000014,9.0,0.0,0.0,True,2015-05-20 17:00:00,2015-05-20 19:00:00,120.0,9.0,-1.275,-1.5,0.19,0.2825,0.36,-0.0649999999999999,400.5,5.066228051190222,-1.6,-24.75,-26.0,0.2875,0.33,1.1749999999999998,3.5,7.0,21.0,108.2,4.0,6.0,0.0,0.0,0.3261,0.0529,2329.0,2015-05-20 20:52:04,G06
2015-05-21,389.3,0.2966666666666668,35.60000000000002,8.690000000000001,-1.4000000000000004,-0.0116666666666666,9.3,7.9,1.4000000000000004,10.0,0.0,0.0,True,2015-05-21 17:00:00,2015-05-21 19:00:00,120.0,10.0,-1.05,-2.0,-0.18,0.2375,0.99,0.215,394.25,12.12091855705114,6.7,-9.5,-11.0,0.5075000000000001,0.72,1.0750000000000002,8.5,10.0,51.0,104.3,4.0,6.0,0.0,0.0,0.3029,0.0516,2328.0,2015-05-21 20:25:04,G13
2015-05-22,426.5,0.1458333333333333,17.5,7.605555555555556,-2.95,-0.0245833333333333,8.85,5.9,2.95,9.0,0.0,0.0,True,2015-05-22 17:00:00,2015-05-22 19:00:00,120.0,9.0,1.475,1.1,-0.13,-0.6375,-0.51,0.057,334.25,2.217355782608345,1.1,-3.5,-7.0,0.4275,0.5,1.475,1.5,3.0,9.0,101.6,4.0,6.0,0.0,0.0,0.3525,0.0551,2330.0,2015-05-22 21:21:04,G02
2015-05-23,382.0,0.5675000000000002,68.10000000000002,9.522222222222222,-2.6,-0.0216666666666666,11.0,8.4,2.6,9.0,0.0,0.0,True,2015-05-23 17:00:00,2015-05-23 19:00:00,120.0,9.0,-0.125,-0.8,-0.07,0.365,0.62,0.0579999999999999,325.25,0.957427107756338,0.5,3.5,1.0,2.02,2.3,-2.825,5.0,7.0,30.0,100.2,4.0,6.0,0.0,0.0,0.3461,0.0509,2307.0,2015-05-23 20:06:04,G07
