FECHA,Δh1,Mh1,Mv1,Delta_foF2_1,slope_foF2_1,foF2_max_SW1,foF2_min_SW1,foF2_drop_SW1,num_muestras_foF2_SW1,delta_inicio_SW1_min,delta_fin_SW1_min,extremos_validos_SW1,tiempo_real_SW1_min,Δh2,Mh2,Mv2,Delta_foF2_2,slope_foF2_2,foF2_max_SW2,foF2_min_SW2,foF2_drop_SW2,num_muestras_foF2_SW2,delta_inicio_SW2_min,delta_fin_SW2_min,extremos_validos_SW2,tiempo_real_SW2_min,F_DENSITY,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18,TARGET,VECES_SUPERO_UMBRAL,S4_MAX,S4_MEAN,TOTAL_MEDICIONES,HORA_PICO,PRN_PICO
2015-03-31,,,,,,,,,0.0,,,False,,,492.0,,,,10.7,,,1.0,60.0,0.0,False,,10.7,7.5,7.5,,-4.89,-4.89,,401.0,,,-13.0,-13.0,2.35,2.35,11.0,,,,123.9,1.0,0.0,1.0,13.0,0.7798,0.061,1717.0,2015-03-31 23:59:04,G13
2015-04-01,,,,,,,,,0.0,0.0,10.000000000000073,False,,,,,,,,,,0.0,10.000000000000073,0.0,False,,9.54,0.825,-1.8,1.91,-2.9875,-2.09,-0.6030000000000001,421.0,9.899494936611664,-7.2,-8.5,-11.0,4.675000000000001,4.94,12.025,20.0,20.0,120.0,123.9,4.0,6.0,0.0,0.0,0.3518,0.049,2642.0,2015-04-01 22:51:04,G05
2015-04-02,-41.80000000000001,437.6,-0.6966666666666669,-2.2,-0.0366666666666666,13.0,9.5,3.5,5.0,0.0,0.0,True,60.0,150.89999999999998,482.7,2.515,3.2,0.0533333333333333,12.7,9.5,3.2,5.0,0.0,0.0,True,60.0,11.955555555555556,5.05,2.6,0.52,-2.4625,-1.33,-0.1749999999999999,463.75,3.8622100754188224,2.5,-29.5,-35.0,6.795,7.58,1.925,40.0,47.0,240.0,121.2,4.0,6.0,0.0,0.0,0.3851,0.0487,2645.0,2015-04-02 21:10:04,G20
2015-04-03,48.099999999999966,450.7,0.8016666666666661,-1.6000000000000014,-0.0266666666666666,12.3,10.7,1.6000000000000014,5.0,0.0,0.0,True,60.0,37.900000000000034,488.6,0.6316666666666673,-2.299999999999999,-0.0383333333333333,10.7,8.4,2.299999999999999,5.0,0.0,0.0,True,60.0,10.444444444444445,-1.15,-2.5,0.6799999999999999,-0.1374999999999999,0.5,-0.4429999999999999,551.75,1.707825127659933,1.3,-28.5,-33.0,2.2175,2.3,2.325,25.0,30.0,150.0,119.8,4.0,6.0,1.0,9.0,0.7935,0.0663,2275.0,2015-04-03 23:34:04,G13
2015-04-04,,,,,,,,,0.0,15.0,0.0,False,,98.3,482.6,1.6383333333333334,-1.0,-0.0166666666666666,11.1,9.5,1.5999999999999996,5.0,0.0,0.0,True,60.0,10.8125,2.725,1.6,-0.5900000000000001,-0.8949999999999999,-0.72,0.144,538.25,14.84082207965583,9.3,-12.5,-15.0,2.305,2.48,-1.175,18.5,20.0,111.0,122.4,4.0,6.0,1.0,35.0,1.2969,0.0928,2627.0,2015-04-04 23:26:04,G13
2015-04-05,1.3999999999999773,368.0,0.0233333333333329,-0.9000000000000004,-0.015,12.5,11.5,1.0,4.0,0.0,0.0,True,60.0,84.39999999999998,452.4,1.4066666666666665,-0.0999999999999996,-0.0016666666666666,11.6,11.5,0.0999999999999996,5.0,0.0,0.0,True,60.0,11.75,-1.15,-2.7,0.7,0.2125,0.85,-0.209,564.5,11.030261405182864,-5.8,-13.5,-17.0,2.0025,2.4,1.15,20.0,30.0,120.0,122.3,4.0,6.0,1.0,3.0,0.4402,0.0638,2630.0,2015-04-05 20:41:04,G17
2015-04-06,24.30000000000001,406.4,0.4050000000000002,-0.0999999999999996,-0.0016666666666666,11.4,10.25,1.1500000000000004,13.0,0.0,0.0,True,60.0,65.39999999999998,434.4,1.0899999999999996,-1.700000000000001,-0.0283333333333333,10.6,8.7,1.9000000000000004,13.0,0.0,0.0,True,60.0,10.218,0.4750000000000001,-0.9,-0.97,-0.3849999999999999,0.04,0.28,449.25,3.5,-2.1,-16.25,-19.0,1.1575,1.25,0.825,8.5,10.0,51.0,125.8,4.0,6.0,1.0,31.0,0.8071,0.0804,2629.0,2015-04-06 20:58:04,G28
2015-04-07,3.400000000000034,364.6,0.0566666666666672,-1.5999999999999996,-0.0266666666666666,11.6,9.3,2.299999999999999,13.0,0.0,0.0,True,60.0,109.09999999999997,438.4,1.8183333333333327,0.0,0.0,11.2,9.1,2.1,13.0,0.0,0.0,True,60.0,10.32,0.1249999999999999,-2.6,-0.8299999999999998,-0.4625,0.53,0.251,377.75,6.701989754294367,-4.9,-3.75,-8.0,1.3425,1.37,2.125,8.0,13.0,48.0,111.4,4.0,6.0,1.0,18.0,0.6912,0.0665,2620.0,2015-04-07 22:51:04,G05
2015-04-08,57.5,393.7,0.9583333333333334,0.5,0.0083333333333333,10.8,9.0,1.8000000000000007,13.0,0.0,0.0,True,60.0,49.80000000000001,443.5,0.8300000000000002,-1.5,-0.025,10.8,9.0,1.8000000000000007,13.0,0.0,0.0,True,60.0,9.716,-1.35,-3.0,-0.82,0.505,0.7,0.0779999999999999,331.75,2.8722813232690143,2.1,-2.5,-6.0,1.0225,1.08,-0.7,12.0,17.0,72.0,106.3,4.0,6.0,1.0,3.0,0.534,0.0654,2612.0,2015-04-08 21:19:34,G20
2015-04-09,-13.800000000000011,352.6,-0.2300000000000001,-2.1,-0.0349999999999999,11.5,8.9,2.6,5.0,0.0,0.0,True,60.0,141.5,467.8,2.3583333333333334,-0.0999999999999996,-0.0016666666666666,11.3,5.7,5.6000000000000005,5.0,0.0,0.0,True,60.0,9.944444444444445,-4.15,-6.8,-2.3200000000000003,0.9125,4.1,2.315,382.75,2.8722813232690143,1.5,-0.75,-28.0,6.577500000000001,7.8,2.225,23.5,27.0,141.0,111.6,4.0,6.0,1.0,148.0,0.8901,0.1442,2405.0,2015-04-09 22:51:04,G05
