FECHA,Mh_PRECURSOR,Mv_PRECURSOR,Dh_TOTAL,F_DENSITY,Delta_foF2_1,slope_foF2_1,foF2_max_SW,foF2_min_SW,foF2_drop_SW,num_muestras_foF2,delta_inicio_min,delta_fin_min,extremos_validos,hora_inicio_real,hora_fin_real,tiempo_real_min,num_registros,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18,TARGET,VECES_SUPERO_UMBRAL,S4_MAX,S4_MEAN,TOTAL_MEDICIONES,HORA_PICO,PRN_PICO
2015-01-07,380.6,-0.2216666666666668,-26.600000000000023,11.477777777777778,-1.0999999999999996,-0.0091666666666666,11.7,10.4,1.299999999999999,9.0,0.0,0.0,True,2015-01-07 17:00:00,2015-01-07 19:00:00,120.0,9.0,-0.8500000000000001,-2.7,-1.5000000000000002,0.2875,1.65,0.283,470.25,10.21028892833107,3.1,-48.25,-54.0,6.065,9.86,0.6749999999999998,26.5,33.0,159.0,142.4,4.0,6.0,1.0,15.0,0.8028,0.0638,2688.0,2015-01-07 21:12:04,G16
2015-01-08,445.9,0.8033333333333336,96.40000000000003,12.066666666666665,-1.3000000000000007,-0.0108333333333333,12.8,11.1,1.700000000000001,15.0,0.0,0.0,True,2015-01-08 17:00:00,2015-01-08 19:00:00,120.0,15.0,-0.8249999999999997,-2.8,1.5299999999999998,0.3424999999999999,1.4,-0.657,483.75,4.7871355387816905,-2.9,-39.0,-42.0,1.885,1.91,0.3,22.0,27.0,132.0,152.0,4.0,6.0,1.0,25.0,1.0123,0.0813,2570.0,2015-01-08 21:11:04,G16
2015-01-09,457.5,0.4158333333333331,49.89999999999998,11.41,-0.3000000000000007,-0.0025,11.6,10.9,0.6999999999999993,20.0,0.0,0.0,True,2015-01-09 17:00:00,2015-01-09 19:00:00,120.0,20.0,-2.225,-3.6,-0.8300000000000001,0.51,1.19,0.394,410.0,2.943920288775949,-2.0,-27.5,-32.0,1.205,1.33,2.825,15.0,20.0,90.0,146.2,4.0,6.0,0.0,0.0,0.3065,0.0677,1456.0,2015-01-09 23:04:04,G03
2015-01-10,435.5,0.5641666666666666,67.69999999999999,11.915625,-1.200000000000001,-0.01,12.4,11.1,1.3000000000000007,8.0,0.0,0.0,True,2015-01-10 17:00:00,2015-01-10 19:00:00,120.0,8.0,0.1499999999999999,-3.4,-2.36,-0.7225,0.59,0.849,475.5,22.47220505424423,16.2,-17.25,-20.0,1.345,1.46,4.6,8.5,10.0,51.0,146.9,4.0,6.0,1.0,31.0,0.8147,0.0842,2696.0,2015-01-10 23:02:04,G32
2015-01-11,419.6,0.2091666666666668,25.100000000000023,8.8875,0.5,0.0041666666666666,9.1,8.6,0.5,8.0,0.0,0.0,True,2015-01-11 17:00:00,2015-01-11 19:00:00,120.0,8.0,0.525,-0.6,0.39,-0.7224999999999999,-0.21,-0.1989999999999999,422.75,5.377421934967226,0.3,-27.5,-29.0,0.8225,0.92,3.7,23.5,27.0,141.0,148.6,4.0,6.0,1.0,12.0,0.9508,0.0734,2585.0,2015-01-11 21:06:04,G16
2015-01-12,429.2,-0.0841666666666668,-10.100000000000025,10.2,-0.5999999999999996,-0.0049999999999999,10.6,9.5,1.0999999999999996,9.0,0.0,0.0,True,2015-01-12 17:00:00,2015-01-12 19:00:00,120.0,9.0,0.425,-2.3,0.6099999999999999,-0.5900000000000001,0.78,-0.392,419.0,16.268579122549905,-0.4,-22.25,-25.0,1.7875,2.03,2.8,21.5,23.0,129.0,153.4,4.0,6.0,0.0,0.0,0.3588,0.0529,2718.0,2015-01-12 20:52:04,G16
2015-01-13,411.8,-0.0116666666666669,-1.400000000000034,9.6125,-0.1999999999999993,-0.0016666666666666,9.9,9.3,0.5999999999999996,8.0,0.0,0.0,True,2015-01-13 17:00:00,2015-01-13 19:00:00,120.0,8.0,-0.4499999999999999,-2.0,0.22,-0.3125,0.41,-0.149,407.5,4.795831523312719,0.8,-24.0,-26.0,1.5825,1.68,3.5250000000000004,20.0,20.0,120.0,999.9,4.0,6.0,1.0,13.0,0.7107,0.0601,2735.0,2015-01-13 20:56:04,G16
2015-01-17,465.9,0.4349999999999999,52.19999999999999,10.37857142857143,-3.4000000000000004,-0.0283333333333333,11.8,8.1,3.700000000000001,7.0,0.0,0.0,True,2015-01-17 17:00:00,2015-01-17 19:00:00,120.0,7.0,0.7,-1.1,-0.82,-0.4725,0.03,0.1569999999999999,329.75,4.924428900898052,1.5,-11.75,-13.0,1.16,1.27,2.075,10.0,17.0,60.0,118.0,4.0,6.0,1.0,12.0,0.8914,0.0723,2760.0,2015-01-17 20:43:04,G23
2015-01-24,416.7,0.475833333333333,57.099999999999966,10.44,-0.9000000000000004,-0.0075,10.8,9.9,0.9000000000000004,5.0,0.0,0.0,True,2015-01-24 17:00:00,2015-01-24 19:00:00,120.0,5.0,0.975,0.4,0.43,0.1399999999999999,0.47,-0.274,359.75,4.573474244670748,-0.3,-8.25,-10.0,1.9675,2.33,-3.175,23.0,23.0,138.0,121.4,4.0,6.0,1.0,12.0,0.749,0.0814,2781.0,2015-01-24 22:49:04,G07
2015-01-25,402.1,0.2808333333333337,33.700000000000045,9.36,0.200000000000001,0.0016666666666666,9.5,9.2,0.3000000000000007,5.0,0.0,0.0,True,2015-01-25 17:00:00,2015-01-25 19:00:00,120.0,5.0,-1.175,-5.5,-1.25,1.2525,2.81,0.481,354.5,8.266397845091497,6.0,-3.5,-10.0,3.2525,3.52,-5.975,20.0,27.0,120.0,122.7,4.0,6.0,1.0,1.0,0.4113,0.0504,2777.0,2015-01-25 19:59:04,G16
