FECHA,Mh_PRECURSOR,Mv_PRECURSOR,Dh_TOTAL,F_DENSITY,Delta_foF2_1,slope_foF2_1,foF2_max_SW,foF2_min_SW,foF2_drop_SW,num_muestras_foF2,delta_inicio_min,delta_fin_min,extremos_validos,hora_inicio_real,hora_fin_real,tiempo_real_min,num_registros,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18,TARGET,VECES_SUPERO_UMBRAL,S4_MAX,S4_MEAN,TOTAL_MEDICIONES,HORA_PICO,PRN_PICO
2015-03-01,435.9,-0.3533333333333331,-42.39999999999998,10.657142857142858,-3.8000000000000007,-0.0316666666666666,12.8,9.0,3.8000000000000007,7,0.0,0.0,True,2015-03-01 17:00:00,2015-03-01 19:00:00,120.0,7,0.4,-1.5,-0.3799999999999999,1.02,1.95,0.242,472.0,22.0454076850486,-16.2,-23.75,-27,4.015,4.62,-4.8,25.0,27.0,150.0,125.3,4,6,1.0,107.0,0.9948,0.1316,2725.0,2015-03-01 20:28:04,G07
2015-03-04,398.2,0.5649999999999996,67.79999999999995,9.65625,-0.1999999999999993,-0.0016666666666666,10.75,9.3,1.4499999999999993,8,0.0,0.0,True,2015-03-04 17:00:00,2015-03-04 19:00:00,120.0,8,1.4249999999999998,-0.1,0.51,-0.2724999999999999,0.46,-0.421,503.0,3.741657386773941,0.4,-14.5,-18,2.4925,2.57,-1.25,22.0,27.0,132.0,122.1,4,6,1.0,2.0,0.4379,0.0571,2720.0,2015-03-04 23:18:04,G02
2015-03-05,407.7,0.8083333333333333,97.0,9.55714285714286,0.5,0.0041666666666666,10.3,8.9,1.4000000000000004,7,0.0,0.0,True,2015-03-05 17:00:00,2015-03-05 19:00:00,120.0,7,1.2,-0.1,-1.4,-0.7875,-0.16,0.1609999999999999,415.75,7.88986691902975,1.9,-4.0,-7,2.9625000000000004,3.13,1.575,15.0,17.0,90.0,137.9,4,6,1.0,2.0,0.4723,0.0527,2715.0,2015-03-05 23:07:04,G02
2015-03-06,460.5,0.6158333333333331,73.89999999999998,9.516666666666666,-2.0,-0.0166666666666666,10.5,8.5,2.0,6,0.0,0.0,True,2015-03-06 17:00:00,2015-03-06 19:00:00,120.0,6,-0.225,-1.1,-0.47,-1.3975,0.2,0.721,494.25,2.98607881119482,-1.1,-10.0,-17,2.995,3.53,5.65,25.0,30.0,150.0,125.4,4,6,1.0,82.0,0.8961,0.1084,2704.0,2015-03-06 23:08:04,G02
2015-03-10,402.7,0.5625,67.5,7.659999999999999,-4.3,-0.0358333333333333,9.2,3.8,5.4,5,0.0,0.0,True,2015-03-10 17:00:00,2015-03-10 19:00:00,120.0,5,2.2,0.7,-0.6399999999999999,-1.3025000000000002,-0.6,0.225,365.5,12.151817422372122,-5.8,-4.75,-6,1.255,1.43,3.075,6.5,10.0,39.0,119.2,4,6,1.0,30.0,0.7271,0.09,2696.0,2015-03-10 21:46:04,G20
2015-03-15,443.6,0.7300000000000002,87.60000000000002,9.457142857142856,-1.3000000000000007,-0.0108333333333333,10.7,8.7,2.0,7,0.0,0.0,True,2015-03-15 17:00:00,2015-03-15 19:00:00,120.0,7,4.875,4.0,0.47,-1.2999999999999998,-1.19,-0.0579999999999999,305.75,6.551081335677848,4.9,-3.0,-7,3.35,4.32,0.25,15.0,20.0,90.0,113.1,4,6,1.0,33.0,0.972,0.0848,2307.0,2015-03-15 22:07:04,G01
2015-03-16,441.0,0.5349999999999999,64.19999999999999,9.62857142857143,-2.7,-0.0224999999999999,11.1,8.4,2.7,7,0.0,0.0,True,2015-03-16 17:00:00,2015-03-16 19:00:00,120.0,7,5.550000000000001,4.8,-0.4599999999999998,-2.605,-2.15,-0.146,424.25,4.99165971062398,-2.9,5.5,3,5.732500000000001,6.48,2.775,8.0,13.0,48.0,116.0,4,6,1.0,37.0,0.6782,0.0751,2672.0,2015-03-16 23:54:04,G05
2015-03-17,525.9,1.0625,127.5,9.285714285714286,-0.8000000000000007,-0.0066666666666666,9.6,8.6,1.0,7,0.0,0.0,True,2015-03-17 17:00:00,2015-03-17 19:00:00,120.0,7,-8.35,-15.5,5.92,7.72,9.65,-1.94,562.75,19.956202043475106,8.5,-214.25,-234,4.6825,5.32,-12.575,75.0,77.0,450.0,113.2,4,6,1.0,1.0,0.4346,0.0526,2668.0,2015-03-17 19:33:04,G07
2015-03-18,441.8,1.0191666666666668,122.3,9.05,-0.8000000000000007,-0.0066666666666666,9.4,8.6,0.8000000000000007,6,0.0,0.0,True,2015-03-18 17:00:00,2015-03-18 19:00:00,120.0,6,-0.7999999999999999,-2.9,-0.2999999999999999,1.2475,2.06,0.003,668.75,9.63932916061417,-5.3,-95.0,-99,2.7275,2.82,-2.25,47.0,47.0,282.0,113.7,4,6,0.0,0.0,0.3737,0.0431,2679.0,2015-03-18 22:26:04,G28
2015-03-19,494.8,1.356666666666667,162.8,12.4,-1.9000000000000004,-0.0158333333333333,13.1,11.2,1.9000000000000004,5,0.0,0.0,True,2015-03-19 17:00:00,2015-03-19 19:00:00,120.0,5,-0.2749999999999999,-2.3,0.4699999999999999,0.6925,1.84,0.3329999999999999,584.0,12.806248474865695,8.4,-69.75,-75,2.35,2.53,-1.7000000000000002,30.0,37.0,180.0,108.3,4,6,1.0,81.0,0.9718,0.1088,2664.0,2015-03-19 21:42:04,G20
