FECHA,Mh_PRECURSOR,Mv_PRECURSOR,Dh_TOTAL,F_DENSITY,Delta_foF2_1,slope_foF2_1,foF2_max_SW,foF2_min_SW,foF2_drop_SW,num_muestras_foF2,delta_inicio_min,delta_fin_min,extremos_validos,hora_inicio_real,hora_fin_real,tiempo_real_min,num_registros,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18,TARGET,VECES_SUPERO_UMBRAL,S4_MAX,S4_MEAN,TOTAL_MEDICIONES,HORA_PICO,PRN_PICO
2015-12-31,390.1,,,8.6,,,8.6,,,1.0,120.0,0.0,False,2015-12-31 19:00:00,,,1.0,-14.1,-14.1,,6.48,6.48,,463.0,,,-116.0,-116.0,0.88,0.88,-1.5,,,,95.1,1.0,0.0,1.0,3.0,0.4622,0.0668,2611.0,2015-12-31 23:39:03,G07
2016-01-01,438.5,0.3966666666666664,47.599999999999966,10.03888888888889,-3.700000000000001,-0.0308333333333333,11.9,8.2,3.700000000000001,9.0,0.0,0.0,True,2016-01-01 17:00:00,2016-01-01 19:00:00,120.0,9.0,1.4500000000000002,0.1,0.62,-0.195,-0.04,-0.044,438.25,4.716990566028302,-2.7,-35.75,-39.0,2.225,3.21,-3.625,18.5,20.0,111.0,95.1,4.0,6.0,1.0,8.0,0.5815,0.0709,2617.0,2016-01-01 20:40:03,G16
2016-01-02,424.1,0.339166666666667,40.700000000000045,10.433333333333334,-1.200000000000001,-0.01,10.95,9.7,1.25,9.0,0.0,0.0,True,2016-01-02 17:00:00,2016-01-02 19:00:00,120.0,9.0,0.575,-0.3,-0.79,-0.3725,-0.0,0.313,447.25,6.34428877022476,-4.7,-19.25,-21.0,2.5025000000000004,2.63,1.0,15.0,17.0,90.0,96.6,4.0,6.0,1.0,13.0,0.6207,0.0699,2622.0,2016-01-02 23:33:03,G07
2016-01-03,403.3,0.5291666666666667,63.5,11.905777777777775,-1.3499999999999996,-0.0112499999999999,12.45,11.1,1.3499999999999996,9.0,0.0,0.0,True,2016-01-03 17:00:00,2016-01-03 19:00:00,120.0,9.0,-0.025,-1.1,0.3100000000000001,-0.17,0.28,-0.144,430.25,24.83780720326709,-16.7,-22.75,-25.0,1.1175000000000002,2.0,1.725,22.0,27.0,132.0,98.5,4.0,6.0,1.0,6.0,0.5462,0.0697,2621.0,2016-01-03 21:52:03,G09
2016-01-04,406.2,0.3658333333333331,43.89999999999998,9.036,-0.6999999999999993,-0.0058333333333333,9.6,7.1,2.5,25.0,0.0,0.0,True,2016-01-04 17:00:00,2016-01-04 19:00:00,120.0,25.0,0.775,0.4,-0.0499999999999999,-0.4625,-0.37,-0.037,403.5,4.041451884327381,-2.8,-10.75,-12.0,1.8725,2.04,1.4500000000000002,12.0,17.0,72.0,92.2,4.0,6.0,0.0,0.0,0.3933,0.0468,2622.0,2016-01-04 23:25:03,G07
2016-01-05,373.4,0.2683333333333332,32.19999999999999,11.106,-0.6000000000000014,-0.005,11.5,10.5,1.0,25.0,0.0,0.0,True,2016-01-05 17:00:00,2016-01-05 19:00:00,120.0,25.0,0.6750000000000003,-8.6,-5.25,-1.5125000000000002,3.28,2.571,484.0,14.329456840136451,10.0,6.5,4.0,4.22,5.56,9.2,21.5,23.0,129.0,92.1,4.0,6.0,1.0,24.0,0.775,0.0863,2622.0,2016-01-05 20:20:03,G16
2016-01-06,415.2,0.4641666666666665,55.69999999999999,9.32,-0.200000000000001,-0.0016666666666666,9.6,8.5,1.0999999999999996,25.0,0.0,0.0,True,2016-01-06 17:00:00,2016-01-06 19:00:00,120.0,25.0,0.15,-1.4,-0.3399999999999999,-0.46,0.28,0.2039999999999999,553.5,3.696845502136472,1.2,-20.5,-25.0,2.8875,3.01,2.3,28.0,33.0,168.0,96.9,4.0,6.0,1.0,8.0,0.4949,0.0563,2528.0,2016-01-06 23:17:03,G07
2016-01-07,404.6,0.3133333333333335,37.60000000000002,10.666,0.0500000000000007,0.0004166666666666,11.1,9.4,1.6999999999999993,25.0,0.0,0.0,True,2016-01-07 17:00:00,2016-01-07 19:00:00,120.0,25.0,0.2249999999999999,-0.5,-0.0099999999999999,-0.52,-0.32,0.1359999999999999,546.5,10.754843869934453,-5.4,-16.5,-17.0,2.045,2.16,2.475,18.0,23.0,108.0,99.9,4.0,6.0,,,,,,,
2016-01-08,445.9,0.5900000000000001,70.80000000000001,8.859375,-0.3499999999999996,-0.0029166666666666,9.1,8.6,0.5,24.0,0.0,0.0,True,2016-01-08 17:00:00,2016-01-08 19:00:00,120.0,24.0,-0.425,-1.5,-0.53,-0.1825,0.28,0.275,470.5,11.210114480533491,-3.2,-14.25,-18.0,1.7875,1.95,2.6,13.0,13.0,78.0,104.9,4.0,6.0,1.0,15.0,0.6464,0.0687,2621.0,2016-01-08 20:33:03,G14
2016-01-09,381.3,0.1849999999999999,22.19999999999999,10.222,-1.75,-0.0145833333333333,11.25,8.6,2.6500000000000004,25.0,0.0,0.0,True,2016-01-09 17:00:00,2016-01-09 19:00:00,120.0,25.0,-0.0999999999999998,-3.9,-2.12,-0.4725,1.77,1.205,451.25,9.105858919765158,-6.7,-1.5,-4.0,2.5575,2.93,3.575,11.5,13.0,69.0,103.5,4.0,6.0,,,,,,,
