FECHA,Δh1,Mh1,Mv1,Delta_foF2_1,slope_foF2_1,foF2_max_SW1,foF2_min_SW1,foF2_drop_SW1,num_muestras_foF2_SW1,delta_inicio_SW1_min,delta_fin_SW1_min,extremos_validos_SW1,tiempo_real_SW1_min,Δh2,Mh2,Mv2,Delta_foF2_2,slope_foF2_2,foF2_max_SW2,foF2_min_SW2,foF2_drop_SW2,num_muestras_foF2_SW2,delta_inicio_SW2_min,delta_fin_SW2_min,extremos_validos_SW2,tiempo_real_SW2_min,F_DENSITY,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18,TARGET,VECES_SUPERO_UMBRAL,S4_MAX,S4_MEAN,TOTAL_MEDICIONES,HORA_PICO,PRN_PICO
2016-01-01,18.80000000000001,396.1,0.3133333333333335,-2.1500000000000004,-0.0358333333333333,11.9,9.75,2.1500000000000004,5.0,0.0,0.0,True,60.0,28.799999999999955,438.5,0.4799999999999992,-1.5500000000000007,-0.0258333333333333,9.75,8.2,1.5500000000000007,5.0,0.0,0.0,True,60.0,10.03888888888889,1.4500000000000002,0.1,0.62,-0.195,-0.04,-0.044,438.25,4.716990566028302,-2.7,-35.75,-39.0,2.225,3.21,-3.625,18.5,20.0,111.0,95.1,4.0,6.0,1.0,8.0,0.5815,0.0709,2617.0,2016-01-01 20:40:03,G16
2016-01-02,19.5,402.9,0.325,-0.3499999999999996,-0.0058333333333333,10.95,10.45,0.5,5.0,0.0,0.0,True,60.0,21.200000000000045,424.1,0.3533333333333341,-0.8500000000000014,-0.0141666666666666,10.55,9.7,0.8500000000000014,5.0,0.0,0.0,True,60.0,10.433333333333334,0.575,-0.3,-0.79,-0.3725,-0.0,0.313,447.25,6.34428877022476,-4.7,-19.25,-21.0,2.5025000000000004,2.63,1.0,15.0,17.0,90.0,96.6,4.0,6.0,1.0,13.0,0.6207,0.0699,2622.0,2016-01-02 23:33:03,G07
2016-01-03,28.69999999999999,368.5,0.4783333333333331,-0.4249999999999989,-0.0070833333333333,12.45,12.025,0.4249999999999989,5.0,0.0,0.0,True,60.0,34.80000000000001,403.3,0.5800000000000002,-0.9250000000000008,-0.0154166666666666,12.025,11.1,0.9250000000000008,5.0,0.0,0.0,True,60.0,11.905777777777775,-0.025,-1.1,0.3100000000000001,-0.17,0.28,-0.144,430.25,24.83780720326709,-16.7,-22.75,-25.0,1.1175000000000002,2.0,1.725,22.0,27.0,132.0,98.5,4.0,6.0,1.0,6.0,0.5462,0.0697,2621.0,2016-01-03 21:52:03,G09
2016-01-04,6.0,380.5,0.1,-0.4000000000000003,-0.0066666666666666,9.6,9.1,0.5,13.0,0.0,0.0,True,60.0,37.89999999999998,406.2,0.6316666666666663,-0.2999999999999989,-0.0049999999999999,9.2,7.1,2.1,13.0,0.0,0.0,True,60.0,9.036,0.775,0.4,-0.0499999999999999,-0.4625,-0.37,-0.037,403.5,4.041451884327381,-2.8,-10.75,-12.0,1.8725,2.04,1.4500000000000002,12.0,17.0,72.0,92.2,4.0,6.0,0.0,0.0,0.3933,0.0468,2622.0,2016-01-04 23:25:03,G07
2016-01-05,8.800000000000011,362.4,0.1466666666666668,-0.3000000000000007,-0.005,11.5,11.0,0.5,13.0,0.0,0.0,True,60.0,23.399999999999977,373.4,0.3899999999999996,-0.3000000000000007,-0.005,11.3,10.5,0.8000000000000007,13.0,0.0,0.0,True,60.0,11.106,0.6750000000000003,-8.6,-5.25,-1.5125000000000002,3.28,2.571,484.0,14.329456840136451,10.0,6.5,4.0,4.22,5.56,9.2,21.5,23.0,129.0,92.1,4.0,6.0,1.0,24.0,0.775,0.0863,2622.0,2016-01-05 20:20:03,G16
2016-01-06,11.300000000000011,362.8,0.1883333333333335,0.0,0.0,9.6,9.3,0.2999999999999989,13.0,0.0,0.0,True,60.0,44.39999999999998,415.2,0.7399999999999997,-0.200000000000001,-0.0033333333333333,9.4,8.5,0.9000000000000004,13.0,0.0,0.0,True,60.0,9.32,0.15,-1.4,-0.3399999999999999,-0.46,0.28,0.2039999999999999,553.5,3.696845502136472,1.2,-20.5,-25.0,2.8875,3.01,2.3,28.0,33.0,168.0,96.9,4.0,6.0,1.0,8.0,0.4949,0.0563,2528.0,2016-01-06 23:17:03,G07
2016-01-08,30.100000000000023,415.6,0.501666666666667,0.0,0.0,8.95,8.625,0.3249999999999993,12.0,0.0,0.0,True,60.0,40.69999999999999,445.9,0.6783333333333331,-0.3499999999999996,-0.0058333333333333,9.1,8.6,0.5,13.0,0.0,0.0,True,60.0,8.859375,-0.425,-1.5,-0.53,-0.1825,0.28,0.275,470.5,11.210114480533491,-3.2,-14.25,-18.0,1.7875,1.95,2.6,13.0,13.0,78.0,104.9,4.0,6.0,1.0,15.0,0.6464,0.0687,2621.0,2016-01-08 20:33:03,G14
2016-01-16,-9.600000000000025,364.5,-0.1600000000000004,-1.1999999999999993,-0.0199999999999999,10.6,5.1,5.5,5.0,0.0,0.0,True,60.0,30.30000000000001,392.0,0.5050000000000002,0.9000000000000004,0.015,10.3,9.4,0.9000000000000004,5.0,0.0,0.0,True,60.0,9.288888888888888,4.275,3.8,0.1699999999999999,-0.845,-0.64,-0.07,337.75,1.707825127659933,0.5,-4.5,-6.0,0.965,1.16,-4.2,3.0,3.0,18.0,96.7,4.0,6.0,1.0,2.0,0.4973,0.0458,2618.0,2016-01-16 20:04:03,G14
2016-01-17,13.800000000000011,348.2,0.2300000000000001,-1.3000000000000007,-0.0216666666666666,10.9,9.6,1.3000000000000007,5.0,0.0,0.0,True,60.0,62.19999999999999,391.5,1.0366666666666664,-0.0999999999999996,-0.0016666666666666,9.6,9.4,0.1999999999999993,5.0,0.0,0.0,True,60.0,9.877777777777778,1.125,-0.6,-0.75,-0.31,0.06,0.186,318.75,1.707825127659933,-0.9,-9.25,-11.0,1.265,1.3,-0.2499999999999999,5.0,7.0,30.0,97.4,4.0,6.0,1.0,5.0,0.4693,0.0493,2322.0,2016-01-17 20:07:03,G22
2016-01-19,7.100000000000023,315.7,0.1183333333333337,-0.6000000000000014,-0.01,11.7,10.2,1.5,4.0,0.0,0.0,True,60.0,117.7,415.7,1.9616666666666664,0.9000000000000004,0.015,11.5,10.2,1.3000000000000007,5.0,0.0,0.0,True,60.0,11.025,5.15,4.8,-0.3199999999999999,-2.89,-2.69,0.1579999999999999,352.25,3.947573094109004,-2.9,3.5,0.0,3.095,3.33,9.225,6.5,10.0,39.0,94.4,4.0,6.0,1.0,12.0,0.5738,0.0725,2620.0,2016-01-19 21:21:03,G27
